track,seed,condition,method,budget,validation_samples,mse,fallback_weight,validation_base_sse,validation_proposal_sse
prior_gate,2012,correct,broad,16,8,0.008127104892273612,,,
prior_gate,2012,correct,proposal,16,8,0.006394701396612053,,,
prior_gate,2012,correct,validation_gate,16,8,0.0069122086683541945,0.3537370339702703,0.6348287969764523,0.6077094257504041
prior_gate,2012,correct,broad,32,8,0.011155914519525655,,,
prior_gate,2012,correct,proposal,32,8,0.009105891981930679,,,
prior_gate,2012,correct,validation_gate,32,8,0.009990390313915463,0.45305001945323464,0.16102615559097683,0.15255018880831003
prior_gate,2012,correct,broad,64,8,0.0028877191210700936,,,
prior_gate,2012,correct,proposal,64,8,0.002758171490646528,,,
prior_gate,2012,correct,validation_gate,64,8,0.002815126404245161,0.4455204861674217,0.35026124154651134,0.3404158431832913
prior_gate,2012,wrong,broad,16,8,0.008127104892273612,,,
prior_gate,2012,wrong,proposal,16,8,0.011178530843755873,,,
prior_gate,2012,wrong,validation_gate,16,8,0.011152141614983043,0.004598000946880519,0.6348287969764523,0.39284017006667027
prior_gate,2012,wrong,broad,32,8,0.011155914519525655,,,
prior_gate,2012,wrong,proposal,32,8,0.010272145940100372,,,
prior_gate,2012,wrong,validation_gate,32,8,0.010538587952448157,0.4215360034372533,0.16102615559097683,0.14678495529677738
prior_gate,2012,wrong,broad,64,8,0.0028877191210700936,,,
prior_gate,2012,wrong,proposal,64,8,0.00331345181098777,,,
prior_gate,2012,wrong,validation_gate,64,8,0.0031119457308633166,0.44345487485371854,0.35026124154651134,0.3400393922736713
