dpo_loss,reward,cov_bonus,score,target,value,episode,step,run_started_at,run_dir,train_candidates_total,train_candidates_parsed,train_candidates_invalid,train_candidate_parse_rate,train_steps_total,train_steps_with_any_valid_candidate,train_steps_teacher_fallback,train_teacher_fallback_rate,n_nodes,prompt_strategy,prompt_tokens_mean,prompt_tokens_max,peak_vram_gb
0.126953125,-2.0,3.393247094278177,100.0,X8,-3.0588242190892654,3,2,2026-06-12T21:13:34,/projects/paco0228/ACE/results/scaling_kablation/K16/nodes50/ace/seed_42/run_20260612_211334_seed42,3984,3984,0,1.0,381,342,0,0.0,48,compact,762.19025,868,18.73577728
0.18359375,-2.0,0.1407167886225952,100.0,X3,-4.285901631441859,3,6,2026-06-12T21:13:34,/projects/paco0228/ACE/results/scaling_kablation/K16/nodes50/ace/seed_42/run_20260612_211334_seed42,3984,3984,0,1.0,381,342,0,0.0,48,compact,762.19025,868,18.73577728
0.059326171875,-2.0,3.215033153720938,100.0,X8,1.5766038648312897,4,2,2026-06-12T21:13:34,/projects/paco0228/ACE/results/scaling_kablation/K16/nodes50/ace/seed_42/run_20260612_211334_seed42,3984,3984,0,1.0,381,342,0,0.0,48,compact,762.19025,868,18.73577728
0.69140625,8.842018999159347,0.14223682357715473,21.569746038053623,X2,1.5,4,3,2026-06-12T21:13:34,/projects/paco0228/ACE/results/scaling_kablation/K16/nodes50/ace/seed_42/run_20260612_211334_seed42,3984,3984,0,1.0,381,342,0,0.0,48,compact,762.19025,868,18.73577728
0.059326171875,-2.0,0.08099722417006244,100.0,X3,-1.5487605830699245,4,5,2026-06-12T21:13:34,/projects/paco0228/ACE/results/scaling_kablation/K16/nodes50/ace/seed_42/run_20260612_211334_seed42,3984,3984,0,1.0,381,342,0,0.0,48,compact,762.19025,868,18.73577728
0.039794921875,-2.0,0.5426100671830434,100.0,X8,-2.5917020814368694,5,2,2026-06-12T21:13:34,/projects/paco0228/ACE/results/scaling_kablation/K16/nodes50/ace/seed_42/run_20260612_211334_seed42,3984,3984,0,1.0,381,342,0,0.0,48,compact,762.19025,868,18.73577728
0.69140625,0.9535903632640874,0.11307495302684913,13.388905660466401,X2,1.5,5,4,2026-06-12T21:13:34,/projects/paco0228/ACE/results/scaling_kablation/K16/nodes50/ace/seed_42/run_20260612_211334_seed42,3984,3984,0,1.0,381,342,0,0.0,48,compact,762.19025,868,18.73577728
0.027099609375,-2.0,0.12955178573391926,100.0,X3,2.3235976793923827,5,5,2026-06-12T21:13:34,/projects/paco0228/ACE/results/scaling_kablation/K16/nodes50/ace/seed_42/run_20260612_211334_seed42,3984,3984,0,1.0,381,342,0,0.0,48,compact,762.19025,868,18.73577728
0.0181884765625,-2.0,4.1583928517895465,100.0,X8,-4.028080013781784,6,1,2026-06-12T21:13:34,/projects/paco0228/ACE/results/scaling_kablation/K16/nodes50/ace/seed_42/run_20260612_211334_seed42,3984,3984,0,1.0,381,342,0,0.0,48,compact,762.19025,868,18.73577728
0.69140625,2.7785219177603793,0.17021036256546684,15.503730906563044,X2,1.5,6,2,2026-06-12T21:13:34,/projects/paco0228/ACE/results/scaling_kablation/K16/nodes50/ace/seed_42/run_20260612_211334_seed42,3984,3984,0,1.0,381,342,0,0.0,48,compact,762.19025,868,18.73577728
