step,target,value,query_samples,observed_total_loss,broad_total_loss
0,X1,-5.0,50,12.525007801130414,42.3833565492183
1,X3,-4.0,100,7.067234344780445,12.11317578740418
2,X5,-3.0,150,5.618535835295916,3.521897916123271
3,X6,-2.0,240,5.5092127695679665,2.355023816227913
4,X7,-1.0,290,5.498111937195063,2.1624616015702487
5,X8,0.0,340,5.4998566545546055,2.1558595657348634
6,X9,1.0,430,5.501983478665352,2.1827278327196837
7,X10,2.0,480,5.500677037984133,2.197888446226716
8,X11,3.0,530,5.500116862356663,2.116468407958746
9,X13,4.0,620,5.505525976419449,2.15094747133553
10,X14,5.0,670,5.507730403915048,2.174195958301425
11,X17,-5.0,720,5.510533584281802,2.0647067591547965
12,X18,-4.0,810,5.507371541112661,2.177616212517023
13,X19,-3.0,860,5.505976120010018,2.196318993344903
14,X20,-2.0,910,5.504755850881338,2.1697876818478106
15,X22,-1.0,1000,5.50246561691165,2.3006785791367292
16,X25,0.0,1050,5.501319641247392,2.449068129807711
17,X1,-2.0,1100,5.500130444765091,2.5506203901022673
18,X3,-1.0,1190,5.5009447298944,2.663562301173806
19,X5,0.0,1240,5.499851921573281,2.6653631262481214
20,X6,1.0,1290,5.498965611681342,2.689610002189875
21,X7,2.0,1380,5.497220022603869,2.6743301887065174
22,X8,3.0,1430,5.497012045234442,2.3989064093679193
23,X9,4.0,1480,5.497690396383405,2.3584589011967183
24,X10,5.0,1570,5.498013949021697,2.405413630604744
25,X11,-5.0,1620,5.498153766617179,2.2062988791614773
26,X13,-4.0,1670,5.4970467779785395,2.1349420823156833
27,X14,-3.0,1760,5.496981410309672,2.0115630470216277
28,X17,-2.0,1810,5.494686270132661,1.9762565784156323
29,X18,-1.0,1860,5.49431861191988,1.958403716981411
30,X19,0.0,1950,5.493802163749933,1.9665946230292322
31,X20,1.0,2000,5.494130931794643,1.9785474572330715
