step,target,value,query_samples,observed_total_loss,broad_total_loss
0,X5,-4.960751533508301,50,8.056458484381437,18.999750892445444
1,X1,-5.0,100,6.647897243499756,11.552742651104927
2,X6,4.949221134185791,150,5.8863287921994925,3.4380800653249026
3,X19,5.0,240,5.575556365773082,2.0131187215447426
4,X19,-5.0,290,5.563553487882018,1.9173806603997947
5,X9,-5.0,340,5.547406969591975,1.8324486490339043
6,X9,4.816845893859863,430,5.536077527329326,1.8023102510720492
7,X8,-4.436286449432373,480,5.533614680171013,1.8115561429411173
8,X22,-5.0,530,5.5328359715640545,1.8083090249449016
9,X13,-5.0,620,5.527522711083293,1.7956822231411933
10,X7,5.0,670,5.523745080456138,1.7317852195352315
11,X13,4.684023857116699,720,5.520960282534361,1.7027668721973894
12,X1,4.764770984649658,810,5.520024096593261,1.678301151841879
13,X11,5.0,860,5.517430083826184,1.6798943635076284
14,X8,4.1074066162109375,910,5.518473571166396,1.671590030565858
15,X17,-5.0,1000,5.518825765699148,1.6745101217180491
16,X14,3.9278242588043213,1050,5.516890292987227,1.675553222000599
17,X22,5.0,1100,5.517012486234307,1.6756252672523262
18,X18,5.0,1190,5.5175578985363245,1.681283511593938
19,X11,-4.90020751953125,1240,5.514287343248725,1.6620607178658247
20,X10,5.0,1290,5.513270333409309,1.6613821905106305
21,X17,4.2656450271606445,1380,5.510188968852162,1.6575755469501021
22,X10,-5.0,1430,5.508642558008432,1.6489723175764084
23,X3,-5.0,1480,5.508577963337302,1.6417510602623224
24,X6,-4.848966598510742,1570,5.5084332171827555,1.629262725263834
25,X5,5.0,1620,5.508014798164368,1.6290152199566363
26,X3,5.0,1670,5.508009470999241,1.625830425694585
27,X14,-5.0,1760,5.508879030123353,1.622235967591405
28,X7,-5.0,1810,5.5086723156273365,1.6228789795190097
29,X25,-5.0,1860,5.507729887962341,1.6232733950018883
30,X18,-5.0,1950,5.508243225514889,1.6237763710319997
31,X20,-5.0,2000,5.508188005536795,1.6253887590020897
