dpo_loss,reward,cov_bonus,score,target,value,episode,step
0.6931471824645996,183.47587002813813,29.217579043829353,212.69344907196748,X1,2.798813855013713,0,0
0.7093840837478638,105.21153819561005,20.5440638378635,125.75560203347355,X1,-1.694327757700836,0,1
0.889336347579956,22.391204953193657,42.095717933743856,64.48692288693752,X2,1.72984,0,2
0.8388831615447998,4.3279342055320775,15.683916546656423,20.0118507521885,X2,1.1424083771085043,0,3
0.7633328437805176,0.5995951704680942,11.296747076368316,11.89634224683641,X2,-2.100209417852201,0,4
0.8511964678764343,2.984282921999692,12.809466842658782,15.793749764658475,X2,1.5,0,5
1.13862943649292,0.9073774702847,11.693080292731063,12.600457763015763,X2,-2.77,0,6
0.832137405872345,1.5157150682061893,7.6062960037672,9.12201107197339,X2,1.5,0,7
0.6947689652442932,3.6388723775744425,7.066448342293211,10.705320719867654,X2,1.5,0,8
0.869772732257843,0.9187957391077279,6.315502373877599,7.234298112985327,X2,2.0,0,9
0.9552076458930969,1.6905230171978487,5.373981278889734,7.064504296087582,X2,4.4,0,10
1.0234425067901611,3.596346872650692,3.932850552204798,100.0,X1,1.7279567055716702,0,11
1.1490893363952637,-0.1742629215338728,3.085378047455737,100.0,X1,-2.5515745592164985,0,12
0.6459055542945862,0.4911262865892133,2.584640734230305,3.075767020819518,X2,-2.0,0,13
0.9776787161827087,2.2302615847438574,2.354980190847616,100.0,X1,-4.944551818619683,0,14
0.6931471824645996,2.074121931567788,3.8366840760902963,5.910806007658085,X2,1.5,0,15
0.6444618701934814,2.2791642063111066,2.666375955539419,4.945540161850525,X2,-4.2,0,16
0.8267631530761719,-0.46337333507835865,1.618160151433118,100.0,X1,4.500396084431559,0,17
0.6931471824645996,-0.04747055470943451,1.6834219702008202,1.6359514154913857,X2,1.5,0,18
0.6931471824645996,1.0816392414271836,1.5671121575622662,2.64875139898945,X2,1.5,0,19
0.6931471824645996,-0.2187326140701784,1.3573638147213372,10.30159572847456,X2,1.5,0,20
0.6648409366607666,3.6788890399038774,1.3650332266712073,100.0,X1,0.40152222518456426,0,21
0.6931471824645996,40.72045378386974,19.886660000496253,69.82466358602692,X2,1.5,1,0
0.3199792206287384,-1.1391227841377471,9.994995388281763,100.0,X1,-1.1961897107228836,1,1
0.3667770326137543,2.387125311419369,11.233745967892347,100.0,X1,-0.9568333086236294,1,4
0.6931471824645996,3.0844127312302594,13.027730652378642,25.53126721170749,X2,1.5,1,5
0.6931471824645996,1.3099548891186696,12.483862491929502,23.08446172416987,X2,1.5,1,6
0.6931471824645996,2.644558185711504,10.52676656072572,22.334289274260627,X2,1.5,1,7
0.13843093812465668,2.0762213096022597,9.86566915042926,100.0,X1,-4.180937672383575,1,8
0.06416836380958557,-2.0,8.685371557414882,100.0,X1,-2.8203545909349637,1,11
0.010864226147532463,-2.0,11.739050319307323,100.0,X1,-4.2400352215694,1,14
0.6931471824645996,39.65405607223509,20.568400666698572,69.57727947945529,X2,1.5,2,0
0.6931471824645996,27.31584072113037,11.705022703099566,48.27948996718506,X2,1.5,2,1
0.6931471824645996,12.815220236778266,9.199199178554647,31.177383943156315,X2,1.5,2,2
0.23425082862377167,5.655282825231573,8.747627771573141,100.0,X1,2.07308643706077,2,3
0.6931471824645996,2.796544793993234,13.419394014727176,25.49672568118246,X2,1.5,2,4
0.6931471824645996,4.882951602339745,12.199458265533176,26.27473842695148,X2,1.5,2,5
3.7594017499031906e-07,0.9087296873331052,11.378634270987362,100.0,X1,-0.35291533396768315,2,6
0.6931471824645996,3.261016301810742,13.675520379273696,26.23633870675485,X2,1.5,2,7
0.6931471824645996,1.7748862244188768,13.4451132722829,24.437549298362697,X2,1.5,2,8
5.840437893311901e-07,2.8218645155429845,11.775448610848617,100.0,X1,-0.11422153151212644,2,9
0.6931471824645996,0.47360400483012155,13.632660923117129,23.422560543275928,X2,1.5,2,10
0.6931471824645996,-0.5171520151197906,11.793232444193848,20.51552443238163,X2,1.5,2,11
0.000132544242660515,0.0,9.593575045321748,27.09124509975748,X2,-3.346,2,12
1.7511538317194209e-06,0.0,4.121335334446449,100.0,X1,2.6218960948410297,2,13
9.21466494219203e-08,0.0,4.509010101063661,17.617901349766665,X2,-0.117,2,14
3.513504509555787e-08,0.0,4.474854782269479,100.0,X1,3.6846119726294404,2,16
1.4467140374563314e-08,0.0,4.827501681640754,18.612559941604744,X2,-2.7977,2,17
0.6931471824645996,0.3293777927756303,3.607047480327442,13.144326243269983,X2,1.5,2,18
7.105861038469996e-11,0.0,19.07118775558967,100.0,X1,-3.815484377885384,3,0
5.805576019923819e-09,0.0,24.957746466521517,102.99193759811331,X2,-2.3871,3,1
3.094053369068206e-08,0.0,10.083148190112201,50.667011448474014,X2,-1.8949,3,2
4.654000207438003e-08,0.0,5.250043085962985,33.60754053965256,X2,-1.6979,3,3
7.960176268140273e-11,0.0,21.518893626036515,100.0,X1,-2.6852376544397414,3,4
1.0146707474234518e-08,0.0,24.608801495346658,52.8512679450842,X2,-0.3804,3,5
4.0257255307096784e-09,0.0,7.6225978077037535,21.646844142733357,X2,-2.2772,3,6
1.426361961875955e-07,0.0,7.494935256105996,100.0,X1,0.6920704931909238,3,7
7.46005390794835e-09,0.0,5.247600938764402,17.67919700929243,X2,-0.2866,3,8
4.575128720318844e-09,0.0,5.048194523111376,17.535599167600665,X2,-3.3884,3,9
4.6243482643149036e-07,0.0,4.008779525587937,100.0,X1,1.722815843032393,3,10
