seed,changed,change_type,method,target_budget,source_samples,mse,changed_mse,unchanged_mse,old_selection_mass
3010,3,coefficient,scratch,120,2560,0.8155115112550176,0.4929851351063879,0.851347775271532,
3010,3,coefficient,warm,120,2560,0.07452837695475312,0.33726360308208014,0.04533557405171676,
3010,3,coefficient,source_retrieval,120,2560,0.065711279765961,0.21583037245220496,0.049031380578600556,0.6666666666666666
3010,3,coefficient,source_mixture,120,2560,0.06658553372320432,0.2135522259943822,0.050255901248629,0.7639609787775938
3010,3,coefficient,scratch,200,2560,0.26143786015764964,0.1631228981022599,0.2723617448304707,
3010,3,coefficient,warm,200,2560,0.03853009422860096,0.055376769512123634,0.036658241419320656,
3010,3,coefficient,source_retrieval,200,2560,0.04042411344446148,0.06612451733679277,0.03756851301198023,0.6666666666666666
3010,3,coefficient,source_mixture,200,2560,0.04031859511987173,0.06519931544387715,0.03755407063942668,0.7639609787775938
3010,3,coefficient,scratch,400,2560,0.055991039942936124,0.07732426138601463,0.053620682004816296,
3010,3,coefficient,warm,400,2560,0.018027226067350084,0.0392065582960581,0.015673966930826972,
3010,3,coefficient,source_retrieval,400,2560,0.017789966049921477,0.0373175310543099,0.015620236604989427,0.6666666666666666
3010,3,coefficient,source_mixture,400,2560,0.017634973060525954,0.03676235084584347,0.015509708862157337,0.7639609787775938
