track,seed,method,budget,mse,fallback_weight
prior,42,broad,8,0.01430607840621897,
prior,42,correct,8,0.003826612889269523,
prior,42,wrong,8,0.03466804577804826,
prior,42,wrong_with_fallback,8,0.03420628933174521,0.005087555519399659
prior,42,broad,16,0.04762504271128942,
prior,42,correct,16,0.0178382196631732,
prior,42,wrong,16,0.030887396132692896,
prior,42,wrong_with_fallback,16,0.03094410801653933,0.0044642679566550695
prior,42,broad,32,0.002865762517342242,
prior,42,correct,32,0.0026405476943807535,
prior,42,wrong,32,0.0038932268594534442,
prior,42,wrong_with_fallback,32,0.003888273113118863,0.0037593486748889516
prior,42,broad,64,0.002193527825873377,
prior,42,correct,64,0.0017685295568074253,
prior,42,wrong,64,0.002966991373656705,
prior,42,wrong_with_fallback,64,0.0029644323339880208,0.0028621000201652074
