track,seed,condition,method,budget,validation_samples,mse,fallback_weight,validation_base_sse,validation_proposal_sse
prior_gate,2007,correct,broad,16,8,0.003026610006897826,,,
prior_gate,2007,correct,proposal,16,8,0.002498044615989586,,,
prior_gate,2007,correct,validation_gate,16,8,0.002515672428603661,0.05343279659569722,0.2450531141606569,0.11570433816984975
prior_gate,2007,correct,broad,32,8,0.003076076280835147,,,
prior_gate,2007,correct,proposal,32,8,0.0028971288249693607,,,
prior_gate,2007,correct,validation_gate,32,8,0.0029743970054172775,0.47009495081606234,0.3342307283495825,0.32884138701807325
prior_gate,2007,correct,broad,64,8,0.0004001540018019304,,,
prior_gate,2007,correct,proposal,64,8,0.00037984169237410896,,,
prior_gate,2007,correct,validation_gate,64,8,0.00038906735264451834,0.4886613045202002,0.16527849814524082,0.16323718298586853
prior_gate,2007,wrong,broad,16,8,0.003026610006897826,,,
prior_gate,2007,wrong,proposal,16,8,0.009101741668623252,,,
prior_gate,2007,wrong,validation_gate,16,8,0.007508321939493013,0.19015475794396744,0.2450531141606569,0.17984789302593426
prior_gate,2007,wrong,broad,32,8,0.003076076280835147,,,
prior_gate,2007,wrong,proposal,32,8,0.005621548252323803,,,
prior_gate,2007,wrong,validation_gate,32,8,0.003211474720561632,0.8404189527225591,0.3342307283495825,0.4089914150873549
prior_gate,2007,wrong,broad,64,8,0.0004001540018019304,,,
prior_gate,2007,wrong,proposal,64,8,0.0013929446793727969,,,
prior_gate,2007,wrong,validation_gate,64,8,0.0007449830476830958,0.465895133648093,0.16527849814524082,0.15913007502451537
