seed,method,episodes,total_loss
42,random,100,0.23288823291659355
42,round_robin,100,0.2367812767624855
123,random,100,0.15340721234679222
123,round_robin,100,0.1729776170104742
456,random,100,0.11259450763463974
456,round_robin,100,0.16070157289505005
789,random,100,0.4133536145091057
789,round_robin,100,0.3444228768348694
1011,random,100,0.31080434657633305
1011,round_robin,100,0.2768106274306774
