step,target,value,query_samples,observed_total_loss,broad_total_loss
0,X1,4.508360862731934,50,9.682724446058273,21.331403183937073
1,X1,4.637368202209473,100,8.589039668440819,18.917972922325134
2,X1,-4.267610549926758,150,6.9101887457072735,5.943225476145744
3,X1,-4.115017890930176,240,6.171714141964912,6.189282226562501
4,X4,-5.0,290,5.742530917748809,6.323751704394817
5,X4,-4.404564380645752,340,5.525739187374711,5.657042936608195
6,X2,3.5651233196258545,430,5.2507178811356425,2.9611472826451064
7,X2,0.007887780666351318,480,5.0774067817255855,2.3229953542351724
8,X1,-2.770596981048584,530,4.93226154986769,2.0681735409423707
9,X2,-4.609942436218262,620,4.662918480113149,1.6096940517425538
10,X4,-2.752335548400879,670,4.542108929716051,1.3906702397391202
11,X1,1.7098493576049805,720,4.416386988013983,1.26112567409873
12,X2,-1.2031757831573486,810,4.197767570614815,1.0542999185621738
13,X2,-2.606593608856201,860,4.101764090359211,0.9680542461574078
14,X2,1.4672651290893555,910,4.0124726090580225,0.9447826001793146
15,X2,5.0,1000,3.84808645863086,0.8823672579601407
16,X2,5.0,1050,3.7700594775378704,0.8560084642842413
17,X2,1.306423544883728,1100,3.6941909370943904,0.8309489730745555
18,X1,-5.0,1190,3.547347483225167,0.8013710394501686
19,X2,3.5618503093719482,1240,3.4780741808936,0.7857581531628967
20,X1,3.231635808944702,1290,3.415068401955068,0.770763559639454
21,X2,2.549037218093872,1380,3.2866124622523785,0.7450076222419739
22,X2,-4.761114120483398,1430,3.2274909764528275,0.7370135482400656
23,X2,5.0,1480,3.171590088866651,0.7270910911262036
24,X2,4.38885498046875,1570,3.0666981860995293,0.7048982797190548
25,X2,-2.751981258392334,1620,3.017242407426238,0.6947152538225055
26,X4,-1.926820158958435,1670,2.96961638238281,0.685158902592957
27,X2,-3.574427366256714,1760,2.8806500546634197,0.6675783500075341
28,X2,1.830623745918274,1810,2.8404760882258415,0.6565524607896804
29,X2,0.920117199420929,1860,2.7993975644931197,0.6423587452620267
30,X2,-2.08417010307312,1950,2.725154868327081,0.6232364110648633
31,X2,-2.0334014892578125,2000,2.6903137490153313,0.6180102212354541
