seed,method,n_nodes,episodes,total_mse,elapsed_s
42,random,30,300,11.159565705806017,0.9705345630645752
123,random,30,300,10.633401788771152,0.9053304195404053
456,random,30,300,10.680682133883238,0.9615883827209473
789,random,30,300,13.725486401468515,1.0699095726013184
1011,random,30,300,27.28496790677309,0.99111008644104
42,round_robin,30,300,26.822902865707874,0.964289665222168
123,round_robin,30,300,27.111847557127476,0.962315559387207
456,round_robin,30,300,24.113703180104494,0.9582493305206299
789,round_robin,30,300,14.168266132473946,1.0865139961242676
1011,round_robin,30,300,16.585223078727722,1.0303432941436768
42,max_variance,30,300,44.31108778715134,0.948326826095581
123,max_variance,30,300,35.94957037270069,0.957927942276001
456,max_variance,30,300,61.109891563653946,0.941936731338501
789,max_variance,30,300,14.378368504345417,0.9601480960845947
1011,max_variance,30,300,19.391034711152315,1.053563117980957
