seed,method,episode,total_mse
42,max_variance,80,30.063765063881874
42,max_variance,90,92.96899652481079
42,max_variance,100,45.35557742416859
42,max_variance,110,52.39696456119418
42,max_variance,120,33.644392013549805
42,max_variance,130,30.205569051206112
42,max_variance,140,43.307928431779146
42,max_variance,150,18.136080276221037
42,max_variance,160,21.378463942557573
42,max_variance,170,33.2411130592227
42,max_variance,180,11.568611826747656
42,max_variance,190,11.12983313947916
42,max_variance,200,41.0672393143177
42,max_variance,210,53.154584139585495
42,max_variance,220,18.38805117458105
42,max_variance,230,96.94909240305424
42,max_variance,240,18.19918090850115
42,max_variance,250,17.20359655097127
42,max_variance,260,95.72117368131876
42,max_variance,270,46.73528955131769
42,max_variance,280,15.5390944480896
42,max_variance,290,20.14483282715082
42,max_variance,300,43.93925599753857
123,max_variance,10,51.348317846655846
123,max_variance,20,13.181864831596613
123,max_variance,30,28.49230781197548
123,max_variance,40,12.357014551758766
123,max_variance,50,42.17604353278875
123,max_variance,60,17.05372577533126
123,max_variance,70,16.18926541879773
123,max_variance,80,43.3970742598176
123,max_variance,90,20.214184947311878
123,max_variance,100,12.644590128213167
123,max_variance,110,15.785722140222788
123,max_variance,120,37.94072488695383
123,max_variance,130,21.33261339366436
123,max_variance,140,57.97386120259762
123,max_variance,150,25.62014762684703
123,max_variance,160,13.10819112509489
123,max_variance,170,24.33355314657092
123,max_variance,180,13.922497607767582
123,max_variance,190,18.26444448530674
123,max_variance,200,14.647513471543789
123,max_variance,210,23.97248735651374
123,max_variance,220,14.117634236812592
123,max_variance,230,18.814736898988485
123,max_variance,240,13.645156413316727
123,max_variance,250,74.12144781649113
123,max_variance,260,31.256926402449608
123,max_variance,270,26.54537582397461
123,max_variance,280,12.027904219925404
123,max_variance,290,58.285659085959196
123,max_variance,300,32.98175372928381
456,max_variance,10,16.00684253871441
456,max_variance,20,17.884533133357763
456,max_variance,30,35.663751006126404
456,max_variance,40,35.03151097148657
456,max_variance,50,76.52729213237762
456,max_variance,60,37.39265564829111
456,max_variance,70,16.31327697634697
456,max_variance,80,13.226188082247972
456,max_variance,90,22.058988600969315
456,max_variance,100,22.277985215187073
456,max_variance,110,18.757110126316547
456,max_variance,120,16.050790332257748
456,max_variance,130,65.66951287910342
456,max_variance,140,52.925930544734
456,max_variance,150,9.434370443224907
456,max_variance,160,19.70978305861354
456,max_variance,170,15.596404500305653
456,max_variance,180,13.894772678613663
456,max_variance,190,27.884810373187065
456,max_variance,200,15.446039386093616
456,max_variance,210,11.924440871924162
456,max_variance,220,22.38229639455676
456,max_variance,230,24.794581688940525
456,max_variance,240,12.640533618628979
456,max_variance,250,27.659185826778412
456,max_variance,260,49.194095112383366
456,max_variance,270,9.861181296408176
456,max_variance,280,11.517855368554592
456,max_variance,290,12.264150973409414
456,max_variance,300,63.094706043601036
789,max_variance,10,15.547539975494146
789,max_variance,20,17.099564112722874
789,max_variance,30,29.34913992881775
789,max_variance,40,13.676186840981245
789,max_variance,50,43.92981266230345
789,max_variance,60,16.70360381528735
789,max_variance,70,44.8352816849947
789,max_variance,80,22.168525867164135
789,max_variance,90,9.882941748946905
789,max_variance,100,24.195163644850254
789,max_variance,110,23.666646011173725
789,max_variance,120,25.754701919853687
789,max_variance,130,12.674496080726385
789,max_variance,140,15.47303818911314
789,max_variance,150,67.46237953007221
789,max_variance,160,10.712757274508476
789,max_variance,170,45.739062793552876
789,max_variance,180,16.396449632942677
789,max_variance,190,10.944651760160923
789,max_variance,200,58.3315160125494
789,max_variance,210,11.915247574448586
789,max_variance,220,19.09116803109646
789,max_variance,230,78.20158139616251
789,max_variance,240,20.661037135869265
789,max_variance,250,51.71508705988526
789,max_variance,260,20.631337467581034
789,max_variance,270,28.130036905407906
789,max_variance,280,12.031476851552725
789,max_variance,290,11.48506247997284
789,max_variance,300,15.003485761582851
1011,max_variance,10,20.412152834236622
1011,max_variance,20,62.95403227210045
1011,max_variance,30,41.52752820402384
1011,max_variance,40,10.661201763898134
1011,max_variance,50,42.10484803467989
1011,max_variance,60,11.336413331329823
1011,max_variance,70,25.69616850838065
1011,max_variance,80,9.640594087541103
1011,max_variance,90,34.497635409235954
1011,max_variance,100,44.040759798139334
1011,max_variance,110,34.95129546895623
1011,max_variance,120,24.395203575491905
1011,max_variance,130,33.88501738011837
1011,max_variance,140,12.076075177639723
1011,max_variance,150,73.69038560986519
1011,max_variance,160,37.39669718593359
1011,max_variance,170,24.301842659711838
1011,max_variance,180,11.577635452151299
1011,max_variance,190,57.371702417731285
1011,max_variance,200,11.738861244171858
1011,max_variance,210,34.13656692951918
1011,max_variance,220,30.005673605948687
1011,max_variance,230,23.443985626101494
1011,max_variance,240,17.27063501626253
1011,max_variance,250,14.68149108812213
1011,max_variance,260,35.66021712496877
1011,max_variance,270,23.09034052491188
1011,max_variance,280,27.273057531565428
1011,max_variance,290,27.27079240977764
1011,max_variance,300,18.331212658435106
