episode,step,total_loss,loss_X1,loss_X2,loss_X3,loss_X4,loss_X5,loss_X10,loss_X11,loss_X12,loss_X13,loss_X14,loss_X15,loss_X16,loss_X17,loss_X18,loss_X19,loss_X20,loss_X21,loss_X22,loss_X23,loss_X24,loss_X25,loss_X26,loss_X27,loss_X28,loss_X29,loss_X30,loss_X6,loss_X7,loss_X8,loss_X9
0,0,54.72989661097527,0.9314996600151062,0.936153769493103,1.1102687120437622,0.9841923713684082,0.9871573448181152,3.2623751163482666,1.7910943031311035,2.895763635635376,1.9330134391784668,2.4578452110290527,2.200324535369873,1.0873339176177979,0.8827014565467834,2.0079190731048584,1.004258155822754,1.3855433464050293,1.539588212966919,3.6122162342071533,2.1975553035736084,4.308717250823975,4.24884033203125,2.2669036388397217,2.2569994926452637,1.1624631881713867,0.45598432421684265,2.397752046585083,1.306093692779541,3.8028056621551514,1.8136177062988281,1.4623329639434814
0,1,10.721676741540431,0.9437888264656067,0.9371170997619629,1.1182537078857422,1.0187053680419922,0.9868050813674927,0.04196292906999588,0.036990586668252945,0.14525842666625977,2.125298023223877,0.08725743740797043,0.22880695760250092,0.025166518986225128,0.07454148679971695,0.07080571353435516,0.2281874418258667,0.1590242087841034,0.5865116119384766,3.45515775680542,0.5877946615219116,0.22770646214485168,0.7448284029960632,0.2001570761203766,0.24007613956928253,0.08024939894676208,0.18702895939350128,0.06784243881702423,0.026273416355252266,0.035228971391916275,0.03382394090294838,0.02476375736296177
0,2,4.664857876673341,0.9347473978996277,0.9371101260185242,1.1427030563354492,1.0048539638519287,0.9884082078933716,0.03408845514059067,0.1349688023328781,0.13835099339485168,0.03411040082573891,0.045495789498090744,0.08398501574993134,0.02937144786119461,0.27044644951820374,0.05473490059375763,0.34156879782676697,0.07979791611433029,0.22447693347930908,0.2919275462627411,0.7910041213035583,0.21243490278720856,0.09366977214813232,0.046933822333812714,0.16481705009937286,0.12360598891973495,0.21337184309959412,0.1379568874835968,0.028118543326854706,0.03615505248308182,0.023822693154215813,0.02807920053601265
0,3,4.764789371192455,0.9283198118209839,0.9359311461448669,1.1168065071105957,0.9971856474876404,0.9866943359375,0.027179954573512077,0.2716400623321533,0.044635675847530365,0.028343072161078453,0.050848644226789474,0.14649394154548645,0.028535211458802223,0.12961775064468384,0.09067115932703018,0.37357404828071594,0.04698468744754791,0.13324545323848724,0.24615134298801422,0.6798281669616699,0.3755051791667938,0.10212330520153046,0.0721224695444107,0.08628106862306595,0.1874617040157318,0.27485817670822144,0.23841850459575653,0.02899765409529209,0.0411786325275898,0.02529597282409668,0.041810043156147
0,4,7.764588446170092,0.9280462861061096,0.9359129667282104,1.1148395538330078,0.9911315441131592,0.9875507354736328,0.027571434155106544,0.44246965646743774,0.05986114218831062,0.07248391211032867,0.06600473076105118,0.038029514253139496,0.030518028885126114,0.15827998518943787,0.04082237929105759,0.5671638250350952,0.041485611349344254,0.3156069815158844,0.8666388988494873,0.4598398208618164,1.9726276397705078,0.27533474564552307,0.0887085422873497,0.04271554574370384,0.3908514380455017,0.40778130292892456,0.26041552424430847,0.025881322100758553,0.05370558425784111,0.024548806250095367,0.04374585673213005
0,5,7.708519830927253,0.9275199174880981,0.9359132051467896,1.110131025314331,0.9858421683311462,0.9871439337730408,0.0303640216588974,0.5445041656494141,0.05383126437664032,0.07781151682138443,0.0347982794046402,0.051722340285778046,0.03243061155080795,0.2441449761390686,0.2630428075790405,0.6278659701347351,0.031910981982946396,0.3835896849632263,0.7511778473854065,0.2446357160806656,1.874908685684204,0.27285388112068176,0.11173567920923233,0.03765687718987465,0.41605550050735474,0.28814056515693665,0.20227394998073578,0.025447692722082138,0.052365489304065704,0.023848658427596092,0.042092617601156235
0,6,8.362295831367373,0.9281274676322937,0.9359132051467896,1.1112682819366455,0.9815935492515564,0.9875320196151733,0.0277341827750206,0.4958670735359192,0.14957474172115326,0.024844281375408173,0.029717056080698967,0.06349968910217285,0.029712345451116562,0.270975261926651,0.21232923865318298,0.2743000388145447,0.028831779956817627,0.22522574663162231,0.8564413189888,0.39984995126724243,2.7070493698120117,0.24478894472122192,0.1175830140709877,0.041214581578969955,0.2894890010356903,0.5467470288276672,0.19869360327720642,0.023154720664024353,0.05495110899209976,0.023938000202178955,0.03689684718847275
0,7,7.498466472327709,0.9320496320724487,0.9364838004112244,1.1117945909500122,0.9803614020347595,0.9872884750366211,0.028844421729445457,0.38645562529563904,0.19284242391586304,0.024522071704268456,0.027695637196302414,0.18734759092330933,0.03417733684182167,0.19963516294956207,0.1250854879617691,0.30904653668403625,0.02515076845884323,0.5209212303161621,0.40404173731803894,0.3649769127368927,2.3979477882385254,0.10452339798212051,0.08736875653266907,0.03269605338573456,0.4159623086452484,0.2914307117462158,0.21242447197437286,0.023411275818943977,0.03847290202975273,0.022598234936594963,0.051292046904563904
0,8,8.377942050248384,0.9321056008338928,0.936042845249176,1.110771656036377,0.9811989068984985,0.9873903393745422,0.03369416296482086,0.3049379289150238,0.09899235516786575,0.024501806125044823,0.04520246013998985,0.5256862640380859,0.0318058542907238,0.1618778109550476,0.1160852313041687,0.2680562734603882,0.035992130637168884,0.5760771632194519,0.40629708766937256,0.2890014052391052,2.8159337043762207,0.09999334812164307,0.5445325970649719,0.040593523532152176,0.46293580532073975,0.16900639235973358,0.21190588176250458,0.0230474304407835,0.034350719302892685,0.021703246980905533,0.04622959718108177
1,0,55.0675284922123,0.9314996600151062,0.936153769493103,1.1102687120437622,0.9841923713684082,0.9871573448181152,2.9612178802490234,1.6966229677200317,2.4432671070098877,2.6192164421081543,2.4644899368286133,1.7727553844451904,0.4208524525165558,0.7994546294212341,2.4220685958862305,0.7625460028648376,2.267068386077881,1.4666895866394043,4.203522682189941,2.8560986518859863,3.4844541549682617,3.9841694831848145,1.4469101428985596,2.4880800247192383,1.5377081632614136,0.5600057244300842,2.6080589294433594,1.0615652799606323,4.76705265045166,1.411051630973816,1.5727472305297852
1,1,11.121783053129912,0.9428881406784058,0.9373058080673218,1.101226568222046,0.9841923713684082,0.9936069250106812,0.03691401332616806,0.14038053154945374,0.263176292181015,0.03690339997410774,0.36439648270606995,0.3061073422431946,0.08538498729467392,0.18891657888889313,0.06225251778960228,1.074865698814392,0.039214760065078735,0.10855869203805923,0.4359278082847595,0.12950190901756287,0.8699120283126831,0.8662021160125732,0.3200056552886963,0.1057010143995285,0.09864578396081924,0.13518096506595612,0.07690183818340302,0.027315940707921982,2.068683385848999,1.50539231300354,0.7834970355033875
1,2,5.955693095549941,0.9584819674491882,0.9373034238815308,1.1049765348434448,1.0004088878631592,0.996626615524292,0.046592630445957184,0.03408259153366089,0.4226855933666229,0.023847660049796104,0.11433978378772736,0.2200888842344284,0.20902222394943237,0.077977254986763,0.21503455936908722,0.024854661896824837,0.09108064323663712,0.3484717011451721,0.555979311466217,0.5447054505348206,0.2849850058555603,0.3579632043838501,0.05455232039093971,0.12644600868225098,0.1216035708785057,0.06707439571619034,0.49974092841148376,0.02830846607685089,0.41301193833351135,0.02827506698668003,0.045409753918647766
1,3,8.56866073384881,0.9433068633079529,0.9373034238815308,1.105124831199646,0.9890763759613037,0.9921661615371704,0.04687473550438881,0.05040811747312546,0.5215533375740051,0.0260988287627697,0.0800161138176918,0.3322467505931854,0.1839074343442917,0.07704486697912216,0.24112169444561005,0.027323884889483452,0.06118634343147278,0.46328943967819214,0.6670560240745544,1.0385808944702148,0.44245535135269165,1.1713593006134033,0.5162156820297241,0.12021368741989136,0.07848156243562698,0.12520277500152588,0.834714949131012,0.02897525578737259,0.3676629662513733,0.021501271054148674,0.05177393555641174
1,4,9.428155583888293,0.9369629621505737,0.9428814053535461,1.1070425510406494,0.9818605780601501,0.9885932803153992,0.04169479012489319,0.0819736197590828,0.09229350835084915,0.030437514185905457,0.11490008980035782,0.1699737161397934,0.0324697270989418,0.09596764296293259,0.10617972910404205,0.07479371875524521,0.24038274586200714,2.122154951095581,0.6151254177093506,2.635488271713257,0.2677355706691742,0.3510250151157379,0.25612857937812805,0.04664729908108711,0.16674593091011047,0.11342490464448929,0.6580919623374939,0.030844124034047127,0.03040197491645813,0.027787471190094948,0.03401915356516838
1,5,9.722760104387998,0.9369662404060364,0.94419926404953,1.1095678806304932,0.9825707077980042,0.9877026081085205,0.030646726489067078,0.07576782256364822,0.2666915953159332,0.025773562490940094,0.05444592982530594,0.2631884217262268,0.02648632414638996,0.07681851089000702,0.13503919541835785,0.08893271535634995,0.2691531479358673,2.1740365028381348,0.832885205745697,3.0178565979003906,0.28856754302978516,0.3798415958881378,0.049582961946725845,0.023814700543880463,0.18412935733795166,0.16225267946720123,0.1925116926431656,0.02096741646528244,0.028896722942590714,0.030708378180861473,0.03156345710158348
1,6,11.808837559446692,0.9369663000106812,0.9417071342468262,1.1113337278366089,0.9815027713775635,0.9887866973876953,0.032105520367622375,0.05078835412859917,0.656524121761322,0.02397146448493004,0.07870934903621674,0.1382986158132553,0.025942467153072357,0.08146870881319046,0.20877228677272797,0.11596101522445679,0.3057951033115387,2.04217267036438,1.0798031091690063,4.399407863616943,0.27567940950393677,0.548622727394104,0.061563972383737564,0.023815397173166275,0.26235076785087585,0.15092432498931885,0.1343258023262024,0.022847454994916916,0.03675185516476631,0.029806189239025116,0.030369682237505913
1,7,14.965909181907772,0.9361963868141174,0.9360423684120178,1.1128811836242676,0.9807085394859314,0.9894588589668274,0.02945600263774395,0.04292170703411102,1.651052713394165,0.026880208402872086,0.046643294394016266,0.10499751567840576,0.026194417849183083,0.10749691724777222,0.05745624378323555,0.09395761042833328,0.07026807218790054,1.143203854560852,1.1732076406478882,7.72337532043457,0.30911821126937866,0.8227552175521851,0.05848369002342224,0.02926507219672203,0.13560840487480164,0.1180187314748764,0.09397860616445541,0.02251165546476841,0.03588690981268883,0.022735705599188805,0.02937799133360386
