episode,total_loss
1,10.802939355373383
10,4.127685340121388
20,2.505431809462607
30,2.211685282178223
40,2.1263527953997254
50,2.124718581326306
60,2.094856433570385
70,2.0703001990914345
80,2.0566972559317946
90,2.083249758929014
100,2.085004939697683
110,2.098256723023951
120,2.124332332983613
130,2.149662584066391
140,2.124397488310933
150,2.1189215295016766
160,2.2102786749601364
170,2.192321725189686
