step,target,value,query_samples,observed_total_loss,broad_total_loss
0,X1,-5.0,50,18.424076452851295,28.39167010784149
1,X2,-4.0,100,21.042865961790085,29.097678995132444
2,X4,-3.0,150,8.039428405463696,6.074215063452721
3,X1,-2.0,240,6.0420444291085005,2.474424711614847
4,X2,-1.0,290,5.803575959056616,2.4729801543056964
5,X4,0.0,340,5.580992130562663,2.6947728123515846
6,X1,1.0,430,5.2603303994983435,2.766677286662161
7,X2,2.0,480,5.133455125615001,1.7202801277861
8,X4,3.0,530,4.996529892086983,1.433070612512529
9,X1,4.0,620,4.9130789786577225,1.3762249534949662
10,X2,5.0,670,4.786112795583904,1.4396633848547937
11,X4,-5.0,720,4.639140231534839,1.428691610507667
12,X1,-4.0,810,4.399679965339601,1.3398414842784405
13,X2,-3.0,860,4.293237463571131,1.2377978892996908
14,X4,-2.0,910,4.187816694378853,1.1765029123052955
15,X1,-1.0,1000,3.9898495404049754,1.1168262947350742
16,X2,0.0,1050,3.8980936547741294,1.080907659046352
17,X4,1.0,1100,3.81352892331779,1.0615138929337262
18,X1,2.0,1190,3.640638016164303,1.0231438660994172
19,X2,3.0,1240,3.5645554093644023,1.000644730590284
20,X4,4.0,1290,3.49487635307014,0.9771702002733946
21,X1,5.0,1380,3.366333991289139,0.915799497999251
22,X2,-5.0,1430,3.3045275937765837,0.893764559365809
23,X4,-4.0,1480,3.243946250528097,0.8743168083950877
24,X1,-3.0,1570,3.127370757982135,0.8255735527724029
25,X2,-2.0,1620,3.0751664889976382,0.7995888443663717
26,X4,-1.0,1670,3.025471127592027,0.7825461365282536
27,X1,0.0,1760,2.932442607358098,0.7610926270484925
28,X2,1.0,1810,2.888011652044952,0.7369372060522437
29,X4,2.0,1860,2.8484662417322397,0.7170013274997473
30,X1,3.0,1950,2.776619247160852,0.6960123363882303
31,X2,4.0,2000,2.7401275848969817,0.6903351247310638
