track,seed,condition,method,budget,validation_samples,mse,fallback_weight,validation_base_sse,validation_proposal_sse
prior_gate,2014,correct,broad,16,8,0.017476635086262626,,,
prior_gate,2014,correct,proposal,16,8,0.00909802854720954,,,
prior_gate,2014,correct,validation_gate,16,8,0.009103207883868532,0.0010341861145439966,0.8112026426728307,0.501912881532628
prior_gate,2014,correct,broad,32,8,0.010879261428225965,,,
prior_gate,2014,correct,proposal,32,8,0.007086052382887886,,,
prior_gate,2014,correct,validation_gate,32,8,0.007503818764162758,0.13050003954619432,0.16989086853873586,0.0845463544056001
prior_gate,2014,correct,broad,64,8,0.0024437878453720356,,,
prior_gate,2014,correct,proposal,64,8,0.002480072584200509,,,
prior_gate,2014,correct,validation_gate,64,8,0.002461772604097621,0.47612537164773444,0.21350160231991772,0.20920089870429345
prior_gate,2014,wrong,broad,16,8,0.017476635086262626,,,
prior_gate,2014,wrong,proposal,16,8,0.027163612303488606,,,
prior_gate,2014,wrong,validation_gate,16,8,0.017476635086262626,1.0,0.8112026426728307,4.592422973596035
prior_gate,2014,wrong,broad,32,8,0.010879261428225965,,,
prior_gate,2014,wrong,proposal,32,8,0.004176509146121723,,,
prior_gate,2014,wrong,validation_gate,32,8,0.003909404549181959,0.10753596777072583,0.16989086853873586,0.07466363086033605
prior_gate,2014,wrong,broad,64,8,0.0024437878453720356,,,
prior_gate,2014,wrong,proposal,64,8,0.0021579812544107123,,,
prior_gate,2014,wrong,validation_gate,64,8,0.002009647106380662,0.3038394264314312,0.21350160231991772,0.17619295806037194
