track,seed,method,budget,requested_budget,actuator_penalty,background_sd,actions,mse,interaction_error,posterior_risk
design,123,random_single,8,400,0,0.0,1,1.7100019659485621,0.81,3.112047952394583
design,123,random_single,40,400,0,0.0,5,1.441182289775181,0.81,1.7789489528697604
design,123,random_single,80,400,0,0.0,10,1.4406090812335695,0.81,1.7781527250508173
design,123,random_single,160,400,0,0.0,20,1.4405074094277925,0.81,1.7779730754016316
design,123,random_single,400,400,0,0.0,50,1.4400524139837851,0.81,1.777852775668462
design,123,design_single,8,400,0,0.0,1,1.560321401447476,0.81,3.112047952394583
design,123,design_single,40,400,0,0.0,5,1.4407009089319767,0.81,1.7785587898157458
design,123,design_single,80,400,0,0.0,10,1.44008199761489,0.81,1.7781527250508173
design,123,design_single,160,400,0,0.0,20,1.4402281181569425,0.81,1.7779652645951107
design,123,design_single,400,400,0,0.0,50,1.4401463277429858,0.81,1.777852775668462
design,123,random_joint,8,400,0,0.0,1,1.5626383267203638,0.81,3.112047952394583
design,123,random_joint,40,400,0,0.0,5,0.025449875726262106,0.0030761391910282053,1.4227325092870022
design,123,random_joint,80,400,0,0.0,10,0.000293652358036025,0.00012925310711588744,0.0008331060464435809
design,123,random_joint,160,400,0,0.0,20,5.470141020289395e-05,3.0181483999978535e-05,0.00020398916379279846
design,123,random_joint,400,400,0,0.0,50,3.822380951614264e-05,3.1929925768797494e-07,7.352804261956595e-05
design,123,design_joint,8,400,0,0.0,1,0.9152384930465619,0.11197258067656833,2.8150057646601256
design,123,design_joint,40,400,0,0.0,5,0.0011412327107128896,0.00037055879278650897,0.00046868428842416945
design,123,design_joint,80,400,0,0.0,10,0.0003509364623598048,6.935775430160976e-05,0.00022394382706008323
design,123,design_joint,160,400,0,0.0,20,0.0002369705413131831,9.746836911924124e-06,0.0001093715668895334
design,123,design_joint,400,400,0,0.0,50,0.00011571560412715267,2.427535204903887e-07,4.378951363053098e-05
