episode,episode_final_loss
0,5.783764539286494
1,5.773363381624222
2,5.783077077940106
3,5.783858073875308
4,5.790046347305179
5,5.751188479363918
6,5.762802040204406
7,5.8030971493572
8,5.754882538691163
9,5.7558042369782925
10,5.778713326901197
11,5.7576115522533655
12,5.7732571847736835
13,5.773165920749307
14,5.826282799243927
15,5.788576915860176
16,5.771511623635888
17,5.812127012759447
18,5.787181973457336
19,5.772706512361765
20,5.745475523173809
21,5.781032586470246
22,5.75809290073812
23,5.7559884414076805
24,5.767590073868632
25,5.832933817058802
26,5.7894967794418335
27,5.788457265123725
28,5.770173845812678
29,5.784413270652294
30,5.7844339068979025
31,5.8097660932689905
32,5.828034147620201
33,5.828500639647245
34,5.779717870056629
35,5.775924338027835
36,5.784388104453683
37,5.798550754785538
38,5.784382810816169
39,5.808993751183152
40,5.771187109872699
41,5.774227136746049
42,5.7717801705002785
43,5.8062948808074
44,5.8163120448589325
45,5.7589771300554276
46,5.7852430790662766
47,5.741145515814424
48,5.758305177092552
49,5.796547336503863
50,5.8096315916627645
51,5.768791934475303
52,5.789814863353968
53,5.764155741780996
54,5.798028100281954
55,5.765636365860701
56,5.779627270996571
57,5.769524361938238
58,5.794928623363376
59,5.793604837730527
60,5.776471726596355
61,5.7683426309376955
62,5.755952103063464
63,5.752313792705536
64,5.767007812857628
65,5.803994212299585
66,5.786582384258509
67,5.785511849448085
68,5.788685781881213
69,5.741826629266143
70,5.799715144559741
71,5.771608339622617
72,5.770209593698382
73,5.7728326842188835
74,5.806993434205651
75,5.766295190900564
76,5.766152389347553
77,5.742138050496578
78,5.7577242106199265
79,5.779568873345852
80,5.802424646914005
81,5.759445909410715
82,5.763549400493503
83,5.785322915762663
84,5.744674872606993
85,5.802485724911094
86,5.791915059089661
87,5.763658287003636
88,5.777338948100805
89,5.782154118642211
90,5.77155315130949
91,5.765382317826152
92,5.787297088652849
93,5.771576600149274
94,5.777312207967043
95,5.76453310251236
96,5.7563208639621735
97,5.7821380496025085
98,5.770437575876713
99,5.77217436209321
100,5.803083758801222
101,5.771843116730452
102,5.742528006434441
103,5.7589886002242565
104,5.765067445114255
105,5.783672068268061
106,5.779103495180607
107,5.795680211856961
108,5.777107015252113
109,5.764463800936937
110,5.7855935506522655
111,5.758175136521459
112,5.785901062190533
113,5.800771903246641
114,5.797612706199288
115,5.80842356197536
116,5.757563084363937
117,5.767676027491689
118,5.78102295473218
119,5.799817029386759
120,5.8047409523278475
121,5.7779876086860895
122,5.751799866557121
123,5.78253335878253
124,5.824751293286681
125,5.793474018573761
126,5.79301629960537
127,5.736837826669216
128,5.774727184325457
129,5.812813920900226
130,5.809143990278244
131,5.794372763484716
132,5.782190224155784
133,5.7639787979424
134,5.787407537922263
135,5.740962579846382
136,5.814596915617585
137,5.7643711026757956
138,5.784783625975251
139,5.8048035111278296
140,5.8208109848201275
141,5.803214114159346
142,5.785799540579319
143,5.798217561095953
144,5.764637622982264
145,5.766665475443006
146,5.832732362672687
147,5.761524103581905
148,5.814505899325013
149,5.8027924578636885
