step,target,value,query_samples,observed_total_loss,broad_total_loss
0,X6,4.675974369049072,50,7.895560445263982,19.386826220154763
1,X1,-5.0,100,5.765261327847838,3.2404410414397717
2,X6,-4.561553955078125,150,5.703250991180539,2.719736792892218
3,X5,4.503341197967529,240,5.663803141564131,1.880698785558343
4,X20,4.441296577453613,290,5.665564373135567,1.8751862708479166
5,X17,2.42232608795166,340,5.662485929206014,1.884799575433135
6,X18,-5.0,430,5.66104881465435,1.8398089196532965
7,X8,-5.0,480,5.658473389223218,1.7791787322610617
8,X8,5.0,530,5.652053942903876,1.7673229649662971
9,X25,3.8229894638061523,620,5.648644393309951,1.7620965506881476
10,X23,5.0,670,5.649297742173076,1.7555240981280802
11,X23,-5.0,720,5.647058362141252,1.7577910002321007
12,X11,5.0,810,5.6449699848890305,1.725237897410989
13,X7,-5.0,860,5.642626412212849,1.7154030047357083
14,X16,5.0,910,5.64189275354147,1.7191463306546213
15,X11,-5.0,1000,5.637592762708664,1.7251085549592973
16,X2,-4.989596366882324,1050,5.637379329651594,1.703136468678713
17,X23,3.6806106567382812,1100,5.637783428654075,1.7020738366991282
18,X10,5.0,1190,5.634594211354852,1.6802065543830396
19,X16,-5.0,1240,5.6344086695462465,1.6739055559039118
20,X2,5.0,1290,5.633375922217965,1.6729721266776325
21,X18,4.875034332275391,1380,5.633468117564917,1.6675145000219347
22,X4,-5.0,1430,5.631949914619327,1.6593774475157261
23,X15,-5.0,1480,5.630111541599035,1.658690968900919
24,X4,4.47845458984375,1570,5.63218554481864,1.6576632153242827
25,X17,5.0,1620,5.631520338356495,1.6583868999034168
26,X7,5.0,1670,5.63084308989346,1.6502623423933984
27,X17,-3.902764320373535,1760,5.632653148844838,1.646556966006756
28,X19,-5.0,1810,5.633280461654067,1.6487189300358296
29,X12,5.0,1860,5.633968491107225,1.650678911432624
30,X19,5.0,1950,5.636937877163291,1.6524788692593575
31,X25,-4.8487229347229,2000,5.638164706528187,1.6545980356633665
