seed,changed,change_type,method,target_budget,source_samples,mse,changed_mse,unchanged_mse,old_selection_mass
3004,1,coefficient,scratch,120,2560,0.7558660715591226,0.552512281139505,0.7628782712287645,
3004,1,coefficient,warm,120,2560,0.04678160399562547,0.3679762402018768,0.03570592688506507,
3004,1,coefficient,source_retrieval,120,2560,0.05434841492073054,0.5256349791798656,0.03809715408420863,0.8666666666666667
3004,1,coefficient,source_mixture,120,2560,0.052732478700245645,0.5256349791798656,0.03642549592508634,0.890464363436291
3004,1,coefficient,scratch,200,2560,0.5898043062394858,0.2718300771312609,0.6007689348294245,
3004,1,coefficient,warm,200,2560,0.03378271640062393,0.1812108100106696,0.02869898903476028,
3004,1,coefficient,source_retrieval,200,2560,0.03537226602557663,0.21250652741651943,0.029264188046578602,0.8666666666666667
3004,1,coefficient,source_mixture,200,2560,0.035124351869101525,0.21250652741651943,0.029007725126087115,0.890464363436291
3004,1,coefficient,scratch,400,2560,0.030483724080040863,0.04027915171212966,0.030145950713417115,
3004,1,coefficient,warm,400,2560,0.019351719684608575,0.05282193334685847,0.0181975743859103,
3004,1,coefficient,source_retrieval,400,2560,0.01990779864876278,0.06609698487012916,0.01831506808940532,0.8666666666666667
3004,1,coefficient,source_mixture,400,2560,0.019808943257347018,0.06609698487012916,0.01821280389138901,0.890464363436291
