step,target,value,query_samples,observed_total_loss,broad_total_loss
0,X9,5.0,50,9.84169545955956,35.964647472277285
1,X8,-4.504528045654297,100,5.722885508090258,5.148596432060003
2,X9,-4.86570405960083,150,5.543538989499211,3.145672483369708
3,X13,-4.801511287689209,240,5.494502509012818,2.618878731876612
4,X17,-4.9419450759887695,290,5.481004361063242,2.2061935134232042
5,X17,5.0,340,5.470058865845203,1.9755987580865622
6,X13,5.0,430,5.449528401717544,1.9510202206671239
7,X12,5.0,480,5.446756521239877,1.8589175172150134
8,X3,-3.4273903369903564,530,5.445187784731388,1.8375873912125826
9,X4,4.416569709777832,620,5.444126980379224,1.8203836690634492
10,X19,5.0,670,5.44842341542244,1.7846380285918713
11,X6,-4.5695481300354,720,5.448630457744002,1.7706717729568482
12,X20,5.0,810,5.441694779321551,1.7589001663029196
13,X11,-5.0,860,5.440879801288247,1.7441946368664505
14,X6,5.0,910,5.438611850142479,1.7282936528325081
15,X14,3.8991270065307617,1000,5.4353590272367,1.6941364418715241
16,X11,5.0,1050,5.436854433268309,1.6837667409330606
17,X8,4.2856926918029785,1100,5.4391329772770405,1.6723076716065406
18,X4,-5.0,1190,5.4405555464327335,1.6494085501879454
19,X2,4.721506118774414,1240,5.441830845549703,1.6477264340966942
20,X2,-5.0,1290,5.44058277644217,1.643516981601715
21,X20,-5.0,1380,5.441437356173992,1.643395023420453
22,X24,-4.06387186050415,1430,5.441172976046801,1.640768313035369
23,X25,-5.0,1480,5.439285833388567,1.638260953500867
24,X10,5.0,1570,5.438772439956665,1.639396656677127
25,X19,-4.872034072875977,1620,5.440212357789278,1.6371183823794127
26,X15,5.0,1670,5.439358867704868,1.6350161448121072
27,X1,5.0,1760,5.438387501984835,1.6330292470753194
28,X17,-2.535297393798828,1810,5.439720891416073,1.6315503165125849
29,X12,3.416557788848877,1860,5.441403683274984,1.6300468333065512
30,X17,-3.2578847408294678,1950,5.44165082462132,1.6284726094454527
31,X11,1.482843279838562,2000,5.442459590733051,1.6279385443776846
