episode,episode_final_loss
0,5.809806099161506
1,5.825052632018924
2,5.81908611766994
3,5.841116512194276
4,5.82533422857523
5,5.819650964811444
6,5.822111239656806
7,5.791738389059901
8,5.81739935092628
9,5.8304675202816725
10,5.843702308833599
11,5.8221105840057135
12,5.823153646662831
13,5.827582141384482
14,5.805114019662142
15,5.8282296024262905
16,5.84208681806922
17,5.7835084311664104
18,5.805532280355692
19,5.829253042116761
20,5.821450848132372
21,5.837926918640733
22,5.835856515914202
23,5.82741249166429
24,5.806174790486693
25,5.819377638399601
26,5.820078147575259
27,5.818423293530941
28,5.81785748526454
29,5.785894215106964
30,5.80683508887887
31,5.798062179237604
32,5.839281937107444
33,5.835749866440892
34,5.826007904484868
35,5.86389335244894
36,5.857244499027729
37,5.832632731646299
38,5.812623610720038
39,5.839503237977624
40,5.8162705805152655
41,5.814945857971907
42,5.791755806654692
43,5.815961355343461
44,5.791335765272379
45,5.805307395756245
46,5.8386557307094336
47,5.809996582567692
48,5.792840577661991
49,5.833839094266295
50,5.821549538522959
51,5.796523002907634
52,5.827299105003476
53,5.8613231256604195
54,5.781580353155732
55,5.840085677802563
56,5.797774288803339
57,5.805326594039798
58,5.817759741097689
59,5.825903072953224
60,5.83642503619194
61,5.85737644135952
62,5.818138586357236
63,5.799723759293556
64,5.8167110197246075
65,5.850197413936257
66,5.799471067264676
67,5.80894579552114
68,5.792394157499075
69,5.842180395498872
70,5.835207900032401
71,5.799095327034593
72,5.860474366694689
73,5.852873796597123
74,5.8303521648049355
75,5.82213419675827
76,5.83391485363245
77,5.855751184746623
78,5.812604708597064
79,5.824913740158081
80,5.81531785428524
81,5.824013205245137
82,5.824282601475716
83,5.822725582867861
84,5.842652212828398
85,5.840372005477548
86,5.830578081309795
87,5.8574622962623835
88,5.8160305973142385
89,5.822926349937916
90,5.823301773518324
91,5.821685845032334
92,5.827698972076178
93,5.7947680950164795
94,5.814659986644983
95,5.816811027005315
96,5.819428402930498
97,5.814733615145087
98,5.816240958869457
99,5.810743929818273
100,5.833188433200121
101,5.848256677389145
102,5.818827357143164
103,5.840434595942497
104,5.80388200096786
105,5.844238156452775
106,5.84464074857533
107,5.8124042227864265
108,5.848682187497616
109,5.833713661879301
110,5.818297600373626
111,5.8312511667609215
112,5.85456027649343
113,5.825795004144311
114,5.823207996785641
115,5.808553909882903
116,5.818374460563064
117,5.797481287270784
118,5.814234429970384
119,5.832381127402186
120,5.821983451023698
121,5.823505559936166
122,5.783481078222394
123,5.812196835875511
124,5.82585010305047
125,5.8200868256390095
126,5.82041409611702
127,5.779090985655785
128,5.82745679281652
129,5.824778623878956
130,5.781472485512495
131,5.804953718557954
132,5.83171283826232
133,5.830855114385486
134,5.85689858533442
135,5.838307272642851
136,5.802260939031839
137,5.852940669283271
138,5.831899035722017
139,5.836216665804386
140,5.7942725252360106
141,5.857653735205531
142,5.844154886901379
143,5.8056333269923925
144,5.800929585471749
145,5.829611130058765
146,5.834665812551975
147,5.798498950898647
148,5.827155103906989
149,5.840520869940519
