track,seed,method,budget,requested_budget,actuator_penalty,background_sd,actions,mse,interaction_error,posterior_risk
design,42,random_single,8,400,0,0.15,1,0.14162687640012095,0.06708495241494165,1.5070036805374825
design,42,random_single,40,400,0,0.15,5,0.0043916579420432535,0.002410099311304515,0.008454550938506604
design,42,random_single,80,400,0,0.15,10,0.0005842227661555417,0.0002854851543326043,0.0058946933316336965
design,42,random_single,160,400,0,0.15,20,0.003203198134638886,0.0016226317689390516,0.002962463279355384
design,42,random_single,400,400,0,0.15,50,0.0001749462767641261,1.0351748951141529e-05,0.0011140014437991555
design,42,design_single,8,400,0,0.15,1,0.0015607703114132866,0.00016690652434404077,1.444720817500824
design,42,design_single,40,400,0,0.15,5,0.010576519822123463,0.005778098707446557,0.011362837322187177
design,42,design_single,80,400,0,0.15,10,0.02137764958203868,0.011635115453618046,0.0059768360649159824
design,42,design_single,160,400,0,0.15,20,0.004121072424389567,0.0018683557060491126,0.002828569280236038
design,42,design_single,400,400,0,0.15,50,0.00011976416121848627,3.754503281224502e-06,0.0011428140767779863
design,42,random_joint,8,400,0,0.15,1,0.052126758657513705,0.025132825372437495,1.45539436780767
design,42,random_joint,40,400,0,0.15,5,0.0005470109627499497,1.7226192684009867e-06,0.0007138328652787204
design,42,random_joint,80,400,0,0.15,10,0.00018454172791890937,4.66394517624571e-12,0.00040961261888075747
design,42,random_joint,160,400,0,0.15,20,0.00031564437824132684,1.6435065933805976e-05,0.00019680430709777448
design,42,random_joint,400,400,0,0.15,50,0.00011643689865925417,1.504618194329599e-07,7.769611719274937e-05
design,42,design_joint,8,400,0,0.15,1,0.0477515958606698,0.021572036735368855,1.4743719700861693
design,42,design_joint,40,400,0,0.15,5,0.0008852866104016618,0.000133297865208368,0.0007173482066743699
design,42,design_joint,80,400,0,0.15,10,0.0002589135004998907,8.047007059595877e-05,0.00024723916715248246
design,42,design_joint,160,400,0,0.15,20,0.00011681508189175631,3.462965886361859e-05,0.00011679232243265325
design,42,design_joint,400,400,0,0.15,50,8.467591444073308e-05,6.980365847918369e-06,4.4770649028816544e-05
