track,seed,condition,method,budget,validation_samples,mse,fallback_weight,validation_base_sse,validation_proposal_sse
prior_gate,2003,correct,broad,16,8,0.02620976169691208,,,
prior_gate,2003,correct,proposal,16,8,0.006797598580988629,,,
prior_gate,2003,correct,validation_gate,16,8,0.007104802316038664,0.04646639125688848,0.5479906780312067,0.41202563549999943
prior_gate,2003,correct,broad,32,8,0.004422604178139493,,,
prior_gate,2003,correct,proposal,32,8,0.003262202279792693,,,
prior_gate,2003,correct,validation_gate,32,8,0.0033107784900658667,0.06271729040594215,0.3004608283121375,0.17876517817279938
prior_gate,2003,correct,broad,64,8,0.0033267754540958604,,,
prior_gate,2003,correct,proposal,64,8,0.0029233556536547426,,,
prior_gate,2003,correct,validation_gate,64,8,0.003118497500065795,0.511488325063676,0.12820157026932116,0.13026983279553442
prior_gate,2003,wrong,broad,16,8,0.02620976169691208,,,
prior_gate,2003,wrong,proposal,16,8,0.01815488580106473,,,
prior_gate,2003,wrong,validation_gate,16,8,0.026209761696912078,0.9999999999999998,0.5479906780312067,2.1586940168904722
prior_gate,2003,wrong,broad,32,8,0.004422604178139493,,,
prior_gate,2003,wrong,proposal,32,8,0.009146538825152225,,,
prior_gate,2003,wrong,validation_gate,32,8,0.00600790487403462,0.5439602403225414,0.3004608283121375,0.30839415544706905
prior_gate,2003,wrong,broad,64,8,0.0033267754540958604,,,
prior_gate,2003,wrong,proposal,64,8,0.005633530925048889,,,
prior_gate,2003,wrong,validation_gate,64,8,0.004415490739816412,0.44862212420204883,0.12820157026932116,0.11892079569892922
