dpo_loss,reward,cov_bonus,score,target,value,episode,step
0.6931471824645996,-1.5,8.294635068818481,6.794635068818481,X13,1.71373,0,0
0.7017378211021423,-1.5,8.507137973688945,7.007137973688945,X13,-2.48162172993971,0,1
0.8351871967315674,-1.5,1.1278160101790984,-0.3721839898209016,X11,-2.78,0,2
1.2308913469314575,-1.5,0.4358204313786457,-1.0641795686213542,X5,3.0,0,3
0.637003481388092,-1.5,7.032891234040893,5.532891234040893,X7,-0.15,0,5
0.12292543798685074,-1.5,4.613368264349015,3.113368264349015,X17,-0.27,0,7
0.0064501576125621796,-1.5,8.559232911005978,7.059232911005978,X19,-0.0,0,8
0.0009866334730759263,-1.5,10.310668293533368,8.810668293533368,X19,-0.3,0,10
3.0002624953340273e-06,-1.5,9.53206235148544,8.03206235148544,X19,-0.0,0,11
0.6931471824645996,3.40070116519928,5.269004373169968,8.669705538369247,X2,1.5,1,0
0.00010203880083281547,-1.5,0.14732058200108575,-1.3526794179989143,X10,-2.0,1,5
5.651262472383678e-05,-1.5,3.106527775499029,25.259251567632056,X4,-0.72,2,1
0.6931471824645996,18.451154708862305,4.6620880711540025,43.81796757580534,X2,1.5,3,0
7.023175567155704e-05,-1.5,6.964784546267558,24.09982410276237,X13,-2.0,3,5
3.339543764013797e-05,-1.5,3.517558241788821,21.24327327998074,X13,-3.0,3,6
0.6931471824645996,21.111708164215088,5.1116669588680805,45.88134397269198,X2,1.5,4,0
0.0006641711806878448,-1.5,0.10783664866242412,100.0,X1,-4.300261888736898,4,7
0.000561115681193769,-1.5,0.08214169291116773,100.0,X3,1.1551491595138055,4,10
5.263804681021611e-08,-1.5,1.9679355585633866,21.715399506032462,X9,-0.0,4,11
4.4955913836020045e-07,0.0,0.05281568842799887,100.0,X1,-3.2411331829346834,4,17
9.076995866053039e-07,0.0,0.058332796899902464,100.0,X3,2.436554421595849,4,20
18.438329696655273,-1.5,10.57024237928905,28.571424926417137,X2,1.5,5,1
0.002155654365196824,0.0,0.14684787359386922,100.0,X1,4.048384783401769,5,3
5.325613869899826e-07,-1.5,0.08701816731409252,100.0,X3,-1.6387045630161756,5,6
0.00015006210014689714,0.0,7.801464797735175,100.0,X1,-1.2087378443586374,6,1
0.0002208157820859924,0.0,0.08718570552014293,100.0,X3,2.479256519552858,6,5
0.00016273834626190364,0.0,5.451895712894735,100.0,X1,4.838443515146713,7,0
1.5378031093860045e-05,0.0,0.2552292766678472,100.0,X3,0.38172906448255794,7,3
1.697450534265954e-05,-1.5,0.11975053236632902,100.0,X1,2.2007466410419427,7,7
3.8565616705454886e-05,0.0,0.13370429207461043,100.0,X3,-2.485963237990585,7,10
0.00013007718371227384,0.0,0.09224516587223722,100.0,X1,-2.256886732167327,7,13
8.165118288161466e-07,0.0,0.06044222814721888,100.0,X3,2.644434453261942,7,17
1.4315282896859571e-06,0.0,4.492124820779864,100.0,X1,-4.24935131098832,8,0
4.663236552460148e-07,0.0,0.10667306846434778,100.0,X3,3.2663115965005964,8,3
1.6112484445329756e-05,-1.5,2.9876058564737487,21.16206604586045,X11,-1.0,8,5
5.119687784826965e-07,0.0,0.22848058855814574,100.0,X1,-2.1178220463854425,9,2
6.871157420818008e-09,0.0,0.07224779302655009,100.0,X3,-2.9644176164972613,9,5
2.540498655889678e-07,0.0,0.06596775270890531,100.0,X1,0.5126507688046971,9,9
5.601180852465859e-09,0.0,0.05826167944489058,100.0,X3,-1.5487605830699245,9,12
2.2426762669169875e-08,0.0,0.3379920064343198,100.0,X1,-4.629803886544238,10,2
5.869113920198288e-06,-1.5,3.9056002073620495,17.489681458340772,X11,-4.0,10,4
