episode,episode_final_loss
0,1.9225965049117804
1,1.9157270854339004
2,1.9134131437167525
3,1.915192716754973
4,1.9137306846678257
5,1.917994731105864
6,1.9172456115484238
7,1.912716438062489
8,1.9163907812908292
9,1.919204542413354
10,1.913341493345797
11,1.91311717312783
12,1.9141404815018177
13,1.9157293224707246
14,1.9130383469164371
15,1.9215042376890779
16,1.916190991178155
17,1.9143088972195983
18,1.9167448170483112
19,1.916635031811893
20,1.9179067285731435
21,1.9168657483533025
22,1.9131952254101634
23,1.9165638331323862
24,1.9155723927542567
25,1.913498162291944
26,1.9188884804025292
27,1.913589172065258
28,1.9172295210883021
29,1.9128569830209017
30,1.913173551671207
31,1.914326691068709
32,1.9125980315729976
33,1.9180086646229029
34,1.9135944796726108
35,1.9140562182292342
36,1.9178940439596772
37,1.9125632531940937
38,1.9134926982223988
39,1.9149708077311516
