seed,changed,change_type,method,target_budget,source_samples,mse,changed_mse,unchanged_mse,old_selection_mass
3007,1,coefficient,scratch,120,2560,0.3351866052356148,0.6131868739600987,0.32560038907270156,
3007,1,coefficient,warm,120,2560,0.04288596413855989,0.2681445438381402,0.035118426907539885,
3007,1,coefficient,source_retrieval,120,2560,0.04414018157320686,0.2792436775241146,0.03603316447145142,0.8666666666666667
3007,1,coefficient,source_mixture,120,2560,0.04332908109148467,0.27924367752241264,0.03519409500765957,0.8743298500719395
3007,1,coefficient,scratch,200,2560,0.30538406388975436,0.15917082779110442,0.31042589961729405,
3007,1,coefficient,warm,200,2560,0.03701762464869781,0.16425688186627668,0.03263006405498819,
3007,1,coefficient,source_retrieval,200,2560,0.037392789361311976,0.1594113350518911,0.03318525330301615,0.8666666666666667
3007,1,coefficient,source_mixture,200,2560,0.03677512887511226,0.159411335052565,0.03254629417933801,0.8743298500719395
3007,1,coefficient,scratch,400,2560,0.035964195297593544,0.013579025079287871,0.03673609771891444,
3007,1,coefficient,warm,400,2560,0.01486003880096688,0.005645573212788126,0.0151777789936627,
3007,1,coefficient,source_retrieval,400,2560,0.014998406550658821,0.006050397098931395,0.015306958600718389,0.8666666666666667
3007,1,coefficient,source_mixture,400,2560,0.01488657276385516,0.006050397098867908,0.015191268476440926,0.8743298500719395
