step,target,value,query_samples,observed_total_loss,broad_total_loss
0,X1,-5.0,50,6.918732402846217,12.933526616543531
1,X2,-4.0,100,5.571669800207019,4.524248068034649
2,X3,-3.0,150,5.531081568449736,4.08338705226779
3,X4,-2.0,240,5.500241909176111,3.6999523643404246
4,X5,-1.0,290,5.482171040028334,4.078642724081874
5,X6,0.0,340,5.473511232063174,4.540660034120083
6,X7,1.0,430,5.470893658697605,5.315549198538065
7,X8,2.0,480,5.461424062028527,4.639208607003093
8,X9,3.0,530,5.458422873169184,3.257955601811409
9,X10,4.0,620,5.463059244677424,3.0715713195502756
10,X11,5.0,670,5.4577135387808084,3.155119734629989
11,X12,-5.0,720,5.454493360593915,3.2997296668589113
12,X13,-4.0,810,5.452302534133196,3.5134779449552296
13,X14,-3.0,860,5.458853729069233,3.497058206424117
14,X15,-2.0,910,5.461569603532553,3.6695619467645884
15,X17,-1.0,1000,5.454861154779792,3.640727011859417
16,X19,0.0,1050,5.45345289260149,3.814779701828957
17,X20,1.0,1100,5.452386397868395,3.915051167830825
18,X22,2.0,1190,5.449298167601228,4.235469428077341
19,X24,3.0,1240,5.44865838252008,4.351098247990013
20,X25,4.0,1290,5.44876984320581,4.492783465236426
21,X1,-2.0,1380,5.4486975986510515,4.776418853551149
22,X2,-1.0,1430,5.4488535560667515,4.954755247756839
23,X3,0.0,1480,5.449994409456849,5.13674600198865
24,X4,1.0,1570,5.450223220512271,5.316781575977802
25,X5,2.0,1620,5.450877087190747,5.418000781163573
26,X6,3.0,1670,5.454358000308275,5.569550331681967
27,X7,4.0,1760,5.456163743510842,5.829535058140754
28,X8,5.0,1810,5.456456761807203,3.3240617584437135
29,X9,-5.0,1860,5.456299299374223,2.954473359137774
30,X10,-4.0,1950,5.453408835455775,3.020820311829448
31,X11,-3.0,2000,5.454075146466494,3.0735999051481486
