episode,step,target,value,total_loss,loss_X1,loss_X2,loss_X3,loss_X4,loss_X5
0,0,X2,0.11884501355875354,19.85197338461876,0.9359259605407715,4.62192440032959,9.545426368713379,4.460892200469971,0.2878044545650482
0,1,X5,-1.0506917294523896,9.512304812669754,0.9302799701690674,1.970998764038086,2.298614263534546,4.1152777671813965,0.19713404774665833
0,2,X2,-4.339677302906625,6.293193526566029,0.9351940751075745,0.48545241355895996,0.9585303664207458,3.795757293701172,0.11825937777757645
0,3,X1,-1.5227254361469433,4.713232114911079,0.9294850826263428,0.0515664666891098,0.41729697585105896,3.2332215309143066,0.08166205883026123
0,4,X1,-2.193224035551137,4.40094019472599,0.9298112988471985,0.04447784274816513,0.35977551341056824,2.9884839057922363,0.07839163392782211
0,5,X5,3.104058431568795,4.1014732122421265,0.9243096113204956,0.03948758542537689,0.30024224519729614,2.762129545211792,0.07530422508716583
0,6,X3,-3.959622829681292,3.5942484755069017,0.9234219789505005,0.030131788924336433,0.20742996037006378,2.364946126937866,0.06831862032413483
0,7,X2,-0.5842993717586289,3.383079696446657,0.9234257936477661,0.027007948607206345,0.17539149522781372,2.1924171447753906,0.06483731418848038
0,8,X5,4.4232828706206,3.1933573577553034,0.923488974571228,0.0239280853420496,0.1489795297384262,2.0357754230499268,0.06118534505367279
0,9,X1,3.8965468265311536,2.992697261273861,0.9236271381378174,0.022055920213460922,0.22117257118225098,1.7726105451583862,0.05323108658194542
0,10,X3,1.6358935652279598,2.8729272969067097,0.9238804578781128,0.01884077861905098,0.21852700412273407,1.6623750925064087,0.04930396378040314
0,11,X3,3.6445112258616916,2.7651771008968353,0.923609733581543,0.01656610146164894,0.215873122215271,1.5637906789779663,0.04533746466040611
0,12,X4,1.4288354892126094,2.5689508328214288,0.9234130382537842,0.0139864357188344,0.1960131675004959,1.3974077701568604,0.038130421191453934
0,13,X2,4.150626168959539,2.5100834062322974,0.9234188199043274,0.013344931416213512,0.21012768149375916,1.3282309770584106,0.034960996359586716
0,14,X3,0.022612193982867623,2.4280476486310363,0.9234498739242554,0.012870493344962597,0.19208505749702454,1.2674944400787354,0.032147783786058426
0,15,X5,2.504859638519548,2.304138201288879,0.9234987497329712,0.012241165153682232,0.17145080864429474,1.1694272756576538,0.027520202100276947
0,16,X4,1.2537085676955897,2.258982416242361,0.9236253499984741,0.012022819370031357,0.16732855141162872,1.130267858505249,0.025737836956977844
0,17,X1,4.807764288265023,2.221089637838304,0.923637330532074,0.011936812661588192,0.1644272804260254,1.096826434135437,0.024261780083179474
0,18,X5,-1.6392701340119853,2.158921050839126,0.9235100746154785,0.011716521345078945,0.15723483264446259,1.04441499710083,0.022044625133275986
0,19,X2,-3.9689457057608193,2.1370842214673758,0.9234597086906433,0.011633902788162231,0.15595422685146332,1.0247511863708496,0.021285196766257286
0,20,X2,2.1477715854574058,2.117622452788055,0.9234837293624878,0.011569908820092678,0.15335038304328918,1.0085490942001343,0.02066933736205101
0,21,X5,1.295850672501178,2.086544031277299,0.923491358757019,0.011471187695860863,0.1470014601945877,0.984827995300293,0.019752029329538345
0,22,X2,2.9238372252201117,2.076449068263173,0.923467755317688,0.011445946991443634,0.14566248655319214,0.9764652252197266,0.01940765418112278
0,23,X3,1.336684593752235,2.0689954543486238,0.9234460592269897,0.011421813629567623,0.14517122507095337,0.9698494672775269,0.01910688914358616
0,24,X5,-1.3572997687444524,2.055333549156785,0.9236279129981995,0.011388849467039108,0.14125391840934753,0.9605216383934021,0.018541229888796806
1,0,X2,-2.885732314610366,13.747150123119354,0.9338751435279846,4.40065860748291,3.4182043075561523,4.460926532745361,0.5334855318069458
1,1,X3,-4.123851936999627,11.193103030323982,0.931032121181488,2.0296554565429688,3.875410795211792,4.109498023986816,0.24750663340091705
1,2,X1,4.803153514584238,5.776142209768295,0.931283175945282,0.2414991408586502,0.6510453224182129,3.7899906635284424,0.16232390701770782
1,3,X5,-0.46307078472952234,4.817574094980955,0.9239156246185303,0.025182295590639114,0.5534867644309998,3.2391231060028076,0.07586630433797836
1,4,X4,-0.7319563400846674,4.487845571711659,0.9236950278282166,0.021388130262494087,0.4781700670719147,2.99825119972229,0.06634114682674408
1,5,X5,-0.8088532016193382,4.229554727673531,0.9237805008888245,0.019129835069179535,0.4483006000518799,2.776855707168579,0.061488084495067596
1,6,X5,2.0120910395151324,3.767747487872839,0.9237256050109863,0.016048774123191833,0.40021660923957825,2.3842685222625732,0.04348797723650932
1,7,X4,0.5622291449693195,3.5693347891792655,0.9234448075294495,0.015175770036876202,0.3838169276714325,2.2106289863586426,0.03626829758286476
1,8,X1,4.359850144090844,3.3962660478428006,0.9234388470649719,0.01464815903455019,0.3720802664756775,2.053668737411499,0.03243003785610199
1,9,X1,-3.6620654464448688,3.137442333623767,0.9234640002250671,0.016776222735643387,0.38434848189353943,1.7851189374923706,0.02773469127714634
1,10,X1,1.6576309686259005,3.0029581785202026,0.9234768152236938,0.015119796618819237,0.3683543801307678,1.6699426174163818,0.026064569130539894
1,11,X1,-4.379314232731098,2.881922272965312,0.923477828502655,0.016220031306147575,0.34963178634643555,1.567742109298706,0.024850517511367798
1,12,X2,-1.9074546160300212,2.6751797245815396,0.9234226942062378,0.01325423177331686,0.3200191855430603,1.3953825235366821,0.023101089522242546
1,13,X2,4.114706333532746,2.60979868657887,0.9234323501586914,0.012666422873735428,0.32719290256500244,1.3239927291870117,0.022514281794428825
1,14,X3,-0.6050358883211606,2.542484490200877,0.9234222769737244,0.012242527678608894,0.32338640093803406,1.2616353034973145,0.02179798111319542
