seed,method,n_nodes,episodes,total_mse
42,random,30,300,11.807975184172392
123,random,30,300,12.224817093461752
456,random,30,300,9.625339716672897
789,random,30,300,11.04073015972972
1011,random,30,300,11.728605572134256
