episode,step,total_loss,loss_X1,loss_X2,loss_X10,loss_X11,loss_X12,loss_X13,loss_X14,loss_X15,loss_X3,loss_X4,loss_X5,loss_X6,loss_X7,loss_X8,loss_X9
0,0,31.135293447971343,0.9554615020751953,1.146030306816101,1.2316806316375732,1.2996039390563965,4.17889928817749,3.4449944496154785,1.5467125177383423,2.136190176010132,1.8020024299621582,4.807389736175537,2.130960464477539,4.070144176483154,1.4577991962432861,0.7042087912559509,1.9044092893600464
0,1,4.381109416484833,0.9723035097122192,1.1474874019622803,0.04191860556602478,0.05114931985735893,0.7669165134429932,0.13679614663124084,0.04586540535092354,0.05505847930908203,0.04999304935336113,0.03495302051305771,2.3216769695281982,0.22254490852355957,0.047664642333984375,0.043988343328237534,0.138625830411911
0,2,1.7570557437837124,0.9631150364875793,1.1446964740753174,0.029084615409374237,0.049260981380939484,0.40396246314048767,0.07582283020019531,0.051105644553899765,0.024860257282853127,0.04071797803044319,0.030914219096302986,0.04221906512975693,0.2625395953655243,0.10116586834192276,0.0767475962638855,0.1470923274755478
0,3,1.4547179605811835,0.9610047340393066,1.1464550495147705,0.02868793159723282,0.05614488944411278,0.10905782133340836,0.09984376281499863,0.05807013809680939,0.021399809047579765,0.044287122786045074,0.02865244820713997,0.03106100857257843,0.09458397328853607,0.1787731647491455,0.1049044206738472,0.17775951325893402
0,4,1.4214949287474155,0.9620248675346375,1.1461256742477417,0.057827968150377274,0.04797111451625824,0.057494331151247025,0.1537582129240036,0.02433394081890583,0.029965993016958237,0.036589402705430984,0.02748933620750904,0.09876018762588501,0.08921799063682556,0.19462619721889496,0.07778754085302353,0.10404260456562042
0,5,1.4499087128788233,0.9648519158363342,1.1454967260360718,0.057010456919670105,0.0505673922598362,0.058441709727048874,0.10898589342832565,0.02329048328101635,0.0315539613366127,0.033609069883823395,0.03158489242196083,0.09868456423282623,0.15415462851524353,0.24215716123580933,0.07517337799072266,0.06262539327144623
0,6,1.252010177075863,0.9652886986732483,1.1455060243606567,0.05242970585823059,0.049297019839286804,0.06500662863254547,0.09267248958349228,0.03388889133930206,0.023281224071979523,0.0345926359295845,0.02763836458325386,0.05390353500843048,0.155368834733963,0.11635003983974457,0.07781556248664856,0.04760630056262016
0,7,1.152389070391655,0.963640034198761,1.144844651222229,0.0432543009519577,0.05613274872303009,0.0676286593079567,0.0888466015458107,0.026125678792595863,0.02051049843430519,0.03578869625926018,0.02771679311990738,0.049555450677871704,0.10963539034128189,0.10935253649950027,0.06821776926517487,0.027927009388804436
0,8,1.1537488009780645,0.9611527323722839,1.1436967849731445,0.04108155146241188,0.05495400354266167,0.06699530780315399,0.07376609742641449,0.029299456626176834,0.025557640939950943,0.03722180426120758,0.03091808594763279,0.05473315715789795,0.074910469353199,0.12603838741779327,0.07320248335599899,0.044100452214479446
0,9,1.1690785270184278,0.9609285593032837,1.143586277961731,0.03250482305884361,0.05748831108212471,0.07026167213916779,0.10723520070314407,0.03105340339243412,0.02248285710811615,0.03992759436368942,0.027647733688354492,0.04371277987957001,0.07844237238168716,0.12396945059299469,0.0726531520485878,0.04079620912671089
