track,seed,condition,method,budget,validation_samples,mse,fallback_weight,validation_base_sse,validation_proposal_sse
prior_gate,2010,correct,broad,16,8,0.06517360338904962,,,
prior_gate,2010,correct,proposal,16,8,0.03794438955690054,,,
prior_gate,2010,correct,validation_gate,16,8,0.03794438955690054,2.706698756081022e-19,2.8619165042092813,0.9380140871502297
prior_gate,2010,correct,broad,32,8,0.01085248548266741,,,
prior_gate,2010,correct,proposal,32,8,0.005841330760824975,,,
prior_gate,2010,correct,validation_gate,32,8,0.00813679353505323,0.5225254186350367,0.33700155982674007,0.3410588815517706
prior_gate,2010,correct,broad,64,8,0.003347801601236898,,,
prior_gate,2010,correct,proposal,64,8,0.0028362589243682134,,,
prior_gate,2010,correct,validation_gate,64,8,0.003032790171910063,0.4210233840881785,0.3298654927888515,0.3155296756841012
prior_gate,2010,wrong,broad,16,8,0.06517360338904962,,,
prior_gate,2010,wrong,proposal,16,8,0.02688699368511225,,,
prior_gate,2010,wrong,validation_gate,16,8,0.02688699368511225,2.1574792606410199e-19,2.8619165042092813,0.9278085736055492
prior_gate,2010,wrong,broad,32,8,0.01085248548266741,,,
prior_gate,2010,wrong,proposal,32,8,0.008480661155560041,,,
prior_gate,2010,wrong,validation_gate,32,8,0.010480574576193707,0.9559488673849816,0.33700155982674007,0.4754824610959573
prior_gate,2010,wrong,broad,64,8,0.003347801601236898,,,
prior_gate,2010,wrong,proposal,64,8,0.002982205154218827,,,
prior_gate,2010,wrong,validation_gate,64,8,0.0027455650262065926,0.3111991939646749,0.3298654927888515,0.2941121413392601
