track,seed,method,budget,requested_budget,actuator_penalty,background_sd,actions,mse,interaction_error,posterior_risk
design,456,random_single,8,400,0,0.0,1,1.5607774555207956,0.81,3.112047952394583
design,456,random_single,40,400,0,0.0,5,1.440139806869647,0.81,1.7785587898157458
design,456,random_single,80,400,0,0.0,10,1.4404341674686818,0.81,1.7781683432778865
design,456,random_single,160,400,0,0.0,20,1.4400715170857112,0.81,1.7779730754016316
design,456,random_single,400,400,0,0.0,50,1.440213997506273,0.81,1.7778559003974816
design,456,design_single,8,400,0,0.0,1,1.563299845735744,0.81,3.112047952394583
design,456,design_single,40,400,0,0.0,5,1.440109257461946,0.81,1.7785587898157458
design,456,design_single,80,400,0,0.0,10,1.44017782178006,0.81,1.7781527250508173
design,456,design_single,160,400,0,0.0,20,1.4400922887870329,0.81,1.7779652645951107
design,456,design_single,400,400,0,0.0,50,1.4400252613936964,0.81,1.777852775668462
design,456,random_joint,8,400,0,0.0,1,0.6511883019081564,0.05864804123433536,2.8150057646601256
design,456,random_joint,40,400,0,0.0,5,0.0012846010786790665,6.267643311251015e-05,0.001041347862769905
design,456,random_joint,80,400,0,0.0,10,0.0004828810554559734,2.031867965655196e-05,0.00042746142884122747
design,456,random_joint,160,400,0,0.0,20,0.00037413008925549646,3.55218952636787e-05,0.00016563131658961765
design,456,random_joint,400,400,0,0.0,50,0.00010490202189252925,1.8703790986892804e-06,6.761542198590845e-05
design,456,design_joint,8,400,0,0.0,1,0.9146401893422446,0.11023514340605876,2.8150057646601256
design,456,design_joint,40,400,0,0.0,5,0.0011174868167731587,1.9366561145744404e-05,0.00046868428842416945
design,456,design_joint,80,400,0,0.0,10,0.0007561478220097553,1.84659006085514e-05,0.00022394382706008323
design,456,design_joint,160,400,0,0.0,20,0.0002554129990910424,7.838591097599192e-06,0.0001093715668895334
design,456,design_joint,400,400,0,0.0,50,8.487264236225133e-05,5.649054172252738e-06,4.378951363053098e-05
