seed,changed,change_type,method,target_budget,source_samples,mse,changed_mse,unchanged_mse,old_selection_mass
3008,3,family,scratch,120,2560,0.8613403671105736,1.2270337998365555,0.8207077634743535,
3008,3,family,warm,120,2560,0.0997864398502735,0.6262069598347866,0.041295270963105375,
3008,3,family,source_retrieval,120,2560,0.04298984662458067,0.045957976105057675,0.042660054460083224,0.5666666666666667
3008,3,family,source_mixture,120,2560,0.04177478169869952,0.04595889959314839,0.041309879710427426,0.7343625912426643
3008,3,family,scratch,200,2560,0.3814184934421056,0.41675601891024905,0.37749210172342307,
3008,3,family,warm,200,2560,0.04063116189836533,0.14256289917863754,0.029305413311668412,
3008,3,family,source_retrieval,200,2560,0.028536883260494517,0.020676257052131063,0.029410286172534893,0.5666666666666667
3008,3,family,source_mixture,200,2560,0.028186774471854206,0.020676583623561815,0.029021240121664474,0.7343625912426643
3008,3,family,scratch,400,2560,0.026117535228443546,0.025408495688865645,0.02619631739950776,
3008,3,family,warm,400,2560,0.011220865286974382,0.01592686552411646,0.010697976371736372,
3008,3,family,source_retrieval,400,2560,0.010976919907490217,0.0140483631576103,0.010635648435254653,0.5666666666666667
3008,3,family,source_mixture,400,2560,0.010973215881682189,0.014048332380846615,0.01063153627066392,0.7343625912426643
