episode,episode_final_loss
0,5.395438799634576
1,5.397181164473295
2,5.400238810107112
3,5.395735362544656
4,5.397435603663325
5,5.3967655673623085
6,5.400488294661045
7,5.393902160227299
8,5.397595837712288
9,5.395573811605573
10,5.3969684559851885
11,5.398511277511716
12,5.395684877410531
13,5.394654728472233
14,5.397904330864549
15,5.393402254208922
16,5.39463372156024
17,5.396592792123556
18,5.394428325816989
19,5.399537982419133
20,5.3941565454006195
21,5.395918756723404
22,5.3944623079150915
23,5.396191637963057
24,5.395643934607506
25,5.395194109529257
26,5.39799134247005
27,5.399827267974615
28,5.39515651203692
29,5.4005574733018875
30,5.400554858148098
31,5.3945496790111065
32,5.398329770192504
33,5.396645449101925
34,5.396506637334824
35,5.398759359493852
36,5.396005634218454
37,5.3974413722753525
38,5.395748754963279
39,5.396450899541378
40,5.397308494895697
41,5.394500955939293
42,5.394733626395464
43,5.394937325268984
44,5.398783588781953
45,5.39991164393723
46,5.395798435434699
47,5.39775176346302
48,5.3933563735336065
49,5.394993467256427
50,5.394118661060929
51,5.395492605865002
52,5.401745775714517
53,5.395497990772128
54,5.400145618245006
55,5.394110536202788
56,5.398837154731154
57,5.395162049680948
58,5.396297346800566
59,5.398137643933296
60,5.394868962466717
61,5.400053258985281
62,5.395820170640945
63,5.394268365576863
64,5.402728892862797
65,5.394625650718808
66,5.395234294235706
67,5.3951991982758045
68,5.394329058006406
69,5.3928755056113005
70,5.396664524450898
71,5.396962929517031
72,5.400291033089161
73,5.3946070075035095
74,5.397744532674551
75,5.393437189981341
76,5.396348660811782
77,5.394298234954476
78,5.397794840857387
79,5.396031282842159
80,5.393621204420924
81,5.397266615182161
82,5.396372655406594
83,5.39556878246367
84,5.3934965915977955
85,5.398424096405506
86,5.39704635553062
87,5.39456213824451
88,5.397844137623906
89,5.401842365041375
90,5.398666406050324
91,5.4002691116184
92,5.3982965014874935
93,5.395881807431579
94,5.396308591589332
95,5.395743938162923
96,5.402422262355685
97,5.397211376577616
98,5.394616028293967
99,5.399994317442179
100,5.393927369266748
101,5.396718550473452
102,5.400188626721501
103,5.391977038234472
104,5.393295884132385
105,5.39409364014864
106,5.394327651709318
107,5.3957274835556746
108,5.398699305951595
109,5.394910743460059
110,5.394328368827701
111,5.39827823266387
112,5.39489446952939
113,5.394791658967733
114,5.396781362593174
115,5.3971316907554865
116,5.3942900467664
117,5.395537598058581
118,5.394770743325353
119,5.3993811421096325
120,5.397004464641213
121,5.393470710143447
122,5.394413832575083
123,5.3955297861248255
124,5.401415908709168
125,5.395888390019536
126,5.397984970360994
127,5.396158654242754
128,5.398923974484205
129,5.393328348174691
130,5.396754974499345
131,5.397024437785149
132,5.400880889967084
133,5.398003272712231
134,5.395391259342432
135,5.395310509949923
136,5.3952246978878975
137,5.395980264991522
138,5.396776344627142
139,5.393873296678066
140,5.398067612200975
141,5.400373533368111
142,5.397782728075981
143,5.396131968125701
144,5.395567545667291
145,5.399094833061099
146,5.396690305322409
147,5.393836989998817
148,5.395082961767912
149,5.39512631483376
150,5.396699473261833
151,5.400847917422652
152,5.397484255954623
153,5.396860960870981
154,5.3981966488063335
155,5.395599668845534
156,5.396174103021622
157,5.394482156261802
158,5.394682366400957
159,5.392128439620137
160,5.396509867161512
161,5.394467929378152
162,5.397457057610154
163,5.397299945354462
164,5.404042907059193
165,5.397717196494341
166,5.395736031234264
167,5.393236413598061
168,5.399594837799668
169,5.400702580809593
170,5.3964237328618765
171,5.397191705182195
172,5.397361524403095
173,5.397543016821146
174,5.393767798319459
175,5.3965634144842625
176,5.396994076669216
177,5.3954798970371485
178,5.395548850297928
179,5.394287155941129
180,5.398847317323089
181,5.399361811578274
182,5.395742643624544
183,5.398298408836126
184,5.40004993788898
185,5.396557420492172
186,5.398733088746667
187,5.396432481706142
188,5.396812293678522
189,5.397052234038711
190,5.39459278434515
191,5.395366381853819
192,5.395525421947241
193,5.396617755293846
194,5.393864898011088
195,5.395634211599827
196,5.396900484338403
197,5.3951417822390795
198,5.3941802233457565
199,5.39741394855082
200,5.396131884306669
201,5.394962852820754
202,5.394245291128755
203,5.396667446941137
204,5.401071837171912
205,5.398439593613148
206,5.394748413935304
207,5.3952265456318855
208,5.394119139760733
209,5.39447876624763
210,5.399028353393078
211,5.394989671185613
212,5.397114127874374
213,5.39273776486516
214,5.39610430598259
215,5.393767820671201
216,5.397688403725624
217,5.402789808809757
218,5.394334338605404
219,5.395303452387452
220,5.395716169849038
221,5.3972700871527195
222,5.393688432872295
223,5.397532692179084
224,5.392473740503192
225,5.395366076380014
226,5.393555862829089
227,5.396768528968096
228,5.395852290093899
229,5.396589927375317
230,5.395093934610486
231,5.396696038544178
232,5.402161136269569
233,5.397579699754715
234,5.397150905802846
235,5.397035142406821
236,5.397171253338456
237,5.395688919350505
238,5.395969167351723
239,5.398415260016918
240,5.393402047455311
241,5.39320220798254
242,5.396353714168072
243,5.396841248497367
244,5.393680555745959
245,5.396860186010599
246,5.39726509526372
247,5.397692354395986
248,5.396078260615468
249,5.396040163934231
250,5.392552191391587
251,5.393972864374518
252,5.39710352383554
253,5.392473973333836
254,5.396758591756225
255,5.395977383479476
256,5.393458638340235
257,5.396195475012064
258,5.397873720154166
259,5.393699619919062
260,5.392499776557088
