step,target,value,query_samples,observed_total_loss,broad_total_loss
0,X1,4.508360862731934,50,9.614418491721153,20.685506796836854
1,X1,4.641392707824707,100,8.579674862325191,17.333088010549545
2,X4,-5.0,150,6.725807253271341,7.776048493385315
3,X1,-5.0,240,6.004340212792158,5.847695739567279
4,X2,2.3587193489074707,290,5.76293158531189,3.752003990113735
5,X2,-4.311935901641846,340,5.572505896911025,2.1557695612311365
6,X2,-4.864439010620117,430,5.248973128385842,2.22304035872221
7,X2,0.6158974766731262,480,5.105339754372835,2.105590869486332
8,X1,-3.6842784881591797,530,4.968602458015084,1.99609459284693
9,X2,5.0,620,4.692778248339891,1.709842314571142
10,X2,0.5364599823951721,670,4.556893042288721,1.6050562663003802
11,X1,3.64363956451416,720,4.480750596150756,1.572402034327388
12,X1,4.952373504638672,810,4.2492887787520885,1.5363098347559572
13,X2,-1.4257893562316895,860,4.153504288755357,1.3394122490659357
14,X2,-2.434366464614868,910,4.053994701243937,1.2634952794760466
15,X2,-1.4538675546646118,1000,3.8717357888817787,1.163933236896992
16,X1,-2.332318067550659,1050,3.7843921706080437,1.1224488181993366
17,X4,-3.504030704498291,1100,3.7031063148751855,0.9775377281010151
18,X1,2.2086730003356934,1190,3.536531725898385,0.8549987625330686
19,X1,2.0080878734588623,1240,3.4587052445858717,0.8232204841449857
20,X2,-1.932939887046814,1290,3.3867975613102317,0.7911847228184343
21,X2,-4.744686603546143,1380,3.2605241341516376,0.7551060942932963
22,X2,-0.9290683269500732,1430,3.1999484822154045,0.7364974748343229
23,X1,1.5755362510681152,1480,3.141860032454133,0.7193924564868213
24,X1,-1.336235761642456,1570,3.034545948728919,0.6954401034861803
25,X1,3.1658935546875,1620,2.9870590269565582,0.6843758387491107
26,X1,5.0,1670,2.9374862173572183,0.6738101005554199
27,X1,1.709571123123169,1760,2.846784853376448,0.6534539556130767
28,X1,1.727853536605835,1810,2.8050613552331924,0.6460750538855791
29,X2,0.44033363461494446,1860,2.7666255347430706,0.6389089483767748
30,X1,4.2706685066223145,1950,2.693317179568112,0.6283699326217176
31,X1,1.8631725311279297,2000,2.6592123238369823,0.6238945668563247
