method,seed,per_node_best,per_node_final,n_nodes,n_episodes,query_total
ace_env,1011,0.08136657137157662,0.3961332258103149,28,40,479800
ace_env,123,0.06986130513250827,0.1052355940999656,29,40,581800
ace_env,42,0.157121904840072,0.3581920554488897,30,40,398900
ace_env,456,0.0785208759962448,0.11421342961756246,28,40,536100
ace_env,789,0.16060968398534017,0.40483940611111713,29,40,420700
ace_student,1011,0.11214079951335276,0.22416751074737734,28,40,117900
ace_student,123,0.07476996331122415,0.08832623402363267,29,40,152700
ace_student,42,0.11675879358003538,0.25513191731025775,30,40,119900
ace_student,456,0.08285146596442375,0.10285483791625925,28,40,138200
ace_student,789,0.09399800797731711,0.3963467190491742,29,40,122000
bayesian_oed,1011,0.19556522804001966,0.19832338026414317,30,5000,484200
bayesian_oed,123,0.19207100433607896,0.1932618536055088,30,5000,484200
bayesian_oed,42,0.19430071370055277,0.19648358697692553,30,5000,484200
bayesian_oed,456,0.195287445311745,0.19583713226020336,30,5000,484200
bayesian_oed,789,0.19068672234813372,0.19189103413373232,30,5000,484200
max_variance,1011,0.1946435134857893,0.19675374670575063,30,5000,497100
max_variance,123,0.19319898076355457,0.19370723211516935,30,5000,497100
max_variance,42,0.19421052237351735,0.1946411356329918,30,5000,497100
max_variance,456,0.19399617078403633,0.19521752602110307,30,5000,497100
max_variance,789,0.1916863443950812,0.19170628264546394,30,5000,497100
random,1011,0.19411417432129383,0.19705433081835508,30,5000,484500
random,123,0.19151860003670057,0.19343639655659597,30,5000,484500
random,42,0.19243290939678748,0.19562376743803422,30,5000,484500
random,456,0.19346755935500065,0.1957769832884272,30,5000,484500
random,789,0.19002755247056485,0.1929890086253484,30,5000,484500
round_robin,1011,0.19496100265532731,0.19711207381139198,30,5000,484500
round_robin,123,0.19184134639799597,0.19370990749448538,30,5000,484500
round_robin,42,0.1924222777908047,0.19711359310895205,30,5000,484500
round_robin,456,0.19442617166787385,0.19756199419498444,30,5000,484500
round_robin,789,0.19034444435189168,0.1933214571326971,30,5000,484500
