episode,episode_final_loss
0,5.913261283189058
1,5.956298096105456
2,5.895567238330841
3,5.9270174279809
4,5.913043612614274
5,5.880513172596693
6,5.927375303581357
7,5.8975264597684145
8,5.922702606767416
9,5.921616462990642
10,5.929068027064204
11,5.9497014079242945
12,5.911365073174238
13,5.881899857893586
14,5.93850034289062
15,5.898363247513771
16,5.898096250370145
17,5.907700955867767
18,5.933243492618203
19,5.880827866494656
20,5.9625971801579
21,5.914777055382729
22,5.955379938706756
23,5.976538626477122
24,5.936126723885536
25,5.955387122929096
26,5.955007951706648
27,5.889004668220878
28,5.985151968896389
29,5.919321466237307
30,5.888211902230978
31,5.914652111008763
32,5.913246503099799
33,5.871321862563491
34,5.924023006111383
35,5.902868941426277
36,5.92941957898438
37,5.936006650328636
38,5.944089500233531
39,5.882040036842227
40,5.876070762053132
41,5.913127651438117
42,5.910817997530103
43,5.902489300817251
44,5.914820551872253
45,5.9298153799027205
46,5.866162749007344
47,5.884703686460853
48,5.862297348678112
49,5.921036493033171
