track,seed,condition,method,budget,validation_samples,mse,fallback_weight,validation_base_sse,validation_proposal_sse
prior_gate,2008,correct,broad,16,8,0.026551799011496447,,,
prior_gate,2008,correct,proposal,16,8,0.011865789073550737,,,
prior_gate,2008,correct,validation_gate,16,8,0.011865789073550737,6.39967019771369e-63,6.876932333570675,0.43263468551693174
prior_gate,2008,correct,broad,32,8,0.0019053219263875255,,,
prior_gate,2008,correct,proposal,32,8,0.0015639613971674877,,,
prior_gate,2008,correct,validation_gate,32,8,0.0016796820910135897,0.44657372521101885,0.13785922216803867,0.1282056403534615
prior_gate,2008,correct,broad,64,8,0.0009955396352004364,,,
prior_gate,2008,correct,proposal,64,8,0.0008627014991868475,,,
prior_gate,2008,correct,validation_gate,64,8,0.0009169369438892123,0.4627497650486304,0.07955194924792444,0.07283446043753378
prior_gate,2008,wrong,broad,16,8,0.026551799011496447,,,
prior_gate,2008,wrong,proposal,16,8,0.029822920803823372,,,
prior_gate,2008,wrong,validation_gate,16,8,0.029822920803823372,1.3695348642364887e-63,6.876932333570675,0.36325479744916983
prior_gate,2008,wrong,broad,32,8,0.0019053219263875255,,,
prior_gate,2008,wrong,proposal,32,8,0.0033424502508585157,,,
prior_gate,2008,wrong,validation_gate,32,8,0.0019173491262783166,0.6689399714136165,0.13785922216803867,0.16951197975725163
prior_gate,2008,wrong,broad,64,8,0.0009955396352004364,,,
prior_gate,2008,wrong,proposal,64,8,0.001107122778322042,,,
prior_gate,2008,wrong,validation_gate,64,8,0.0010333805643849975,0.43984572752459783,0.07955194924792444,0.06867148086963394
