episode,step,regime,train_loss,eval_loss
0,0,mixed,0.7143003940582275,0.9107245802879333
0,1,mixed,0.715870201587677,0.6706897616386414
0,2,mixed,0.5146011710166931,0.43317142128944397
0,3,mixed,0.47636109590530396,0.36436861753463745
0,4,mixed,0.23838375508785248,0.2568237781524658
0,5,great_inflation,0.3750264048576355,0.24310876429080963
0,6,great_inflation,0.22274941205978394,0.19818149507045746
0,7,great_inflation,0.1512356847524643,0.2132972925901413
0,8,great_inflation,0.1876426637172699,0.21688053011894226
0,9,great_inflation,0.09698101878166199,0.20025791227817535
0,10,great_moderation,0.02661297842860222,0.28485462069511414
0,11,great_moderation,0.022405708208680153,0.22154052555561066
0,12,great_moderation,0.0194091796875,0.25557634234428406
0,13,great_moderation,0.0324815958738327,0.24987663328647614
0,14,great_moderation,0.01941058598458767,0.2105248123407364
0,15,great_recession,0.029455574229359627,0.1501522660255432
0,16,post_crisis,0.018851911649107933,0.20306327939033508
0,17,covid,0.08720260858535767,0.29434657096862793
0,18,great_inflation,0.13510556519031525,0.2880936861038208
0,19,volcker_disinflation,0.025554973632097244,0.3712868094444275
1,0,mixed,0.9626510143280029,0.9991363286972046
1,1,mixed,0.7140759229660034,0.7559370994567871
1,2,mixed,0.6103822588920593,0.6658916473388672
1,3,mixed,0.4715292453765869,0.5211057066917419
1,4,mixed,0.3649815320968628,0.2799816429615021
1,5,great_inflation,0.3434489071369171,0.24657565355300903
1,6,great_inflation,0.3135190010070801,0.29162535071372986
1,7,great_inflation,0.13779594004154205,0.272152304649353
1,8,great_inflation,0.14431515336036682,0.3156323730945587
1,9,great_inflation,0.1653340756893158,0.24856027960777283
1,10,great_moderation,0.07573337852954865,0.5486544966697693
1,11,great_moderation,0.05724859610199928,0.36141833662986755
1,12,great_moderation,0.03169648349285126,0.4544309973716736
1,13,great_moderation,0.025168294087052345,0.44534987211227417
1,14,great_moderation,0.017732493579387665,0.4425739645957947
1,15,great_recession,0.04228243976831436,0.22074425220489502
1,16,post_crisis,0.04881549999117851,0.35791099071502686
1,17,covid,0.05299472436308861,0.6879979968070984
1,18,great_inflation,0.355195015668869,0.4017086327075958
1,19,volcker_disinflation,0.09134659171104431,0.3036862015724182
2,0,mixed,0.9765650033950806,0.8194762468338013
2,1,mixed,0.7238308191299438,0.7035639882087708
2,2,mixed,0.36661064624786377,0.49392154812812805
2,3,mixed,0.3715444505214691,0.44044047594070435
2,4,mixed,0.23864854872226715,0.3415718078613281
2,5,great_inflation,0.307359904050827,0.23292629420757294
2,6,great_inflation,0.19322559237480164,0.3188004195690155
2,7,great_inflation,0.2933005094528198,0.3268109858036041
2,8,great_inflation,0.2033541053533554,0.32078230381011963
2,9,great_inflation,0.23249605298042297,0.39505401253700256
2,10,great_moderation,0.05621589720249176,0.46873873472213745
2,11,great_moderation,0.04982457309961319,0.36232617497444153
2,12,great_moderation,0.051451876759529114,0.5305829644203186
2,13,great_moderation,0.03830524533987045,0.5272404551506042
2,14,great_moderation,0.028580494225025177,0.4778386652469635
2,15,great_recession,0.10315584391355515,0.20845597982406616
2,16,post_crisis,0.060478225350379944,0.2859167456626892
2,17,covid,0.10382138192653656,0.4284106492996216
2,18,great_inflation,0.21194477379322052,0.4004925787448883
2,19,volcker_disinflation,0.03336828202009201,0.4114091098308563
3,0,mixed,1.0088649988174438,0.9654616713523865
3,1,mixed,0.8254730105400085,0.7307530045509338
3,2,mixed,0.7940583825111389,0.6645491123199463
3,3,mixed,0.4754674434661865,0.5928417444229126
3,4,mixed,0.513216495513916,0.4356118142604828
3,5,great_inflation,0.21297509968280792,0.3831644356250763
3,6,great_inflation,0.30553969740867615,0.2852354645729065
3,7,great_inflation,0.18127508461475372,0.3531509041786194
3,8,great_inflation,0.19698695838451385,0.3335139751434326
3,9,great_inflation,0.17719219624996185,0.3188709020614624
3,10,great_moderation,0.09000589698553085,0.5695942044258118
3,11,great_moderation,0.06574375927448273,0.43090564012527466
3,12,great_moderation,0.046840108931064606,0.40604615211486816
3,13,great_moderation,0.03751187399029732,0.4965035915374756
3,14,great_moderation,0.02331623248755932,0.501130223274231
3,15,great_recession,0.1832333207130432,0.37547576427459717
3,16,post_crisis,0.011066539213061333,0.35492831468582153
3,17,covid,0.08321580290794373,0.6534151434898376
3,18,great_inflation,0.3402714133262634,0.7259626984596252
3,19,volcker_disinflation,0.04578389599919319,0.8656848669052124
4,0,mixed,0.7161909341812134,0.6264104247093201
4,1,mixed,0.6599039435386658,0.48399001359939575
4,2,mixed,0.42720574140548706,0.3914144039154053
4,3,mixed,0.19445012509822845,0.2894936800003052
4,4,mixed,0.23066826164722443,0.169623464345932
4,5,great_inflation,0.36692267656326294,0.18631908297538757
4,6,great_inflation,0.20175166428089142,0.2544878125190735
4,7,great_inflation,0.08809052407741547,0.2774592936038971
4,8,great_inflation,0.13754120469093323,0.19660617411136627
4,9,great_inflation,0.06614431738853455,0.3100365102291107
4,10,great_moderation,0.057708315551280975,0.2996578812599182
4,11,great_moderation,0.03300315886735916,0.4453412890434265
4,12,great_moderation,0.04632672667503357,0.331929087638855
4,13,great_moderation,0.03458240255713463,0.2843998372554779
4,14,great_moderation,0.023299438878893852,0.2262299507856369
4,15,great_recession,0.05569576844573021,0.25264811515808105
4,16,post_crisis,0.03801315277814865,0.31856295466423035
4,17,covid,0.06285903602838516,0.4860387146472931
4,18,great_inflation,0.22794316709041595,0.3654569387435913
4,19,volcker_disinflation,0.09899014234542847,0.26405686140060425
5,0,mixed,0.6719630360603333,0.8150268793106079
