episode,episode_final_loss
0,2.1377437403425574
1,2.137281108647585
2,2.134084771387279
3,2.148254483938217
4,2.0932106589898467
5,2.1873549250885844
6,2.1321083353832364
7,2.0968707455322146
8,2.2057944210246205
9,2.1045506773516536
10,2.1345454221591353
11,2.1109510269016027
12,2.068555382080376
13,2.0774426385760307
14,2.1779599552974105
15,2.146431291475892
16,2.138538746163249
17,2.161464052274823
18,2.1194494822993875
19,2.1333329854533076
20,2.137253787368536
21,2.1271415380761027
22,2.1310041677206755
23,2.1478950064629316
24,2.1354764038696885
25,2.121006604284048
26,2.126448269933462
27,2.154638947919011
28,2.140756887383759
29,2.139253079891205
30,2.112246067263186
31,2.1932408530265093
32,2.0893191434442997
33,2.1385004986077547
34,2.1065459083765745
35,2.139036768116057
36,2.150253568775952
37,2.119873876683414
38,2.1419678209349513
39,2.155952191911638
40,2.134352471679449
41,2.123757624067366
42,2.0946052614599466
43,2.1528381891548634
44,2.1492302222177386
45,2.144222591072321
46,2.1913011642172933
47,2.1432090904563665
48,2.1681911749765277
49,2.147745084017515
50,2.145889929495752
51,2.077497203834355
52,2.1433934727683663
53,2.0951702389866114
54,2.090205301530659
55,2.163601172156632
56,2.2225294914096594
57,2.0877692187204957
58,2.1650352366268635
59,2.080920111387968
60,2.141093311831355
61,2.134005943313241
62,2.1372250355780125
63,2.117905443534255
64,2.103884644806385
65,2.1163569251075387
66,2.136805790476501
67,2.096826670691371
68,2.0687961764633656
69,2.082222775556147
70,2.087005440145731
71,2.147187678143382
72,2.1192063186317682
73,2.1393535202369094
74,2.14609045535326
75,2.1315602753311396
76,2.1114686019718647
77,2.1034495383501053
78,2.1249201856553555
79,2.0931255826726556
80,2.0960313603281975
81,2.0906280362978578
82,2.106573460623622
83,2.130717797204852
84,2.0914916042238474
85,2.14767506159842
86,2.1853670813143253
87,2.1073574610054493
88,2.0852582743391395
89,2.158188750036061
90,2.1161275384947658
91,2.1287552881985903
92,2.210806831717491
93,2.1315690837800503
94,2.114405369386077
95,2.0830116644501686
96,2.1620814921334386
97,2.1232629558071494
98,2.0936646880581975
99,2.1792645044624805
100,2.0924675054848194
101,2.1039995355531573
102,2.3573877923190594
103,2.100436246022582
104,2.099872151389718
105,2.1107223527505994
106,2.2592512434348464
107,2.280931146815419
108,2.1587902437895536
109,2.1701295096427202
110,2.1673562871292233
111,2.084781860932708
112,2.162249995395541
113,2.0990133360028267
114,2.139258000999689
115,2.123421215452254
116,2.137663694098592
117,2.233372543938458
118,2.0692626144737005
119,2.081816357560456
120,2.188699292950332
121,2.0903475107625127
122,2.1089970162138343
123,2.0825002193450928
124,2.0891548227518797
125,2.2177244843915105
126,2.1072398386895657
127,2.22318774741143
128,2.1997216418385506
129,2.1369748264551163
130,2.0963724721223116
131,2.112271225079894
132,2.25172483548522
133,2.113020815886557
134,2.1036996357142925
135,2.1929804487153888
136,2.2000750564038754
137,2.105232944712043
138,2.1232094122096896
139,2.087477591820061
140,2.1223947629332542
141,2.1533868219703436
142,2.1138265943154693
143,2.103129180148244
144,2.14029891602695
145,2.1139918519183993
146,2.0805787155404687
147,2.1117153968662024
148,2.1918590227141976
149,2.2059469213709235
150,2.118866420350969
151,2.112053034827113
152,2.101497480645776
153,2.1389847937971354
154,2.2056295573711395
155,2.1519110361114144
156,2.1101317200809717
157,2.1124309757724404
158,2.1080786576494575
159,2.121107678860426
160,2.2202653298154473
161,2.132630243897438
162,2.097834928892553
163,2.122060273773968
164,2.086601517163217
165,2.3710463838651776
166,2.131564744748175
167,2.202370344661176
168,2.1691871639341116
169,2.1289031570777297
170,2.3583384696394205
