method,seed,per_node_best,per_node_final,n_nodes,n_episodes,query_total
ace_env,1011,0.09601115413010122,0.11142777781933547,5,200,3345800
ace_env,123,0.09072596486657858,0.17404606800526382,5,200,3176300
ace_env,42,0.08977981556206942,0.19200401082634927,5,200,3007300
ace_env,456,0.09761556882411242,0.16966251216828823,5,200,3297800
ace_env,789,0.09671850621700287,0.20727750841528175,5,200,3195100
ace_student,1011,0.09576278839260341,0.17299780417233707,5,200,216700
ace_student,123,0.09516894381493331,0.12576949190348388,5,200,910400
ace_student,42,0.09393426965922118,0.12410512756556273,5,200,894100
ace_student,456,0.09648988917469978,0.18281434819102288,5,200,923700
ace_student,789,0.0967190121859312,0.099932272285223,5,200,133500
max_variance,1011,0.4106477851048112,0.4178813798353076,5,39,3231150
max_variance,123,0.4153326729312539,0.4295052971690893,5,39,3231150
max_variance,42,0.3866147896274924,0.39584352914243937,5,39,3231150
max_variance,456,0.4000182503834367,0.4110988950356841,5,39,3231150
max_variance,789,0.3973200609907508,0.4028629491105676,5,39,3231150
ppo,1011,0.4445506654679775,0.45427519306540487,5,1125,3206250
ppo,123,0.3732793083414435,0.3771928997710347,5,1125,3206250
ppo,42,0.3902819599956274,0.40169190485030415,5,1125,3206250
ppo,456,0.38072016276419157,0.3844554252922535,5,1125,3206250
ppo,789,0.3915685111656785,0.4030958341434598,5,1125,3206250
random,1011,0.40961178932338954,0.40961178932338954,5,1125,3206250
random,123,0.41460591536015273,0.43183777928352357,5,1125,3206250
random,42,0.3844933701679111,0.41484849005937574,5,1125,3206250
random,456,0.39956960584968326,0.41163021363317964,5,1125,3206250
random,789,0.3953838005661965,0.4084336904808878,5,1125,3206250
round_robin,1011,0.4091680845245719,0.41288921758532526,5,1125,3206250
round_robin,123,0.4137233428657055,0.42080727573484183,5,1125,3206250
round_robin,42,0.3845335341989994,0.3913589896634221,5,1125,3206250
round_robin,456,0.3991001052781939,0.42764368038624523,5,1125,3206250
round_robin,789,0.39435933586210015,0.40760771483182917,5,1125,3206250
