track,seed,method,budget,requested_budget,actuator_penalty,background_sd,actions,mse,interaction_error,posterior_risk
design,456,random_single,8,400,1,0.0,1,1.5607774555207956,0.81,3.112047952394583
design,456,random_single,40,400,1,0.0,5,1.440139806869647,0.81,1.7785587898157458
design,456,random_single,80,400,1,0.0,10,1.4404341674686818,0.81,1.7781683432778865
design,456,random_single,160,400,1,0.0,20,1.4400715170857112,0.81,1.7779730754016316
design,456,random_single,400,400,1,0.0,50,1.440213997506273,0.81,1.7778559003974816
design,456,design_single,8,400,1,0.0,1,1.563299845735744,0.81,3.112047952394583
design,456,design_single,40,400,1,0.0,5,1.440109257461946,0.81,1.7785587898157458
design,456,design_single,80,400,1,0.0,10,1.44017782178006,0.81,1.7781527250508173
design,456,design_single,160,400,1,0.0,20,1.4400922887870329,0.81,1.7779652645951107
design,456,design_single,400,400,1,0.0,50,1.4400252613936964,0.81,1.777852775668462
design,456,random_joint,16,400,1,0.0,1,0.6511883019081564,0.05864804123433536,2.8150057646601256
design,456,random_joint,56,400,1,0.0,5,0.0012846010786790665,6.267643311251015e-05,0.001041347862769905
design,456,random_joint,112,400,1,0.0,10,0.0004828810554559734,2.031867965655196e-05,0.00042746142884122747
design,456,random_joint,248,400,1,0.0,20,0.00037413008925549646,3.55218952636787e-05,0.00016563131658961765
design,456,random_joint,400,400,1,0.0,35,0.0003842765038579109,1.783118526568453e-05,0.00010678471055833035
design,456,design_joint,8,400,1,0.0,1,1.5639497997694958,0.81,3.112047952394583
design,456,design_joint,56,400,1,0.0,5,0.0007500206641977946,4.3625076474883436e-05,0.0009762090371119121
design,456,design_joint,128,400,1,0.0,10,0.00016544180389363358,8.672659409293774e-08,0.00030182142565210863
design,456,design_joint,288,400,1,0.0,20,1.5221645631786473e-05,6.424970328332755e-06,0.00012369363324082566
design,456,design_joint,400,400,1,0.0,27,3.76717028252519e-05,1.2803464991383801e-05,8.889636645523707e-05
