episode,step,total_loss,loss_X1,loss_X2,loss_X10,loss_X11,loss_X12,loss_X13,loss_X14,loss_X15,loss_X3,loss_X4,loss_X5,loss_X6,loss_X7,loss_X8,loss_X9
0,0,31.135293447971343,0.9554615020751953,1.146030306816101,1.2316806316375732,1.2996039390563965,4.17889928817749,3.4449944496154785,1.5467125177383423,2.136190176010132,1.8020024299621582,4.807389736175537,2.130960464477539,4.070144176483154,1.4577991962432861,0.7042087912559509,1.9044092893600464
0,1,4.381109416484833,0.9723035097122192,1.1474874019622803,0.04191860556602478,0.05114931985735893,0.7669165134429932,0.13679614663124084,0.04586540535092354,0.05505847930908203,0.04999304935336113,0.03495302051305771,2.3216769695281982,0.22254490852355957,0.047664642333984375,0.043988343328237534,0.138625830411911
0,2,1.7570557437837124,0.9631150364875793,1.1446964740753174,0.029084615409374237,0.049260981380939484,0.40396246314048767,0.07582283020019531,0.051105644553899765,0.024860257282853127,0.04071797803044319,0.030914219096302986,0.04221906512975693,0.2625395953655243,0.10116586834192276,0.0767475962638855,0.1470923274755478
0,3,1.435108606889844,0.9686960577964783,1.1445811986923218,0.045272018760442734,0.047925785183906555,0.21842840313911438,0.08397667855024338,0.05672838166356087,0.023670678958296776,0.036027900874614716,0.02617054060101509,0.03670906648039818,0.13731993734836578,0.1736982762813568,0.06232812628149986,0.0641973614692688
0,4,1.5214779544621706,0.9687299728393555,1.1472134590148926,0.05560990050435066,0.08063074946403503,0.043153803795576096,0.21832789480686188,0.04871419072151184,0.02436353638768196,0.034425560384988785,0.02475552447140217,0.170686274766922,0.19373410940170288,0.056650981307029724,0.06504034250974655,0.08219639956951141
0,5,1.6024734739214181,0.9676137566566467,1.1483875513076782,0.059599291533231735,0.13904014229774475,0.11692294478416443,0.028312593698501587,0.05599559471011162,0.03657281771302223,0.032676901668310165,0.02788650430738926,0.23325102031230927,0.23799805343151093,0.07312823832035065,0.07006870955228806,0.06782039999961853
0,6,1.8435405593365433,0.9652482867240906,1.15166437625885,0.06076345965266228,0.3870144486427307,0.04614170640707016,0.043030090630054474,0.023833928629755974,0.02441827952861786,0.028590543195605278,0.029146088287234306,0.2792094051837921,0.2520733177661896,0.08570513129234314,0.08183444291353226,0.07839718461036682
0,7,1.7973547164350747,0.9668087363243103,1.15010666847229,0.029597563669085503,0.09198947250843048,0.058751046657562256,0.03355029970407486,0.04094992205500603,0.02360736019909382,0.027776772156357765,0.02749016135931015,0.13705039024353027,0.7245793342590332,0.06638142466545105,0.03370172902941704,0.07854615896940231
0,8,1.7341043788939716,0.9667965173721313,1.1503095626831055,0.04480576887726784,0.09920163452625275,0.055726464837789536,0.0413750521838665,0.03256300091743469,0.023601150140166283,0.03203989565372467,0.03035615384578705,0.1038137823343277,0.5830476880073547,0.07847438752651215,0.09369496256113052,0.09198322147130966
0,9,1.9657312706112862,0.9674839377403259,1.1534218788146973,0.040810178965330124,0.10317587107419968,0.06997153162956238,0.053586196154356,0.030444428324699402,0.02154185064136982,0.02887345664203167,0.03071233443915844,0.0835857167840004,0.8916635513305664,0.07946216315031052,0.030461037531495094,0.0772617906332016
