loss,preference_margin,ref_margin,kl_from_ref,sigmoid_input,winner_target,loser_target
2.5331974029541016e-07,148.0,-4.0,-108.0,152.0,X5,X10
8.307397365570068e-07,136.0,-4.0,-114.0,140.0,X1,X10
6.139278411865234e-06,112.0,-8.0,-120.0,120.0,X5,X10
2.5331974029541016e-07,148.0,-4.0,-92.0,152.0,X1,X10
8.307397365570068e-07,136.0,-4.0,-182.0,140.0,X5,X10
4.231929779052734e-06,120.0,-4.0,-206.0,124.0,X1,X10
4.231929779052734e-06,116.0,-8.0,-190.0,124.0,X5,X10
3.688037395477295e-07,136.0,-12.0,-110.0,148.0,X1,X10
8.307397365570068e-07,132.0,-8.0,-118.0,140.0,X5,X10
5.699694156646729e-07,136.0,-8.0,-124.0,144.0,X1,X10
8.307397365570068e-07,136.0,-4.0,-134.0,140.0,X5,X10
3.688037395477295e-07,140.0,-8.0,-138.0,148.0,X1,X10
1.8775463104248047e-06,128.0,-4.0,-118.0,132.0,X5,X10
2.5331974029541016e-07,148.0,-4.0,-192.0,152.0,X1,X10
1.126900315284729e-07,156.0,-4.0,-188.0,160.0,X5,X10
1.2069940567016602e-06,128.0,-8.0,-148.0,136.0,X1,X10
8.307397365570068e-07,136.0,-4.0,-114.0,140.0,X5,X10
3.213062882423401e-08,168.0,-4.0,-166.0,172.0,X1,X10
5.699694156646729e-07,132.0,-12.0,-108.0,144.0,X5,X10
1.8775463104248047e-06,120.0,-12.0,-146.0,132.0,X1,X10
8.940696716308594e-06,112.0,-4.0,-78.0,116.0,X5,X10
8.307397365570068e-07,132.0,-8.0,-134.0,140.0,X1,X10
5.699694156646729e-07,136.0,-8.0,-128.0,144.0,X5,X10
0.000148773193359375,80.0,-8.0,-68.0,88.0,X1,X10
3.688037395477295e-07,144.0,-4.0,-114.0,148.0,X5,X10
8.307397365570068e-07,140.0,0.0,-98.0,140.0,X1,X10
1.2069940567016602e-06,132.0,-4.0,-76.0,136.0,X5,X10
1.8775463104248047e-06,128.0,-4.0,-86.0,132.0,X1,X10
2.726912498474121e-06,120.0,-8.0,-168.0,128.0,X5,X10
2.726912498474121e-06,120.0,-8.0,-148.0,128.0,X1,X10
6.139278411865234e-06,112.0,-8.0,-124.0,120.0,X5,X10
2.5331974029541016e-07,144.0,-8.0,-140.0,152.0,X1,X10
6.139278411865234e-06,116.0,-4.0,-116.0,120.0,X5,X10
2.726912498474121e-06,120.0,-8.0,-104.0,128.0,X1,X10
3.123283386230469e-05,100.0,-4.0,-132.0,104.0,X5,X10
0.69140625,112.0,112.0,0.0,0.0,X1,X10
0.0181884765625,176.0,136.0,-36.0,40.0,X5,X10
0.0181884765625,168.0,128.0,-112.0,40.0,X1,X10
1.3828277587890625e-05,228.0,116.0,-140.0,112.0,X5,X10
6.139278411865234e-06,240.0,120.0,-172.0,120.0,X1,X10
4.231929779052734e-06,240.0,116.0,-178.0,124.0,X5,X10
8.307397365570068e-07,256.0,116.0,-170.0,140.0,X1,X10
2.726912498474121e-06,244.0,116.0,-184.0,128.0,X5,X10
1.8775463104248047e-06,248.0,116.0,-206.0,132.0,X1,X10
2.5331974029541016e-07,256.0,104.0,-204.0,152.0,X5,X10
3.688037395477295e-07,260.0,112.0,-262.0,148.0,X1,X10
1.2069940567016602e-06,236.0,100.0,-204.0,136.0,X5,X10
5.699694156646729e-07,252.0,108.0,-244.0,144.0,X1,X10
8.307397365570068e-07,244.0,104.0,-206.0,140.0,X5,X10
4.231929779052734e-06,248.0,124.0,-210.0,124.0,X1,X10
8.307397365570068e-07,252.0,112.0,-126.0,140.0,X5,X10
5.3085386753082275e-08,264.0,96.0,-248.0,168.0,X1,X10
8.307397365570068e-07,248.0,108.0,-230.0,140.0,X5,X10
5.699694156646729e-07,244.0,100.0,-212.0,144.0,X1,X10
8.307397365570068e-07,240.0,100.0,-198.0,140.0,X5,X10
2.726912498474121e-06,232.0,104.0,-140.0,128.0,X1,X10
5.699694156646729e-07,264.0,120.0,-272.0,144.0,X5,X10
1.8775463104248047e-06,260.0,128.0,-154.0,132.0,X1,X10
4.231929779052734e-06,232.0,108.0,-234.0,124.0,X5,X10
7.729977369308472e-08,268.0,104.0,-266.0,164.0,X1,X10
4.231929779052734e-06,236.0,112.0,-246.0,124.0,X5,X10
6.139278411865234e-06,244.0,124.0,-236.0,120.0,X1,X10
6.139278411865234e-06,224.0,104.0,-228.0,120.0,X5,X10
8.307397365570068e-07,252.0,112.0,-254.0,140.0,X1,X10
1.2069940567016602e-06,232.0,96.0,-196.0,136.0,X5,X10
1.8775463104248047e-06,244.0,112.0,-190.0,132.0,X1,X10
2.726912498474121e-06,236.0,108.0,-184.0,128.0,X5,X10
2.726912498474121e-06,240.0,112.0,-200.0,128.0,X1,X10
8.307397365570068e-07,248.0,108.0,-166.0,140.0,X5,X10
1.8775463104248047e-06,244.0,112.0,-170.0,132.0,X1,X10
2.726912498474121e-06,256.0,128.0,-152.0,128.0,X5,X10
1.6391277313232422e-07,264.0,108.0,-294.0,156.0,X1,X10
4.231929779052734e-06,224.0,100.0,-226.0,124.0,X5,X10
5.699694156646729e-07,264.0,120.0,-220.0,144.0,X1,X10
5.699694156646729e-07,240.0,96.0,-208.0,144.0,X5,X10
8.307397365570068e-07,256.0,116.0,-290.0,140.0,X1,X10
1.8775463104248047e-06,236.0,104.0,-258.0,132.0,X5,X10
3.688037395477295e-07,252.0,104.0,-230.0,148.0,X1,X10
1.6391277313232422e-07,268.0,112.0,-278.0,156.0,X5,X10
3.688037395477295e-07,252.0,104.0,-238.0,148.0,X1,X10
2.726912498474121e-06,224.0,96.0,-208.0,128.0,X5,X10
2.014636993408203e-05,224.0,116.0,-246.0,108.0,X1,X10
6.139278411865234e-06,236.0,116.0,-240.0,120.0,X5,X10
8.307397365570068e-07,264.0,124.0,-178.0,140.0,X1,X10
2.014636993408203e-05,228.0,120.0,-158.0,108.0,X5,X10
2.5331974029541016e-07,268.0,116.0,-192.0,152.0,X1,X10
2.726912498474121e-06,248.0,120.0,-280.0,128.0,X5,X10
5.699694156646729e-07,252.0,108.0,-240.0,144.0,X1,X10
1.8775463104248047e-06,228.0,96.0,-186.0,132.0,X5,X10
1.126900315284729e-07,276.0,116.0,-224.0,160.0,X1,X10
1.2069940567016602e-06,236.0,100.0,-260.0,136.0,X5,X10
1.2069940567016602e-06,264.0,128.0,-244.0,136.0,X1,X10
8.307397365570068e-07,252.0,112.0,-238.0,140.0,X5,X10
2.726912498474121e-06,228.0,100.0,-128.0,128.0,X1,X10
8.307397365570068e-07,256.0,116.0,-190.0,140.0,X5,X10
1.126900315284729e-07,276.0,116.0,-212.0,160.0,X1,X10
8.307397365570068e-07,256.0,116.0,-218.0,140.0,X5,X10
5.699694156646729e-07,252.0,108.0,-212.0,144.0,X1,X10
5.699694156646729e-07,256.0,112.0,-248.0,144.0,X5,X10
4.231929779052734e-06,240.0,116.0,-262.0,124.0,X1,X10
2.5331974029541016e-07,264.0,112.0,-244.0,152.0,X5,X10
1.6391277313232422e-07,268.0,112.0,-218.0,156.0,X1,X10
1.2069940567016602e-06,232.0,96.0,-236.0,136.0,X5,X10
3.688037395477295e-07,264.0,116.0,-274.0,148.0,X1,X10
1.6391277313232422e-07,260.0,104.0,-242.0,156.0,X5,X10
2.5331974029541016e-07,264.0,112.0,-244.0,152.0,X1,X10
3.688037395477295e-07,256.0,108.0,-246.0,148.0,X5,X10
2.5331974029541016e-07,260.0,108.0,-232.0,152.0,X1,X10
6.628036499023438e-05,204.0,108.0,-276.0,96.0,X5,X10
8.307397365570068e-07,260.0,120.0,-246.0,140.0,X1,X10
0.69140625,0.0,0.0,-300.0,0.0,X10,X10
2.5331974029541016e-07,276.0,124.0,-280.0,152.0,X5,X10
1.8775463104248047e-06,256.0,124.0,-174.0,132.0,X1,X10
2.5331974029541016e-07,260.0,108.0,-264.0,152.0,X5,X10
5.699694156646729e-07,260.0,116.0,-272.0,144.0,X1,X10
3.688037395477295e-07,280.0,132.0,-178.0,148.0,X5,X10
2.5331974029541016e-07,268.0,116.0,-300.0,152.0,X1,X10
8.307397365570068e-07,248.0,108.0,-354.0,140.0,X5,X10
0.69140625,0.0,0.0,-336.0,0.0,X10,X10
0.01214599609375,120.0,76.0,-410.0,44.0,X1,X10
5.699694156646729e-07,256.0,112.0,-324.0,144.0,X5,X10
5.3085386753082275e-08,292.0,124.0,-296.0,168.0,X1,X10
1.6391277313232422e-07,280.0,124.0,-274.0,156.0,X5,X10
4.231929779052734e-06,256.0,132.0,-262.0,124.0,X1,X10
4.231929779052734e-06,248.0,124.0,-230.0,124.0,X5,X10
2.014636993408203e-05,220.0,112.0,-326.0,108.0,X1,X10
4.5299530029296875e-05,220.0,120.0,-222.0,100.0,X5,X10
1.3828277587890625e-05,224.0,112.0,-296.0,112.0,X1,X10
4.5299530029296875e-05,220.0,120.0,-182.0,100.0,X5,X10
1.8775463104248047e-06,248.0,116.0,-286.0,132.0,X1,X10
1.6391277313232422e-07,244.0,88.0,-250.0,156.0,X5,X10
2.5331974029541016e-07,252.0,100.0,-248.0,152.0,X1,X10
7.729977369308472e-08,268.0,104.0,-242.0,164.0,X5,X10
3.213062882423401e-08,276.0,104.0,-294.0,172.0,X1,X10
2.5331974029541016e-07,256.0,104.0,-256.0,152.0,X5,X10
1.126900315284729e-07,296.0,136.0,-332.0,160.0,X1,X10
7.729977369308472e-08,284.0,120.0,-302.0,164.0,X5,X10
2.2118911147117615e-08,288.0,112.0,-300.0,176.0,X1,X10
2.2118911147117615e-08,288.0,112.0,-300.0,176.0,X5,X10
5.3085386753082275e-08,284.0,116.0,-360.0,168.0,X1,X10
5.3085386753082275e-08,276.0,108.0,-332.0,168.0,X5,X10
2.2118911147117615e-08,268.0,92.0,-308.0,176.0,X1,X10
5.3085386753082275e-08,268.0,100.0,-324.0,168.0,X5,X10
1.525040715932846e-08,292.0,112.0,-314.0,180.0,X1,X10
5.3085386753082275e-08,280.0,112.0,-288.0,168.0,X5,X10
3.213062882423401e-08,296.0,124.0,-310.0,172.0,X1,X10
5.3085386753082275e-08,284.0,116.0,-212.0,168.0,X5,X10
1.525040715932846e-08,300.0,120.0,-226.0,180.0,X1,X10
2.2118911147117615e-08,280.0,104.0,-300.0,176.0,X5,X10
4.3655745685100555e-09,288.0,96.0,-272.0,192.0,X1,X10
3.213062882423401e-08,296.0,124.0,-346.0,172.0,X5,X10
3.213062882423401e-08,280.0,108.0,-274.0,172.0,X1,X10
7.729977369308472e-08,264.0,100.0,-294.0,164.0,X5,X10
7.729977369308472e-08,284.0,120.0,-354.0,164.0,X1,X10
1.6391277313232422e-07,280.0,124.0,-314.0,156.0,X5,X10
1.0477378964424133e-08,296.0,112.0,-308.0,184.0,X1,X10
0.69140625,248.0,248.0,0.0,0.0,X5,X10
0.039794921875,252.0,220.0,-24.0,32.0,X1,X10
6.628036499023438e-05,312.0,216.0,-92.0,96.0,X5,X10
2.014636993408203e-05,320.0,212.0,-114.0,108.0,X1,X10
2.726912498474121e-06,352.0,224.0,-148.0,128.0,X5,X10
8.940696716308594e-06,336.0,220.0,-182.0,116.0,X1,X10
4.5299530029296875e-05,320.0,220.0,-206.0,100.0,X5,X10
2.014636993408203e-05,352.0,244.0,-170.0,108.0,X1,X10
1.6391277313232422e-07,372.0,216.0,-198.0,156.0,X5,X10
0.000148773193359375,288.0,200.0,-236.0,88.0,X1,X10
5.699694156646729e-07,368.0,224.0,-232.0,144.0,X5,X10
0.126953125,192.0,172.0,-310.0,20.0,X1,X10
3.688037395477295e-07,392.0,244.0,-242.0,148.0,X5,X10
