job_id	job_name	revision	output	submitted_at
32986987	acer_prior_s42	ac79a2f160bba7b1ccbb86312339e2078a7b2e6d	/scratch/alpine/paco0228/ACE/results/research_portfolio_20260925/numerical/prior/seed_42	2026-09-25T18:42:39-06:00
32986988	acer_design_b0p0_c0_s42	ac79a2f160bba7b1ccbb86312339e2078a7b2e6d	/scratch/alpine/paco0228/ACE/results/research_portfolio_20260925/numerical/design/background_0p0/cost_0/seed_42	2026-09-25T18:42:40-06:00
32986989	acer_design_b0p0_c1_s42	ac79a2f160bba7b1ccbb86312339e2078a7b2e6d	/scratch/alpine/paco0228/ACE/results/research_portfolio_20260925/numerical/design/background_0p0/cost_1/seed_42	2026-09-25T18:42:40-06:00
32986990	acer_design_b0p15_c0_s42	ac79a2f160bba7b1ccbb86312339e2078a7b2e6d	/scratch/alpine/paco0228/ACE/results/research_portfolio_20260925/numerical/design/background_0p15/cost_0/seed_42	2026-09-25T18:42:40-06:00
32986991	acer_design_b0p15_c1_s42	ac79a2f160bba7b1ccbb86312339e2078a7b2e6d	/scratch/alpine/paco0228/ACE/results/research_portfolio_20260925/numerical/design/background_0p15/cost_1/seed_42	2026-09-25T18:42:40-06:00
32986992	acer_transfer_k1_s42	ac79a2f160bba7b1ccbb86312339e2078a7b2e6d	/scratch/alpine/paco0228/ACE/results/research_portfolio_20260925/numerical/transfer/changed_1/seed_42	2026-09-25T18:42:40-06:00
32986993	acer_transfer_k3_s42	ac79a2f160bba7b1ccbb86312339e2078a7b2e6d	/scratch/alpine/paco0228/ACE/results/research_portfolio_20260925/numerical/transfer/changed_3/seed_42	2026-09-25T18:42:40-06:00
32986994	acer_transfer_k10_s42	ac79a2f160bba7b1ccbb86312339e2078a7b2e6d	/scratch/alpine/paco0228/ACE/results/research_portfolio_20260925/numerical/transfer/changed_10/seed_42	2026-09-25T18:42:40-06:00
32986995	acer_prior_s123	ac79a2f160bba7b1ccbb86312339e2078a7b2e6d	/scratch/alpine/paco0228/ACE/results/research_portfolio_20260925/numerical/prior/seed_123	2026-09-25T18:42:41-06:00
32986996	acer_design_b0p0_c0_s123	ac79a2f160bba7b1ccbb86312339e2078a7b2e6d	/scratch/alpine/paco0228/ACE/results/research_portfolio_20260925/numerical/design/background_0p0/cost_0/seed_123	2026-09-25T18:42:41-06:00
32986997	acer_design_b0p0_c1_s123	ac79a2f160bba7b1ccbb86312339e2078a7b2e6d	/scratch/alpine/paco0228/ACE/results/research_portfolio_20260925/numerical/design/background_0p0/cost_1/seed_123	2026-09-25T18:42:41-06:00
32986998	acer_design_b0p15_c0_s123	ac79a2f160bba7b1ccbb86312339e2078a7b2e6d	/scratch/alpine/paco0228/ACE/results/research_portfolio_20260925/numerical/design/background_0p15/cost_0/seed_123	2026-09-25T18:42:41-06:00
