episode,step,total_loss,loss_X1,loss_X2,loss_X4,loss_X5,loss_X10,loss_X11,loss_X12,loss_X13,loss_X14,loss_X15,loss_X16,loss_X17,loss_X18,loss_X19,loss_X20,loss_X21,loss_X22,loss_X23,loss_X24,loss_X25,loss_X26,loss_X27,loss_X28,loss_X29,loss_X30,loss_X6,loss_X7,loss_X8,loss_X9
0,0,61.27051844000816,1.058958888053894,1.0162113904953003,0.9573129415512085,0.9555654525756836,3.323627233505249,1.5470201969146729,3.2883501052856445,1.536613941192627,0.442383736371994,3.5174379348754883,1.1110217571258545,0.7823505997657776,2.9286746978759766,1.7715398073196411,2.756991147994995,6.0773844718933105,3.2221367359161377,2.678879737854004,1.758377194404602,2.227334976196289,1.6502189636230469,1.2889316082000732,0.7292830348014832,3.1287198066711426,3.378674268722534,2.650184154510498,2.0750927925109863,3.3922290802001953,3.2094507217407227
0,1,17.110444440320133,1.0586280822753906,1.0162113904953003,0.9567834734916687,0.9555624723434448,0.04884602501988411,0.9093462228775024,0.3574579060077667,1.0823860168457031,0.03723735734820366,2.4190258979797363,0.6851537823677063,0.3349219560623169,0.1551867425441742,0.029465150088071823,0.04082263633608818,1.6040364503860474,1.128772258758545,0.20480845868587494,2.68251895904541,0.12083099782466888,0.3228307366371155,0.06877785176038742,0.02784026600420475,0.14334794878959656,0.07236530631780624,1.6614634990692139,0.03539544716477394,0.034177880734205246,2.1059916019439697
0,2,3.409664812684059,1.0599592924118042,1.0146406888961792,0.9557203054428101,0.9559241533279419,0.07107993960380554,0.840916633605957,0.06192075461149216,0.030911412090063095,0.042740922421216965,0.08829399198293686,0.031689152121543884,0.025875229388475418,0.11503326147794724,0.02856103889644146,0.05965815484523773,0.20020079612731934,0.0552150122821331,0.04143226891756058,0.059739142656326294,0.123638816177845,0.055119793862104416,0.028024394065141678,0.05172184854745865,0.3335563838481903,0.14608946442604065,0.02442171610891819,0.03734895959496498,0.027293749153614044,0.03193308785557747
0,3,2.159313904121518,1.0581541061401367,1.0148000717163086,0.9564310908317566,0.9566568732261658,0.0965312048792839,0.027727743610739708,0.0276404470205307,0.028385953977704048,0.026779282838106155,0.0814683735370636,0.040190622210502625,0.02171761728823185,0.049461208283901215,0.03226550295948982,0.048662688583135605,0.1310938000679016,0.052779264748096466,0.060398295521736145,0.11945755779743195,0.21314625442028046,0.06787005811929703,0.022655900567770004,0.034772925078868866,0.02627653442323208,0.031633660197257996,0.021774860098958015,0.03642311692237854,0.035425882786512375,0.02756671980023384
0,4,2.3114984393119813,1.0583925247192383,1.0175338983535767,0.9555624723434448,0.9564971327781677,0.04608834907412529,0.05666545033454895,0.03276363015174866,0.027282727882266045,0.027475779876112938,0.07648763805627823,0.02378298155963421,0.02328231744468212,0.046772439032793045,0.028730127960443497,0.06929716467857361,0.08260031044483185,0.07563109695911407,0.11815236508846283,0.2749083936214447,0.14089348912239075,0.09521280974149704,0.027896560728549957,0.06840436905622482,0.025273602455854416,0.02986718900501728,0.022781895473599434,0.03206099197268486,0.03734297305345535,0.02424658089876175
0,5,2.4841501470655203,1.0581587553024292,1.015325903892517,0.9560387134552002,0.9561989903450012,0.03927149251103401,0.06276006251573563,0.04455133154988289,0.025837920606136322,0.02639199048280716,0.09059864282608032,0.024399258196353912,0.023005694150924683,0.043946001678705215,0.03010038286447525,0.07626162469387054,0.07949969172477722,0.06604602187871933,0.06085652485489845,0.39843034744262695,0.15046051144599915,0.08118708431720734,0.02477794699370861,0.044203098863363266,0.14711913466453552,0.031294435262680054,0.023418007418513298,0.026637839153409004,0.041875775903463364,0.024074852466583252
0,6,2.889520002529025,1.0581815242767334,1.0167052745819092,0.9561560750007629,0.9568702578544617,0.029051518067717552,0.0849219337105751,0.04225657135248184,0.024409038946032524,0.028241723775863647,0.06756138801574707,0.023185819387435913,0.0225827619433403,0.042050424963235855,0.03542844206094742,0.20264653861522675,0.07819458097219467,0.062297288328409195,0.10102749615907669,0.608539342880249,0.2929978668689728,0.041000060737133026,0.022074220702052116,0.033439621329307556,0.12225516140460968,0.026150351390242577,0.02337939850986004,0.02530197985470295,0.028146935626864433,0.02479691058397293
0,7,3.0011764958500864,1.0581774711608887,1.0170029401779175,0.9565548300743103,0.9567710161209106,0.030508164316415787,0.04836244508624077,0.04456663876771927,0.02413989044725895,0.04568815603852272,0.054169367998838425,0.026164265349507332,0.03517036512494087,0.039547525346279144,0.0418197326362133,0.39949116110801697,0.08108881860971451,0.06329357624053955,0.07868346571922302,0.330178827047348,0.4574117362499237,0.06732785701751709,0.024563327431678772,0.03935500979423523,0.13781285285949707,0.02564159408211708,0.02419343590736389,0.027395829558372498,0.029623253270983696,0.027277948334813118
0,8,3.1612483892589807,1.05824613571167,1.0170273780822754,0.9586851596832275,0.9577227830886841,0.03220156952738762,0.05078332498669624,0.043202146887779236,0.023383893072605133,0.04070078209042549,0.06014823168516159,0.027208838611841202,0.021351050585508347,0.044337593019008636,0.04918258264660835,0.46882376074790955,0.09205841273069382,0.06652495265007019,0.07868539541959763,0.32463476061820984,0.48436787724494934,0.06254950910806656,0.02336573600769043,0.03408125415444374,0.20472341775894165,0.02708655223250389,0.023960713297128677,0.02906745858490467,0.025761699303984642,0.024720584973692894
0,9,3.183951945975423,1.0582002401351929,1.0159223079681396,0.9581671357154846,0.9572464823722839,0.03275308385491371,0.05114470422267914,0.03344834968447685,0.024432383477687836,0.03596072271466255,0.052108634263277054,0.023723676800727844,0.02775244414806366,0.052258431911468506,0.041274406015872955,0.3730197548866272,0.08989458531141281,0.0739402174949646,0.074309341609478,0.33518949151039124,0.5055906176567078,0.12728628516197205,0.02328813634812832,0.03228762000799179,0.23925256729125977,0.026657402515411377,0.024082312360405922,0.03186892345547676,0.029052486643195152,0.0254681333899498
