seed,changed,change_type,method,target_budget,source_samples,mse,changed_mse,unchanged_mse,old_selection_mass
3009,1,coefficient,scratch,120,2560,0.6297433916149091,0.17004640612755612,0.6455950118041281,
3009,1,coefficient,warm,120,2560,0.04445448585876364,0.1802335034203914,0.03977245077043164,
3009,1,coefficient,source_retrieval,120,2560,0.047652157053575464,0.1802335034203914,0.043080386489202496,0.7666666666666667
3009,1,coefficient,source_mixture,120,2560,0.045189840602082004,0.1802335013010365,0.04053316264694564,0.8885366517075011
3009,1,coefficient,scratch,200,2560,0.2416087288902868,0.03695391545689454,0.24866579142247275,
3009,1,coefficient,warm,200,2560,0.030938739362553133,0.13244840020625293,0.02743840623001176,
3009,1,coefficient,source_retrieval,200,2560,0.030155690586345076,0.13244840020625293,0.026628355771865495,0.7666666666666667
3009,1,coefficient,source_mixture,200,2560,0.03068856074610558,0.13244839906588052,0.027179600804044378,0.8885366517075011
3009,1,coefficient,scratch,400,2560,0.027321695426317624,0.015470269857884661,0.027730365273504965,
3009,1,coefficient,warm,400,2560,0.013275287552921986,0.008702566146003041,0.013432967601436432,
3009,1,coefficient,source_retrieval,400,2560,0.013261923190150626,0.008702566146003041,0.013419142398569507,0.7666666666666667
3009,1,coefficient,source_mixture,400,2560,0.01328187796771092,0.00870256612194996,0.01343978527273716,0.8885366517075011
