track,seed,method,budget,nodes,changed,rounds,mse,changed_mse,unchanged_mse
transfer,42,scratch_uniform,128,30,10,1,0.41470473711148853,0.19940694566500272,0.5223536328347315
transfer,42,scratch_uniform,160,30,10,5,0.3301469840732303,0.22220680349319782,0.38411707436324644
transfer,42,scratch_uniform,200,30,10,10,0.19895445603012227,0.2222095976051448,0.18732688524261104
transfer,42,scratch_uniform,280,30,10,20,0.1311995911667886,0.21354707767213296,0.09002584791411637
transfer,42,scratch_uniform,400,30,10,35,0.04720678200399018,0.02123650228498005,0.06019192186349524
transfer,42,warm_uniform,128,30,10,1,0.13619607847207293,0.31317426994354003,0.04770698273633941
transfer,42,warm_uniform,160,30,10,5,0.12575226332977193,0.2890055819634633,0.04412560401292619
transfer,42,warm_uniform,200,30,10,10,0.10952461976302909,0.279217546954325,0.0246781561673811
transfer,42,warm_uniform,280,30,10,20,0.06731932675482856,0.17314027892915754,0.014408850667664064
transfer,42,warm_uniform,400,30,10,35,0.014400855054132002,0.02028054077371243,0.011461012194341785
transfer,42,warm_residual,128,30,10,1,0.195521734043058,0.4911512366564953,0.04770698273633941
transfer,42,warm_residual,160,30,10,5,0.15258354611412744,0.3623366728697035,0.04770698273633941
transfer,42,warm_residual,200,30,10,10,0.0491827575250694,0.0521343071025294,0.04770698273633941
transfer,42,warm_residual,280,30,10,20,0.03302259771902503,0.05210624964101775,0.02348077175802866
transfer,42,warm_residual,400,30,10,35,0.02542638339597976,0.035481146750393835,0.020399001718772725
transfer,42,module_residual,128,30,10,1,0.14165514864335654,0.3295514804573908,0.04770698273633941
transfer,42,module_residual,160,30,10,5,0.12269909488631799,0.2726833191862751,0.04770698273633941
transfer,42,module_residual,200,30,10,10,0.050036291476704436,0.05469490895743452,0.04770698273633941
transfer,42,module_residual,280,30,10,20,0.028576651663920042,0.050322761545785785,0.01770359672298717
transfer,42,module_residual,400,30,10,35,0.027617351941541468,0.04920954310398621,0.0168212563603191
