step,target,value,query_samples,observed_total_loss,broad_total_loss
0,X2,-2.323228337825338,50,8.91857809945941,33.904398299008605
1,X17,-2.3344618746861645,100,6.026104547083378,18.812982102110983
2,X2,-1.2087566751091163,150,5.827563069760799,14.878265606611967
3,X21,-1.6780230149032018,240,5.768967758864164,13.828860210627317
4,X2,-3.403376032780301,290,5.763703729957342,13.397017611190677
5,X12,0.6096200893667625,340,5.74904285185039,12.527316047623753
6,X9,-3.3622315524763957,430,5.734694618731737,12.179046515002847
7,X17,2.735879800290874,480,5.734559765085578,10.701553603634238
8,X25,-1.2240522302778842,530,5.719806669279933,10.143684278056025
9,X1,-1.845410262641367,620,5.699822114780545,9.185686767473817
10,X18,-3.9796327870042134,670,5.701181640848517,8.870613610744476
11,X2,-4.072354386215049,720,5.6950858272612095,8.939300146326422
12,X6,-3.737503007794035,810,5.688727429136634,6.387850058823824
13,X1,-2.081984809700359,860,5.684585835784674,6.367133240401745
14,X17,0.7340808568092712,910,5.67960837110877,6.406177887320519
15,X10,-0.3070732326926562,1000,5.670088006183505,6.5246569234877825
16,X2,2.6879474747998353,1050,5.669291058555245,6.4995495736598965
17,X12,0.21670250605766306,1100,5.6668891198933125,6.429554607346654
18,X19,-2.9313752933388857,1190,5.665402609854937,6.381104787811637
19,X25,1.38756562226079,1240,5.665236031636596,6.3673464499413965
20,X23,3.0933852464380482,1290,5.662670571357012,6.382556957006455
21,X12,-4.874519080054899,1380,5.658817753195763,5.9891550477594135
22,X20,-0.6561332430811815,1430,5.657841935753822,5.498854859545827
23,X21,1.3835326430549877,1480,5.657408323138952,5.579628130048514
24,X25,3.900985705369024,1570,5.654598981142044,5.126892195269465
25,X19,0.20609003815578042,1620,5.6537904143333435,5.069254090636969
26,X17,-1.2547836817751667,1670,5.654067236930132,5.110379227250815
27,X2,3.4734178151319295,1760,5.652814222499728,5.159911582246423
28,X7,2.2582784161113336,1810,5.652539379894733,4.852004038542509
29,X4,4.136459118642296,1860,5.651296082884073,4.770647205412388
30,X10,-3.298731123290918,1950,5.64945150539279,4.172916868701577
31,X12,0.5420366221065294,2000,5.647263418883085,4.202446606010199
