track,seed,method,budget,requested_budget,actuator_penalty,background_sd,actions,mse,interaction_error,posterior_risk
design,456,random_single,8,400,1,0.15,1,0.11186145795153477,0.062380559258543085,1.4646353397373708
design,456,random_single,40,400,1,0.15,5,0.01901259144867504,0.010626261996523934,0.013751385491151326
design,456,random_single,80,400,1,0.15,10,0.0008565176215572872,0.00019709661305066415,0.006411743874105489
design,456,random_single,160,400,1,0.15,20,0.0034280307824249706,0.0018779358199314472,0.002985514634442271
design,456,random_single,400,400,1,0.15,50,0.0006878589494961772,0.0002645674695855873,0.0011807702214305237
design,456,design_single,8,400,1,0.15,1,0.7642143297992705,0.00015377099308917634,1.4967644597449985
design,456,design_single,40,400,1,0.15,5,0.01694368493516874,0.008831329317460352,0.013305723059423265
design,456,design_single,80,400,1,0.15,10,0.010060894843913693,0.004959672912098592,0.0075553405914244665
design,456,design_single,160,400,1,0.15,20,0.00472655328267188,0.0026007028553093315,0.0033652583648007047
design,456,design_single,400,400,1,0.15,50,0.0005101536732895992,0.0002793763824145105,0.0012642819306209864
design,456,random_joint,16,400,1,0.15,1,0.6511883019081564,0.05864804123433536,2.8150057646601256
design,456,random_joint,56,400,1,0.15,5,0.0015477454606241253,9.540175163434605e-05,0.001058867919086701
design,456,random_joint,112,400,1,0.15,10,0.0006100937377074764,3.356321051099867e-05,0.00042861368241479535
design,456,random_joint,248,400,1,0.15,20,0.00037819570783466963,3.60886372212443e-05,0.00016581721813598336
design,456,random_joint,400,400,1,0.15,35,0.00035771036226972324,1.5246157064422048e-05,0.00010644431347533782
design,456,design_joint,8,400,1,0.15,1,0.17587126236952294,0.04656992842359101,1.4620135305268658
design,456,design_joint,56,400,1,0.15,5,0.0007010951238336487,3.918267952501666e-05,0.0009689218908764522
design,456,design_joint,128,400,1,0.15,10,9.81973665583196e-05,1.0117162980235363e-06,0.00030061981701919976
design,456,design_joint,288,400,1,0.15,20,6.699064444302762e-05,1.410270072566941e-06,0.00012359342464373112
design,456,design_joint,400,400,1,0.15,27,9.230538843104081e-05,2.6099750664668486e-08,8.883522254306747e-05
