episode,episode_final_loss
0,1.9717750456184149
1,1.971727884374559
2,1.9775102948769927
3,1.9734182404354215
4,1.9776948718354106
5,1.9723844164982438
6,1.9811689713969827
7,1.9760788651183248
8,1.9727393295615911
9,1.9762788452208042
10,1.9737776322290301
11,1.9735878305509686
12,1.9835486616939306
13,1.9791972963139415
14,1.9749911520630121
15,1.9823279399424791
16,1.9784226473420858
17,1.976992649026215
18,1.976969888433814
19,1.9765042681246996
20,1.9764676252380013
21,1.97822305560112
22,1.9740394465625286
23,1.9735220717266202
24,1.9724580515176058
25,1.9752095006406307
26,1.9733249442651868
27,1.9722050316631794
28,1.9818599810823798
29,1.9709166772663593
30,1.9746613837778568
31,1.9741393961012363
32,1.9821913382038474
33,1.9760346515104175
34,1.9848074233159423
35,1.9783053658902645
36,1.9786190781742334
37,1.9804019974544644
38,1.9802491636946797
39,1.9908981248736382
