episode,step,total_loss,loss_n_3d6d,loss_n_4542,loss_n_cdfe,loss_n_efdc,loss_n_0060,loss_n_006f,loss_n_0cfd,loss_n_1620,loss_n_1e53,loss_n_3a60,loss_n_3c11,loss_n_4553,loss_n_56e1,loss_n_5a7e,loss_n_5cd6,loss_n_79a4,loss_n_83ae,loss_n_8b4e,loss_n_8d99,loss_n_b47b,loss_n_d02f,loss_n_d049,loss_n_d462,loss_n_d871,loss_n_d8e0,loss_n_e639,loss_n_f6e6,loss_n_f86a,loss_n_fcd0
0,0,59.059778201580045,1.0162113904953003,0.9573129415512085,1.058958888053894,0.9555654525756836,3.2736740112304688,2.4533979892730713,0.9293317794799805,3.078230142593384,3.5174295902252197,2.128556251525879,3.961108684539795,3.0987465381622314,1.0521091222763062,0.9405115246772766,0.5925926566123962,1.8696537017822266,5.5183305740356445,1.1500109434127808,2.0641543865203857,0.7255240082740784,2.7303900718688965,1.2310144901275635,1.6695977449417114,0.4515777826309204,3.2532365322113037,3.1196508407592773,2.464578151702881,3.9585366249084473,3.030224323272705
0,1,5.810746917128563,1.0150117874145508,0.9570948481559753,1.0811280012130737,0.955563485622406,0.08055692166090012,0.15827269852161407,0.028713159263134003,0.05162028968334198,0.060518838465213776,0.04216533899307251,0.03518393635749817,0.1261579394340515,0.024085968732833862,0.21515868604183197,0.029079746454954147,0.09912672638893127,1.7133272886276245,0.4429425597190857,0.21079827845096588,0.3115088641643524,0.06667565554380417,0.04110506549477577,0.027931831777095795,0.42866015434265137,0.5901909470558167,0.08494338393211365,0.039692457765340805,0.03624678775668144,0.06432376801967621
0,2,3.841170408204198,1.0166138410568237,0.9586201906204224,1.0660185813903809,0.9556010961532593,0.08242319524288177,0.1555783450603485,0.15027715265750885,0.10150457918643951,0.03080700896680355,0.05195971205830574,0.04045213386416435,0.0559450201690197,0.031052567064762115,0.3391549587249756,0.028003502637147903,0.10074087232351303,0.12123630195856094,0.06698057800531387,0.3072202801704407,0.3933298885822296,0.047124166041612625,0.053846776485443115,0.038183748722076416,0.42969220876693726,0.17411859333515167,0.06177862733602524,0.03577591851353645,0.03533363714814186,0.10927989333868027
0,3,4.001953479275107,1.0169658660888672,0.9589356184005737,1.0610954761505127,0.9556227326393127,0.08308600634336472,0.11029167473316193,0.18195442855358124,0.11897879093885422,0.029958060011267662,0.18407440185546875,0.03208228573203087,0.10307271778583527,0.02423972263932228,0.3623288571834564,0.025910090655088425,0.026817074045538902,0.11374147236347198,0.085026815533638,0.5255550146102905,0.2967031002044678,0.038098160177469254,0.0288263950496912,0.04299956560134888,0.34697800874710083,0.3042375445365906,0.029474938288331032,0.03157956153154373,0.04990639165043831,0.027508461847901344
0,4,2.522085838392377,1.014640212059021,0.9569458961486816,1.064273476600647,0.9555960297584534,0.15197882056236267,0.06810490787029266,0.030809279531240463,0.10643356293439865,0.037036728113889694,0.21915820240974426,0.03353707492351532,0.13861222565174103,0.02150559239089489,0.051623448729515076,0.04048064351081848,0.026653015986084938,0.11192116141319275,0.030273063108325005,0.198576420545578,0.028746476396918297,0.04320814833045006,0.032333459705114365,0.03439147770404816,0.02857261896133423,0.13907523453235626,0.03316495567560196,0.03103279136121273,0.05529441684484482,0.031270988285541534
0,5,2.8761697214096786,1.014768362045288,0.9568549394607544,1.063828706741333,0.9556461572647095,0.14947137236595154,0.11177311837673187,0.028988687321543694,0.12560659646987915,0.038941796869039536,0.20617233216762543,0.03266996517777443,0.3467791676521301,0.02999470755457878,0.045967940241098404,0.041751205921173096,0.026179073378443718,0.11016549170017242,0.02620095945894718,0.2204672247171402,0.025778114795684814,0.04775839298963547,0.026524154469370842,0.0355018712580204,0.028745288029313087,0.2332656979560852,0.03863774612545967,0.026443181559443474,0.04810364544391632,0.026062356308102608
0,6,2.4843310341238976,1.0146218538284302,0.9577077031135559,1.061795949935913,0.9556306004524231,0.14896777272224426,0.07513272017240524,0.030573943629860878,0.0607801154255867,0.033211275935173035,0.19074802100658417,0.030714605003595352,0.08035218715667725,0.02592366747558117,0.03383785858750343,0.02782701887190342,0.03924653306603432,0.1941068172454834,0.0327676497399807,0.17361856997013092,0.025032710283994675,0.044158630073070526,0.02964068204164505,0.028084732592105865,0.023012464866042137,0.2067108154296875,0.034152768552303314,0.0334162563085556,0.05377909913659096,0.03058289736509323
0,7,2.7094867795705797,1.0146561861038208,0.957069456577301,1.06052565574646,0.9555623531341553,0.18561260402202606,0.21743547916412354,0.026668719947338104,0.03946730121970177,0.04655905067920685,0.14183105528354645,0.025893641635775566,0.16903817653656006,0.02513524331152439,0.029825909063220024,0.0358501560986042,0.04622698202729225,0.22640004754066467,0.04097137600183487,0.20996958017349243,0.02534511126577854,0.03841172158718109,0.024487385526299477,0.027652373537421227,0.02255323901772499,0.15751780569553375,0.03393412381410599,0.028547663241624832,0.04303167760372162,0.04355762526392937
0,8,2.9448863241821526,1.0148392915725708,0.9573392271995544,1.0597302913665771,0.9556597471237183,0.20920853316783905,0.11034714430570602,0.03003455139696598,0.04243435338139534,0.04857785999774933,0.1545180380344391,0.02860698662698269,0.1847490668296814,0.024047667160630226,0.027701428160071373,0.03589112311601639,0.04457781836390495,0.2785966396331787,0.04935683310031891,0.3781290054321289,0.025780143216252327,0.04411458596587181,0.023639293387532234,0.025153379887342453,0.02027234248816967,0.2134712189435959,0.03925149515271187,0.028812382370233536,0.04059712216258049,0.03950360044836998
0,9,2.7178999718278645,1.0149019956588745,0.9575561285018921,1.0612322092056274,0.9555659294128418,0.20053739845752716,0.09361428022384644,0.03543189913034439,0.03287257254123688,0.03907027468085289,0.1398569494485855,0.02761463075876236,0.18250516057014465,0.02546781674027443,0.031209737062454224,0.030965737998485565,0.04306425526738167,0.4394873082637787,0.05841948464512825,0.042777303606271744,0.027672054246068,0.04793815314769745,0.022749735042452812,0.02691301703453064,0.023396406322717667,0.215320885181427,0.029289886355400085,0.031047634780406952,0.030647700652480125,0.0421784371137619
