episode,total_loss,loss_R1,loss_R2,loss_R3,loss_L1,loss_L2,loss_L3,loss_N1,loss_N2,loss_N3,loss_C1,loss_C2,loss_F1,loss_F2,loss_F3
0,4.481032058596611,1.1119627952575684,2.2659735679626465,0.610550582408905,0.042061418294906616,0.0390014685690403,0.040902867913246155,0.04140690341591835,0.04167627543210983,0.039666831493377686,0.05733060464262962,0.04135026037693024,0.0377328060567379,0.039153218269348145,0.07226245850324631
1,4.690540786832571,0.9249370098114014,2.6590468883514404,0.6161274909973145,0.04208475351333618,0.03809947147965431,0.04078355059027672,0.041950926184654236,0.04466710239648819,0.04009820893406868,0.05007729306817055,0.041557345539331436,0.042264729738235474,0.03906456381082535,0.06978145241737366
2,4.30726270750165,0.9889875650405884,2.2518723011016846,0.5775070190429688,0.04020165652036667,0.040367674082517624,0.04064308479428291,0.04235176742076874,0.03770202770829201,0.03685617446899414,0.04744352027773857,0.04346271976828575,0.04095448926091194,0.040156666189432144,0.07875604182481766
3,4.377809140831232,0.9569046497344971,2.3764593601226807,0.5831501483917236,0.035855114459991455,0.03788600116968155,0.04122399538755417,0.03636341542005539,0.036157749593257904,0.04032689705491066,0.04334189370274544,0.037334900349378586,0.03932913765311241,0.03860236331820488,0.07487351447343826
4,4.344926971942186,1.0460634231567383,2.1771984100341797,0.6445073485374451,0.03741314634680748,0.040472134947776794,0.04451534152030945,0.03860565647482872,0.04058185592293739,0.03712506219744682,0.04521718621253967,0.04095201566815376,0.043433479964733124,0.03873821347951889,0.07010369747877121
5,4.076427541673183,1.0118131637573242,1.9093400239944458,0.6640812754631042,0.0442328043282032,0.03617648035287857,0.037005264312028885,0.04547997564077377,0.04201815277338028,0.04094953089952469,0.04999770596623421,0.041184235364198685,0.040795475244522095,0.03605450689792633,0.07729894667863846
6,4.325472332537174,1.002126932144165,2.142970085144043,0.6501317620277405,0.04092835262417793,0.04131871834397316,0.039803262799978256,0.04405377060174942,0.04024273902177811,0.04447539150714874,0.06826624274253845,0.036454640328884125,0.04079623147845268,0.042036741971969604,0.09186746180057526
7,4.415090810507536,1.061281681060791,2.186347246170044,0.6560981869697571,0.04264843463897705,0.04170970618724823,0.043061770498752594,0.04614924266934395,0.042559992522001266,0.04001527279615402,0.05612688511610031,0.04200687259435654,0.03877870738506317,0.03737181797623634,0.08093499392271042
8,4.22657272964716,1.0417568683624268,1.9994672536849976,0.6704167723655701,0.04263278841972351,0.03934282436966896,0.038526568561792374,0.051427941769361496,0.060064300894737244,0.042252469807863235,0.05559053644537926,0.036626264452934265,0.03735879808664322,0.042594391852617264,0.06851495057344437
9,4.313418958336115,0.9550301432609558,2.2771055698394775,0.6082327365875244,0.03879982605576515,0.041185759007930756,0.03904902562499046,0.0363270528614521,0.03898182511329651,0.03831319138407707,0.041479673236608505,0.036988429725170135,0.03640824928879738,0.03911503776907921,0.08640243858098984
10,4.1928456127643585,1.0184334516525269,2.027334690093994,0.6501100659370422,0.038569673895835876,0.03891849145293236,0.03974267840385437,0.037427447736263275,0.0387236550450325,0.046516623347997665,0.05281627178192139,0.03823969513177872,0.042717691510915756,0.03897114470601082,0.08432403206825256
11,4.515401538461447,1.0450507402420044,2.414273977279663,0.5672804117202759,0.03856303542852402,0.03743263706564903,0.04165947064757347,0.037986014038324356,0.03619179502129555,0.03887995705008507,0.04394148290157318,0.0388406477868557,0.04590870067477226,0.04080694913864136,0.08858571946620941
12,3.9653925597667694,1.0343945026397705,1.8498773574829102,0.5918077826499939,0.03734048455953598,0.039424728602170944,0.04012658819556236,0.04121607914566994,0.043394751846790314,0.03814272955060005,0.051039695739746094,0.041531097143888474,0.04324747249484062,0.03690340369939804,0.07694588601589203
13,4.141966685652733,0.9149717688560486,2.102607011795044,0.6271131634712219,0.04167206585407257,0.041686657816171646,0.04213232547044754,0.046467844396829605,0.04085439071059227,0.04475748911499977,0.04677427187561989,0.04413401335477829,0.04412049800157547,0.041475314646959305,0.06319987028837204
14,4.28514201939106,1.0641160011291504,2.088070869445801,0.6054958701133728,0.039868853986263275,0.04046925902366638,0.03877248987555504,0.05461342632770538,0.04941025376319885,0.03977711498737335,0.05455220863223076,0.03929604962468147,0.039389222860336304,0.04224417731165886,0.08906622231006622
15,4.199199624359608,0.9890275597572327,2.028433322906494,0.6832367181777954,0.03959072753787041,0.03955527022480965,0.043015897274017334,0.041843924671411514,0.03479783982038498,0.04150068387389183,0.05774371325969696,0.04129505157470703,0.04050341993570328,0.03768438100814819,0.0809711143374443
16,4.480730887502432,1.1016439199447632,2.319528818130493,0.5593993663787842,0.04374086856842041,0.038858041167259216,0.04119628667831421,0.04139592871069908,0.0400003045797348,0.04137566313147545,0.05537780001759529,0.04066969454288483,0.0372176393866539,0.042621977627277374,0.07770457863807678
17,4.264977995306253,0.9530041217803955,2.1968562602996826,0.6105747818946838,0.036838773638010025,0.04047621414065361,0.04189079999923706,0.043615009635686874,0.03993281349539757,0.04441947117447853,0.07346449047327042,0.03901904076337814,0.04359692707657814,0.04173532873392105,0.05955396220088005
18,4.720693930983543,1.0928211212158203,2.4027099609375,0.6535230875015259,0.046683698892593384,0.03993513062596321,0.03842584043741226,0.06056714802980423,0.04298093914985657,0.04218005761504173,0.06321108341217041,0.03636552020907402,0.03998977690935135,0.04001246765255928,0.12128809839487076
19,4.215728249400854,0.9253361225128174,2.1415350437164307,0.5938373804092407,0.040503501892089844,0.04507937282323837,0.039797838777303696,0.045566625893116,0.043538760393857956,0.04635031148791313,0.08078174293041229,0.041607290506362915,0.042390819638967514,0.03985219821333885,0.08955124020576477
20,4.711654830724001,0.9909047484397888,2.5152502059936523,0.6876600384712219,0.04294559359550476,0.038540180772542953,0.04112383350729942,0.04389835149049759,0.03986799344420433,0.044801052659749985,0.06056566908955574,0.039502520114183426,0.04074333235621452,0.04073682427406311,0.085114486515522
21,4.494540266692638,0.9306852221488953,2.390238046646118,0.6723024845123291,0.04304127022624016,0.04093923792243004,0.037091538310050964,0.03934671729803085,0.03487583249807358,0.0415828563272953,0.05626179650425911,0.04202058166265488,0.0420113131403923,0.04528963565826416,0.07885373383760452
22,4.240951418876648,0.9890040755271912,2.135202169418335,0.6268743276596069,0.038138702511787415,0.04111585393548012,0.04067431390285492,0.04205211624503136,0.03580424189567566,0.03845085948705673,0.04684602841734886,0.04030802473425865,0.04295952245593071,0.03589532896876335,0.08762585371732712
23,4.122819736599922,1.004180669784546,1.921396017074585,0.6906824707984924,0.03765346109867096,0.04588725045323372,0.039309073239564896,0.039632488042116165,0.03883817419409752,0.04509850591421127,0.05248750001192093,0.04052309691905975,0.04401980713009834,0.04086514189839363,0.0822460800409317
24,4.382911503314972,1.0746793746948242,2.1835856437683105,0.6144914627075195,0.043528903275728226,0.040262073278427124,0.03945896774530411,0.0424143522977829,0.04328610375523567,0.04150481894612312,0.05043044686317444,0.0360906645655632,0.04280899465084076,0.04401826485991478,0.0863514319062233
25,4.694079834967852,0.9450519680976868,2.521406650543213,0.6949214339256287,0.045818451792001724,0.03841694816946983,0.03978815674781799,0.04617376625537872,0.04106494039297104,0.04216581955552101,0.061077240854501724,0.04087628424167633,0.03883079066872597,0.04132140427827835,0.09716597944498062
26,4.346168659627438,0.8988449573516846,2.2828662395477295,0.6515007615089417,0.039920493960380554,0.038589246571063995,0.03767595440149307,0.041569288820028305,0.048799484968185425,0.04216257482767105,0.045914068818092346,0.041066139936447144,0.04190245643258095,0.04276518523693085,0.09259180724620819
27,4.30905482172966,0.8782558441162109,2.3336615562438965,0.6276878118515015,0.04335835948586464,0.0365564189851284,0.035424016416072845,0.04461768642067909,0.03597745671868324,0.04313889518380165,0.046336907893419266,0.04083459451794624,0.03929605334997177,0.041338760405778885,0.06257046014070511
28,4.275090057402849,1.12602961063385,2.038956880569458,0.5970855355262756,0.040241584181785583,0.04232470691204071,0.037813011556863785,0.04494623839855194,0.04425475746393204,0.049617014825344086,0.05497826635837555,0.04112551733851433,0.03916044160723686,0.03935758024454117,0.0791989117860794
29,4.318941343575716,0.9497365951538086,2.218477249145508,0.6681875586509705,0.044920697808265686,0.041286900639534,0.040993064641952515,0.039250828325748444,0.04270436242222786,0.03944291174411774,0.05002221837639809,0.04189080372452736,0.03689560666680336,0.04200484976172447,0.06312769651412964
30,4.608752869069576,1.0138328075408936,2.4780771732330322,0.6266708970069885,0.03683041036128998,0.041686952114105225,0.04067612439393997,0.0413089357316494,0.036742523312568665,0.037212517112493515,0.05930708348751068,0.03807780146598816,0.037320271134376526,0.0415598601102829,0.07944951206445694
31,4.233775764703751,0.9217724800109863,2.118588447570801,0.6883808374404907,0.04126857593655586,0.039710670709609985,0.03679193928837776,0.04640627279877663,0.03824872896075249,0.045338958501815796,0.050752487033605576,0.03727772459387779,0.04188399016857147,0.03962905704975128,0.08772559463977814
32,4.3701559491455555,1.0148347616195679,2.2440059185028076,0.6163274049758911,0.03889645263552666,0.04073793441057205,0.040561553090810776,0.04339365288615227,0.044975921511650085,0.03869665786623955,0.05358102545142174,0.039876069873571396,0.0397859625518322,0.040539152920246124,0.07394348084926605
33,4.1365903951227665,1.0023466348648071,2.0214264392852783,0.6223304867744446,0.04074227064847946,0.040998391807079315,0.0402548648416996,0.042376697063446045,0.03883952274918556,0.04367350786924362,0.045366983860731125,0.040539197623729706,0.039361339062452316,0.040508951991796494,0.07782510668039322
34,4.309023674577475,1.0367746353149414,2.1245980262756348,0.6421334147453308,0.04204508662223816,0.03932691365480423,0.03845943510532379,0.04640119522809982,0.038829490542411804,0.04011370614171028,0.05749437212944031,0.04326719418168068,0.03824704512953758,0.03908807039260864,0.08224508911371231
35,4.355169974267483,1.004052996635437,2.159958600997925,0.6923038363456726,0.042440205812454224,0.03829808533191681,0.037997402250766754,0.03964083641767502,0.044605109840631485,0.04275299236178398,0.04823606461286545,0.04198788106441498,0.041537582874298096,0.040598683059215546,0.080759696662426
36,4.195190165191889,0.9501807689666748,2.0919957160949707,0.6426871418952942,0.04110792651772499,0.041800450533628464,0.04151863604784012,0.0440627820789814,0.042055804282426834,0.03782637417316437,0.05746836215257645,0.04322872310876846,0.041392259299755096,0.04001126065850258,0.07985395938158035
37,4.329337544739246,0.9696843028068542,2.210811138153076,0.6809096336364746,0.03988434001803398,0.03735877946019173,0.03438956290483475,0.04690311476588249,0.03746645897626877,0.03929276019334793,0.05098581686615944,0.04118597134947777,0.040851693600416183,0.039367154240608215,0.06024681776762009
