track,seed,method,budget,requested_budget,actuator_penalty,background_sd,actions,mse,interaction_error,posterior_risk
design,42,random_single,8,400,1,0.15,1,0.14162687640012095,0.06708495241494165,1.5070036805374825
design,42,random_single,40,400,1,0.15,5,0.0043916579420432535,0.002410099311304515,0.008454550938506604
design,42,random_single,80,400,1,0.15,10,0.0005842227661555417,0.0002854851543326043,0.0058946933316336965
design,42,random_single,160,400,1,0.15,20,0.003203198134638886,0.0016226317689390516,0.002962463279355384
design,42,random_single,400,400,1,0.15,50,0.0001749462767641261,1.0351748951141529e-05,0.0011140014437991555
design,42,design_single,8,400,1,0.15,1,0.0015607703114132866,0.00016690652434404077,1.444720817500824
design,42,design_single,40,400,1,0.15,5,0.010576519822123463,0.005778098707446557,0.011362837322187177
design,42,design_single,80,400,1,0.15,10,0.02137764958203868,0.011635115453618046,0.0059768360649159824
design,42,design_single,160,400,1,0.15,20,0.004121072424389567,0.0018683557060491126,0.002828569280236038
design,42,design_single,400,400,1,0.15,50,0.00011976416121848627,3.754503281224502e-06,0.0011428140767779863
design,42,random_joint,8,400,1,0.15,1,0.052126758657513705,0.025132825372437495,1.45539436780767
design,42,random_joint,64,400,1,0.15,5,0.0005470109627499497,1.7226192684009867e-06,0.0007138328652787204
design,42,random_joint,120,400,1,0.15,10,0.00018454172791890937,4.66394517624571e-12,0.00040961261888075747
design,42,random_joint,240,400,1,0.15,20,0.00031564437824132684,1.6435065933805976e-05,0.00019680430709777448
design,42,random_joint,400,400,1,0.15,35,0.00026558498853095113,1.9082764963694037e-05,0.0001274859976190155
design,42,design_joint,8,400,1,0.15,1,0.0477515958606698,0.021572036735368855,1.4743719700861693
design,42,design_joint,56,400,1,0.15,5,0.001361909679429384,0.0002208190370125654,0.0009597095939732729
design,42,design_joint,128,400,1,0.15,10,0.00010261593767193689,2.654030722381908e-05,0.00030100724104854863
design,42,design_joint,288,400,1,0.15,20,8.178273998387936e-05,1.5629543237390627e-05,0.00012359174485023763
design,42,design_joint,400,400,1,0.15,27,5.736020453339836e-05,2.0926184565929908e-05,8.884168928655815e-05
