seed,changed,change_type,method,target_budget,source_samples,mse,changed_mse,unchanged_mse,old_selection_mass
3012,1,family,scratch,120,2560,0.36378646832232703,0.4907581329633525,0.35940813505884334,
3012,1,family,warm,120,2560,0.09263900488433194,1.8848304278273682,0.03083930064491687,
3012,1,family,source_retrieval,120,2560,0.03551812986380223,0.06071090304159093,0.03464941354732675,0.7333333333333333
3012,1,family,source_mixture,120,2560,0.03239043573324937,0.06071090304119155,0.03141386789504447,0.8547515487912553
3012,1,family,scratch,200,2560,0.28726007006281523,0.43494217827285203,0.28216758357281396,
3012,1,family,warm,200,2560,0.08562871074397009,1.4794764698801355,0.037564994911688514,
3012,1,family,source_retrieval,200,2560,0.0377527795268724,0.04185909355061432,0.03761118249157096,0.7333333333333333
3012,1,family,source_mixture,200,2560,0.03730175708611547,0.04185909355054994,0.03714460755285911,0.8547515487912553
3012,1,family,scratch,400,2560,0.2220195211484956,0.2689254879840077,0.2204020740162366,
3012,1,family,warm,400,2560,0.0211069510512253,0.13317894024611535,0.01724239969967737,
3012,1,family,source_retrieval,400,2560,0.01935397388380989,0.07039977275609213,0.01759377392269671,0.7333333333333333
3012,1,family,source_mixture,400,2560,0.019072463349123592,0.07039977275638935,0.017302556128183395,0.8547515487912553
