step,target,value,query_samples,observed_total_loss,broad_total_loss
0,X1,-5.0,50,11.353761177510023,44.41869697645306
1,X2,-4.0,100,6.410846566781402,16.414665282145144
2,X4,-3.0,150,5.963512349873781,15.711854984983802
3,X5,-2.0,240,5.775693543255329,13.860824981331826
4,X6,-1.0,290,5.747262470424175,12.665850510448218
5,X7,0.0,340,5.7224676217883825,12.254522808268666
6,X8,1.0,430,5.691829415038228,11.580222345516086
7,X9,2.0,480,5.671659702435136,11.157617510855198
8,X10,3.0,530,5.659161554649472,10.838975988700986
9,X11,4.0,620,5.651012666523457,10.007557260245084
10,X12,5.0,670,5.650490494444966,9.70120894908905
11,X15,-5.0,720,5.649033235386014,9.556058372184633
12,X16,-4.0,810,5.645681677386165,9.309151412919164
13,X17,-3.0,860,5.644106023013592,9.1441137496382
14,X18,-2.0,910,5.643493752926588,9.04542028196156
15,X19,-1.0,1000,5.646463952958584,8.71652919203043
16,X20,0.0,1050,5.649327160790563,8.537857694551349
17,X21,1.0,1100,5.649377565830946,8.251724050939083
18,X23,2.0,1190,5.6426618453115225,8.193026975914837
19,X25,3.0,1240,5.643001412972808,7.741187351197004
20,X1,-2.0,1290,5.638368343934417,7.690785399824381
21,X2,-1.0,1380,5.637854969128966,7.786497869342566
22,X4,0.0,1430,5.63661689683795,7.5892699550837275
23,X5,1.0,1480,5.6365416049957275,7.797572009265423
24,X6,2.0,1570,5.6353606060147285,8.312957061827182
25,X7,3.0,1620,5.634548790752888,8.186938748881222
26,X8,4.0,1670,5.6332162246108055,8.49474002495408
27,X9,5.0,1760,5.634978707879782,8.907039146497846
28,X10,-5.0,1810,5.636051749810576,5.973281029611826
29,X11,-4.0,1860,5.6360845267772675,5.568071823939681
30,X12,-3.0,1950,5.635893288999796,5.647605071589351
31,X15,-2.0,2000,5.635926470160484,5.664341642707586
