track,seed,method,budget,mse,fallback_weight
prior,123,broad,8,0.043182180728251286,
prior,123,correct,8,0.009288421639453918,
prior,123,wrong,8,0.023984988611308482,
prior,123,wrong_with_fallback,8,0.016609688868612596,0.11755195606020695
prior,123,broad,16,0.0030545978275722512,
prior,123,correct,16,0.002691431136612121,
prior,123,wrong,16,0.009966479405267795,
prior,123,wrong_with_fallback,16,0.009843103352869108,0.01128362597478407
prior,123,broad,32,0.0005055650827967405,
prior,123,correct,32,0.0004721122534894868,
prior,123,wrong,32,0.0013318319775532266,
prior,123,wrong_with_fallback,32,0.0013003480788427381,0.015810749490600223
prior,123,broad,64,0.0016725946600796128,
prior,123,correct,64,0.0016516916629757531,
prior,123,wrong,64,0.0015717805610395489,
prior,123,wrong_with_fallback,64,0.0015690946355578325,0.022349776191747623
