track,seed,condition,method,budget,validation_samples,mse,fallback_weight,validation_base_sse,validation_proposal_sse
prior_gate,2002,correct,broad,16,8,0.008740507040826007,,,
prior_gate,2002,correct,proposal,16,8,0.006938443334001172,,,
prior_gate,2002,correct,validation_gate,16,8,0.006938443335112213,8.538291921058701e-10,2.1314843345433494,1.1918262867693024
prior_gate,2002,correct,broad,32,8,0.004075019509605239,,,
prior_gate,2002,correct,proposal,32,8,0.0034350313845354407,,,
prior_gate,2002,correct,validation_gate,32,8,0.0037089587878182326,0.4793858513523626,0.07652131525208893,0.07280866398700919
prior_gate,2002,correct,broad,64,8,0.0016976367125029843,,,
prior_gate,2002,correct,proposal,64,8,0.0013257277337723685,,,
prior_gate,2002,correct,validation_gate,64,8,0.0014644019089362602,0.40544561603603047,0.22728413541430803,0.2100569905379866
prior_gate,2002,wrong,broad,16,8,0.008740507040826007,,,
prior_gate,2002,wrong,proposal,16,8,0.030221849158255546,,,
prior_gate,2002,wrong,validation_gate,16,8,0.030221849158252764,8.389874565722697e-14,2.1314843345433494,0.7765718766033758
prior_gate,2002,wrong,broad,32,8,0.004075019509605239,,,
prior_gate,2002,wrong,proposal,32,8,0.010048795884188428,,,
prior_gate,2002,wrong,validation_gate,32,8,0.004321890876147955,0.8697886394145139,0.07652131525208893,0.1619804218658065
prior_gate,2002,wrong,broad,64,8,0.0016976367125029843,,,
prior_gate,2002,wrong,proposal,64,8,0.0019918552330660646,,,
prior_gate,2002,wrong,validation_gate,64,8,0.0014832774131734408,0.4373412762862507,0.22728413541430803,0.21594596120584322
