episode,step,target,value,total_loss,loss_X1,loss_X2,loss_X3,loss_X4,loss_X5
0,0,X2,2.784123135922938,10.929250538349152,1.0456037521362305,3.739309310913086,0.9411827921867371,4.968848705291748,0.2343059778213501
0,1,X5,-0.3128768330417291,7.844301819801331,1.055898666381836,1.5403767824172974,0.4803657829761505,4.580592632293701,0.18706795573234558
0,2,X4,-2.111930296851873,6.248824775218964,1.0549139976501465,0.36731743812561035,0.4051361680030823,4.223812580108643,0.19764459133148193
0,3,X4,3.6693882470616455,5.125047191977501,1.0443495512008667,0.04609803855419159,0.2937753200531006,3.5951790809631348,0.14564520120620728
0,4,X4,-3.3205981839526464,4.760166112333536,1.0443739891052246,0.03483564779162407,0.25187236070632935,3.318779230117798,0.11030488461256027
0,5,X4,2.5720638799896056,4.434810379520059,1.0443542003631592,0.027935462072491646,0.21683651208877563,3.0661139488220215,0.07957025617361069
0,6,X3,3.039188770363804,3.8975189812481403,1.0443487167358398,0.016721613705158234,0.1663581132888794,2.6260194778442383,0.04407105967402458
0,7,X2,3.688294906139813,3.689939913339913,1.044405460357666,0.014135067351162434,0.15843045711517334,2.4376909732818604,0.03527795523405075
0,8,X1,4.056058999857685,3.5466968938708305,1.044410228729248,0.012749582529067993,0.19225779175758362,2.267503499984741,0.029775790870189667
0,9,X2,-4.9693913350790355,3.244166711345315,1.0449310541152954,0.011165644973516464,0.18608596920967102,1.979041337966919,0.02294270507991314
0,10,X4,3.1400326768872375,3.112477791495621,1.0448391437530518,0.010804069228470325,0.18052318692207336,1.8555117845535278,0.020799607038497925
0,11,X5,-1.4769840528376346,2.9946097834035754,1.0453425645828247,0.010622910223901272,0.1755029708147049,1.7439780235290527,0.019163314253091812
0,12,X1,4.462781414004514,2.795600631274283,1.046613335609436,0.010430320166051388,0.16749410331249237,1.5540803670883179,0.016982505097985268
0,13,X1,-4.828057855963676,2.755963404662907,1.0465407371520996,0.010312610305845737,0.208387553691864,1.4745488166809082,0.01617368683218956
0,14,X5,3.394041108415056,2.6748799858614802,1.0465208292007446,0.010287093929946423,0.1976870745420456,1.4048749208450317,0.015510067343711853
0,15,X5,-3.431818806485798,2.5485794143751264,1.046115517616272,0.010211114771664143,0.18660029768943787,1.291163682937622,0.01448880136013031
0,16,X4,4.964590110596816,2.4983069663867354,1.0468367338180542,0.010191291570663452,0.18219824135303497,1.2450026273727417,0.014078072272241116
0,17,X4,2.4736943340435635,2.453594277612865,1.0469098091125488,0.010178436525166035,0.17776529490947723,1.2052303552627563,0.013510381802916527
0,18,X5,2.7733702090920236,2.380080941133201,1.04552161693573,0.010175912640988827,0.16881059110164642,1.142560601234436,0.013012219220399857
0,19,X3,0.2895736948429395,2.3539926009252667,1.0463205575942993,0.010182156227529049,0.1660643219947815,1.1184407472610474,0.01298481784760952
0,20,X2,-2.0206720904254283,2.3318836065009236,1.046028733253479,0.010184774175286293,0.16438481211662292,1.0981594324111938,0.013125854544341564
0,21,X5,3.518717615161531,2.2920236941426992,1.0461421012878418,0.010181951336562634,0.1559537649154663,1.0665193796157837,0.013226496987044811
0,22,X2,2.240086804538219,2.277329595759511,1.0462212562561035,0.010182379744946957,0.15309321880340576,1.0545878410339355,0.013244899921119213
0,23,X5,4.543988757603758,2.2637374764308333,1.0463277101516724,0.010172874666750431,0.14942753314971924,1.04459810256958,0.013211255893111229
0,24,X4,-2.4727300895489543,2.2403399497270584,1.047310709953308,0.010155044496059418,0.1405305117368698,1.0292093753814697,0.013134308159351349
1,0,X2,3.9918008926944566,12.781797587871552,1.0445719957351685,4.205949306488037,2.126162052154541,4.968798637390137,0.4363155961036682
1,1,X4,3.2077338438779126,8.459722250699997,1.0496017932891846,1.7965881824493408,0.7451618909835815,4.591185569763184,0.2771848142147064
1,2,X3,-1.7200693183760385,6.326586335897446,1.0461504459381104,0.34130561351776123,0.5497275590896606,4.247106075286865,0.14229664206504822
1,3,X5,4.965928439065902,5.047623181715608,1.0511122941970825,0.030660538002848625,0.30276232957839966,3.611483573913574,0.05160444602370262
1,4,X1,-1.305691877443409,4.700984843075275,1.0508636236190796,0.02411957085132599,0.2600336968898773,3.329219102859497,0.03674884885549545
1,5,X2,3.6064986208819256,4.38169739022851,1.0534383058547974,0.020310664549469948,0.20591336488723755,3.074929714202881,0.027105340734124184
1,6,X1,-1.0629206389154544,3.8322134455665946,1.0467052459716797,0.015431529842317104,0.1188119500875473,2.6324830055236816,0.018781714141368866
1,7,X1,1.8088753727417668,3.623604970984161,1.0470247268676758,0.013708834536373615,0.10842831432819366,2.438826322555542,0.015616772696375847
1,8,X5,0.09163040489585494,3.434224484488368,1.047029733657837,0.012524662539362907,0.09554427117109299,2.2650253772735596,0.014100439846515656
1,9,X5,-4.877702543783378,3.1159281227737665,1.0485644340515137,0.011118707247078419,0.07127413153648376,1.9722309112548828,0.01273993868380785
1,10,X3,2.148173295946312,2.9841908933594823,1.0479776859283447,0.010751220397651196,0.06288978457450867,1.8501983880996704,0.012373814359307289
