episode,episode_final_loss
0,1.9952062964439392
1,1.9922198737040162
2,1.9688827702775598
3,1.9627059493213892
4,1.970977614633739
5,2.0752703435719013
6,1.9330739481374621
7,1.9443309847265482
8,1.943657978437841
9,1.9344302518293262
10,1.958934836089611
11,2.1834497461095452
12,1.9331234227865934
13,2.162632830440998
14,2.098327283747494
15,1.953790589235723
16,1.9847732670605183
17,1.9522434240207076
18,1.9878682801499963
19,1.9440237814560533
20,2.0085485968738794
21,1.9858764484524727
22,1.9455251079052687
23,2.0505371168255806
24,1.9416572749614716
25,1.9586119409650564
26,1.9512622263282537
27,2.0668462365865707
28,1.9803398046642542
29,2.143724133260548
30,1.964034590870142
31,1.9493437027558684
32,2.049740679562092
33,1.9650787636637688
34,1.9771922547370195
35,1.9546819757670164
36,2.0095471311360598
37,2.063864321447909
38,1.9792176457121968
