step,target,value,query_samples,observed_total_loss,broad_total_loss,observed_nonroot_loss,broad_nonroot_loss,feasible_nonroot_loss
0,X8,-5.0,50,10.598009873181581,30.68349390849471,5.3355151899158955,29.630994971841574,5.970737017380694
1,X17,-5.0,100,6.614611804485321,8.840990924835205,1.3468801379203796,7.787444591522217,1.4595203448552638
2,X17,5.0,150,6.028828201815486,3.979539464041591,0.7583705764263868,2.925447938963771,0.8136428139017273
3,X17,4.557084083557129,240,5.871719568967819,2.609842609241605,0.6087181270122528,1.5572423208504915,0.6265644044615328
4,X8,4.652032852172852,290,5.860339401289821,2.3047871943563223,0.5973607283085585,1.2521914597600698,0.5916900354204699
5,X10,-4.968001365661621,340,5.847642228007317,2.196545012295246,0.5898032635450363,1.14497721940279,0.5836843060484778
6,X6,-5.0,430,5.838888829573989,2.0433115471154455,0.5833659823983908,0.9922069776803255,0.5761044749912496
7,X9,4.3239593505859375,480,5.840389858931303,1.999489277601242,0.5824018828570843,0.9478916823863983,0.5741076280052463
8,X19,5.0,530,5.843790410086513,1.934655298665166,0.5821824055165052,0.8823336977511644,0.5737411135730024
9,X13,4.784532070159912,620,5.844624502584338,1.8797783948481084,0.5812740158289671,0.8271082974970341,0.5727421024348587
10,X14,5.0,670,5.843335988000035,1.8499976687133313,0.5803511161357164,0.7974006943404675,0.5723273388187712
11,X16,4.586343288421631,720,5.841808877885342,1.8504038568586112,0.5799884423613548,0.7980397697538137,0.571104129543528
12,X7,-5.0,810,5.845095736905932,1.844996377453208,0.579069359228015,0.7917911019176245,0.5705136584195618
13,X13,-4.278357028961182,860,5.843658534809947,1.8310241214931013,0.5783564727753401,0.7779637090861797,0.5698950731117899
14,X10,4.810256004333496,910,5.841726265847683,1.825077535957098,0.5783376321196556,0.7723998092114925,0.5694798418553546
15,X23,-5.0,1000,5.840693891048431,1.819516485184431,0.5766249299049377,0.7667026929557323,0.5683848581975326
16,X1,-5.0,1050,5.841453133150935,1.7896107621490955,0.5761814694851637,0.7365564294159412,0.5678322676103562
17,X19,-5.0,1100,5.840894918888807,1.77866674028337,0.5749264769256115,0.7254730518907309,0.5672682939718168
18,X6,5.0,1190,5.838504934683442,1.7123168729245664,0.5737817529588938,0.6593722365796566,0.5668924485410873
19,X18,5.0,1240,5.837189977988601,1.71073198877275,0.5735145267099142,0.6579968985170126,0.5668123587189864
20,X2,5.0,1290,5.83704767934978,1.7083294723182918,0.5736528467386961,0.6556505057960749,0.5667705239417653
21,X15,2.3174242973327637,1380,5.835814401507378,1.7095301773399116,0.5735369175672531,0.6570746805518866,0.5663332269371797
22,X5,-5.0,1430,5.836041921749711,1.7116691865026952,0.5740164462476969,0.6592640914022923,0.5662735033547506
23,X5,4.586144924163818,1480,5.836228171363473,1.7106857553124428,0.5741850528866053,0.6582771316170692,0.5663043543463573
24,X3,-5.0,1570,5.837675217539072,1.714901703968644,0.5742571391165257,0.6622180882841349,0.5664746382584174
25,X2,-5.0,1620,5.83697871491313,1.7138098239898683,0.5740836076438427,0.6612308025360107,0.5668477081150437
26,X3,5.0,1670,5.835626101121306,1.7148111876100303,0.5740744825452566,0.6625008638948202,0.5665422844079633
27,X24,4.843478202819824,1760,5.835031067952514,1.7232234962284565,0.5737743731588125,0.6709721572697163,0.5668562646411981
28,X9,-4.7204461097717285,1810,5.834011774510145,1.7236535716801882,0.5737981610000134,0.6716108489781618,0.5667889311832065
29,X4,-4.832425594329834,1860,5.833655621856451,1.720857460424304,0.5736578963696957,0.6688579153269529,0.5665263169600319
30,X11,5.0,1950,5.8332577887922525,1.7181699670851232,0.5730627719312906,0.6661309637129307,0.5660743459981555
31,X14,-4.382797718048096,2000,5.834031905978918,1.7165703255683185,0.5730220936238766,0.6643683630973101,0.5659415645059198
