policy_loss,value_loss
0.16703648585826159,129568.91418457031
-0.12334326701238751,136501.78979492188
-0.07614660589024425,203996.2490234375
-0.013303094077855349,157190.6337890625
-0.060015962924808264,130946.98046875
0.31225710175931454,202639.3505859375
0.03633605013601482,202790.662109375
0.5191698684357107,213919.98979091644
0.4004063936881721,67309.74911499023
0.49006099170219386,345920.7060546875
1.0421831915155053,446865.005859375
0.35505444625596283,316778.90576171875
0.2714562381427754,29687.92999267578
1.170753575002891,138969.56569853425
0.434276447922457,37799.55014038086
0.27553119126241654,32113.335205078125
0.20916328439489007,46288.876589775085
-0.284434738336131,67582.7127532959
1.2960920721525326,144873.0244140625
0.4772250261157751,9087.553678780794
0.34836994675220145,154357.56451416016
0.5303316557471334,344790.662109375
0.6550158007066784,54081.154724121094
0.2309633899712935,16541.63998413086
0.4725526084075682,183013.20166015625
0.45889946282841265,166323.36785888672
2.42859885469079,53106.45568847656
0.4726032230441888,145376.40283203125
0.7353658043505735,86611.68282318115
0.539194559212774,20866.271421432495
4.830428952116357,57277.81719207764
0.20367456553502336,184072.61865234375
0.17492812941779842,179537.41650390625
0.9976593352744625,175588.65689086914
0.2192359659783385,140680.86840820312
5.215598687624857,132666.4677734375
0.800881651643067,86502.33813476562
0.8350794371217489,35288.177307128906
0.8570918459445238,94352.46081542969
0.3267731158994138,66787.31577301025
0.5229018832287693,116007.44677734375
2.3874736502184533,52670.64651489258
0.44382351264357567,20816.182250976562
0.3172892958705802,46483.007568359375
0.24635317793581635,66548.71118164062
0.539082249160856,30554.055744171143
0.3661627424880862,50129.7265625
0.11266618478111923,107807.1337890625
0.7062927810109967,71643.28652954102
0.4283305131830275,113412.64868164062
0.27478435839293525,44383.440856933594
0.3105700818026317,156977.90283203125
3.754530530996817,13189.437063217163
0.2662743010696431,521655.68701171875
-0.11877527309115976,455158.9172363281
0.24396609934046865,460880.232421875
5.053224842682766,385891.5234375
4.977348797049217,216476.26489257812
0.815522656776011,6310.92773251608
3.8743348779062217,22063.54878616333
1.4153314251161646,41994.172424316406
0.2951567817021896,12282.793952941895
0.5830864555542883,85166.03718566895
2.4316635705595493,78374.84020996094
0.4524876791983843,96900.30812548101
1.2001696918159723,15638.959678649902
0.4646506624085518,32130.532504558563
0.27473814971745014,41807.181495666504
0.09616565681062639,79141.21533203125
0.7724161609075963,41777.9753112793
0.43010587453918525,39776.57217788696
2.9242399868484945,88726.21492481232
0.5834946101531386,42335.77429199219
0.42067186886561103,35217.57664489746
0.24628917314112186,77056.39654541016
0.2270464152097702,17346.393127441406
0.9235382126644217,43133.26819610596
0.13096830630092882,6140.6188888549805
