episode,step,target,value,total_loss,loss_X1,loss_X2,loss_X3,loss_X4,loss_X5,ace_total_loss,ace_loss_X1,ace_loss_X4,ace_loss_X2,ace_loss_X3,ace_loss_X5,env_queries_executed,env_queries_candidate_probe,env_queries_observational,env_queries_total
0,0,X5,-3.510062205285452,12.400810837745667,0.8737667798995972,2.163177967071533,2.09696888923645,4.831851482391357,2.4350457191467285,21.99551248550415,0.8737667798995972,4.831851482391357,12.492201805114746,6.6685662269592285,1.6936208009719849,213750,0,273600,487350
0,1,X5,4.597765304486649,9.463049590587616,0.8741505146026611,0.6970905661582947,1.0033516883850098,4.453411102294922,2.4350457191467285,13.594384813308716,0.8741505146026611,4.453411102294922,4.234395503997803,6.369019031524658,1.9254579544067383,213750,0,273600,487350
0,2,X4,-3.514709876617768,7.99790096282959,0.8783499598503113,0.14032745361328125,0.5682776570320129,4.106022357940674,2.3049235343933105,9.955408823490142,0.8783499598503113,4.106022357940674,1.2269498109817505,6.315756797790527,1.415827751159668,213750,0,273600,487350
0,3,X1,2.453663326227301,5.188096307218075,0.8830710649490356,0.03960379213094711,0.4254700839519501,3.510417938232422,0.3295334279537201,9.546500849723817,0.8830710649490356,3.510417938232422,0.3679412305355072,7.977707862854004,0.3221539556980133,213750,0,273600,487350
0,4,X4,3.9183101778750182,4.794009413570166,0.8856509923934937,0.02831190451979637,0.38075390458106995,3.2480452060699463,0.2512474060058594,8.566885221004487,0.8856509923934937,3.2480452060699463,0.21759629249572754,7.279792785644531,0.2427569031715393,213750,0,273600,487350
0,5,X5,-2.6081312840318334,4.4399047661572695,0.8845502138137817,0.022680746391415596,0.3296637237071991,3.0117084980010986,0.19130158424377441,8.61046734750271,0.8845502138137817,3.0117084980010986,0.15755175054073334,7.477949619293213,0.19571423530578613,213750,0,273600,487350
0,6,X2,0.8902564126198008,3.82563098333776,0.8730213046073914,0.01752781681716442,0.23830275237560272,2.5919277667999268,0.10485134273767471,6.9825578957796095,0.8730213046073914,2.5919277667999268,0.08832107484340668,6.080296516418457,0.12095049023628235,213750,0,273600,487350
0,7,X5,3.562365644290484,3.575716868042946,0.872342586517334,0.01587473601102829,0.19551174342632294,2.410200595855713,0.08178720623254776,6.709533680975437,0.872342586517334,2.410200595855713,0.07518589496612549,5.872259140014648,0.10558000952005386,213750,0,273600,487350
0,8,X5,2.1197472790749505,3.356104614213109,0.8721110224723816,0.014668332412838936,0.1565413922071457,2.2483303546905518,0.06445351243019104,6.386838632822037,0.8721110224723816,2.2483303546905518,0.0691194012761116,5.6130194664001465,0.08061148971319199,213750,0,273600,487350
0,9,X3,4.417616220768402,2.9954807171598077,0.8728304505348206,0.013095413334667683,0.09843897074460983,1.9678056240081787,0.0433102585375309,5.573183711618185,0.8728304505348206,1.9678056240081787,0.04803183302283287,4.881378650665283,0.07564601302146912,213750,0,273600,487350
